"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"ASIANENE","Asian Energy Services Limited","Shareholders meeting","Asian Energy Services Limited has informed the Exchange about Shareholders meeting","05-Jun-2025 15:43:02","2025-06-05 15:43:02","05-Jun-2025 15:43:02","00:00:00","https://nsearchives.nseindia.com/corporate/ASIANENE_05062025154148_AsianNSEIntimation.pdf","5.62 MB"
"DPSCLTD","DPSC Limited","Trading Plan under PIT","DPSC Limited has informed the Exchange regarding Trading Plan pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","05-Jun-2025 15:41:59","2025-06-05 15:41:59","05-Jun-2025 15:42:00","00:00:01","https://nsearchives.nseindia.com/corporate/DPSCLTD_05062025154137_IntimationUnderReg7_2__b_SEBI_PIT05062025.pdf","425 KB"
"PODDARHOUS","Poddar Housing and Development Limited","Updates","Poddar Housing and Development Limited has informed the Exchange regarding 'AGM Notice'.","05-Jun-2025 15:41:48","2025-06-05 15:41:48","05-Jun-2025 15:41:50","00:00:02","https://nsearchives.nseindia.com/corporate/PODDARHOUS_05062025154135_PoddarHousing2024AGMNotice.pdf","6.09 MB"
"OSIAHYPER","Osia Hyper Retail Limited","Credit Rating- Revision","Osia Hyper Retail Limited has informed the Exchange about Credit Rating- Revision","05-Jun-2025 15:40:51","2025-06-05 15:40:51","05-Jun-2025 15:40:52","00:00:01","https://nsearchives.nseindia.com/corporate/OSIAHYPER_05062025154032_Disclosure_Signed.pdf","422 KB"
"HINDMOTORS","Hindustan Motors Limited","Updates","Hindustan Motors Limited has informed the Exchange regarding ORDER BY CALCUTTA HIGH COURT.","05-Jun-2025 15:39:28","2025-06-05 15:39:28","05-Jun-2025 15:39:29","00:00:01","https://nsearchives.nseindia.com/corporate/HINDMOTORS_05062025151501_DISCLOSURE.pdf","451 KB"
"ASHOKA","Ashoka Buildcon Limited","General Updates","Ashoka Buildcon Limited has informed the Exchange about General Updates","05-Jun-2025 15:35:14","2025-06-05 15:35:14","05-Jun-2025 15:35:15","00:00:01","https://nsearchives.nseindia.com/corporate/ASHOKA_05062025153414_420_ABL_BSE_NSE_Announcement_Vehicles_Dept_MH_050625.pdf","636 KB"
"RVNL","Rail Vikas Nigam Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","RAIL VIKAS NIGAM LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 15:34:41","2025-06-05 15:34:41","05-Jun-2025 15:34:42","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57617_1463287_05062025033440_WEB.xml","4 KB"
"INFY","Infosys Limited","Updates","Infosys Limited has informed the Exchange regarding 'AI Takes Center Court, Infosys and FFT Unveil Innovative Fan Features for Roland-Garros 2025'.","05-Jun-2025 15:34:37","2025-06-05 15:34:37","05-Jun-2025 15:34:38","00:00:01","https://nsearchives.nseindia.com/corporate/Infosys_05062025153421_PR_05062025.pdf","353 KB"
"JUNIPER","Juniper Hotels Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Juniper Hotels Limited has informed the Exchange about Schedule of meet","05-Jun-2025 15:34:12","2025-06-05 15:34:12","05-Jun-2025 15:34:13","00:00:01","https://nsearchives.nseindia.com/corporate/9930371292_05062025153401_Intimation-signed.pdf","523 KB"
"RVNL","Rail Vikas Nigam Limited","Appointment","Rail Vikas Nigam Limited has informed the Exchange regarding Appointment of Mr Abhishek Kumar as Director (Finance) (Additional Charge) of the company w.e.f. Jun 05, 2025.","05-Jun-2025 15:33:49","2025-06-05 15:33:49","05-Jun-2025 15:33:50","00:00:01","https://nsearchives.nseindia.com/corporate/RVNL_05062025153327_ChangeinMgt05062025.pdf","577 KB"
"RSYSTEMS","R Systems International Limited","Updates","This has reference to  our letter No. SECT/12/2024/07 dated December 20, 2024, whereby it was informed that R Systems International Limited has entered into an agreement to sale on December 20, 2024 to sell the land and building of the Company, situated at Plot No. C-1 and C-40 situated at Sector 59, NOIDA, Gautam Budh Nagar, Uttar Pradesh along with some assets (hereinafter referred to as the (Said Properties) for a consideration of INR 505,000,000 (Rupees Fifty Crore and Fifty Lakh only).In this regard, we wish to apprise you that the Company has executed the Sale Deed on June 04, 2025 to sell the Said Properties and the said transaction is completed.","05-Jun-2025 15:31:28","2025-06-05 15:31:28","05-Jun-2025 15:31:29","00:00:01","https://nsearchives.nseindia.com/corporate/RSYSTEMS_05062025152844_RSYSTEMS.pdf","1.71 MB"
"ASTRAL","Astral Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Astral Limited has informed the Exchange about Intimation of Investor Meet","05-Jun-2025 15:29:04","2025-06-05 15:29:04","05-Jun-2025 15:29:05","00:00:01","https://nsearchives.nseindia.com/corporate/ASTRAL_05062025152822_Astral_Limited_Investor_meet_05062025.pdf","444 KB"
"SAMHI","Samhi Hotels Limited","Investor Presentation","Samhi Hotels Limited has informed the Exchange about Investor Presentation","05-Jun-2025 15:27:04","2025-06-05 15:27:04","05-Jun-2025 15:27:06","00:00:02","https://nsearchives.nseindia.com/corporate/Samhi_05062025152601_InvestorDay_Presentation2025_compressed.pdf","5.50 MB"
"SHYAMMETL","Shyam Metalics and Energy Limited","Monthly Business Updates","Shyam Metalics And Energy Limited has informed the Exchange regarding Monthly Business Updates for the month of May 2025","05-Jun-2025 15:23:19","2025-06-05 15:23:19","05-Jun-2025 15:23:20","00:00:01","https://nsearchives.nseindia.com/corporate/SHYAMMETL_05062025152249_SalesRelease05062025.pdf","1.91 MB"
"DCMSHRIRAM","DCM Shriram Limited","Shareholders meeting","DCM Shriram Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot","05-Jun-2025 15:18:07","2025-06-05 15:18:07","05-Jun-2025 15:18:07","00:00:00","https://nsearchives.nseindia.com/corporate/DCMSHRIRAM_05062025151347_DCMPostalBallotResult4JUNE2025SIGNED.pdf","715 KB"
"PODDARHOUS","Poddar Housing and Development Limited","Updates","Poddar Housing and Development Limited has informed the Exchange regarding 'Book Closure'.","05-Jun-2025 15:12:03","2025-06-05 15:12:03","05-Jun-2025 15:12:04","00:00:01","https://nsearchives.nseindia.com/corporate/PODDARHOUS_05062025151150_PoddarHousingBookClosureIntimation.pdf","858 KB"
"TRITURBINE","Triveni Turbine Limited","Updates","Triveni Turbine Limited has informed the Exchange regarding 'Change of email address of the Company for shareholders  related communications and correspondences'.","05-Jun-2025 15:11:52","2025-06-05 15:11:52","05-Jun-2025 15:11:53","00:00:01","https://nsearchives.nseindia.com/corporate/TRITURBINE_05062025151135_STX-Change_of_email_ID.pdf","211 KB"
"PODDARHOUS","Poddar Housing and Development Limited","Updates","Poddar Housing and Development Limited has informed the Exchange regarding 'AGM Intimation'.","05-Jun-2025 15:10:29","2025-06-05 15:10:29","05-Jun-2025 15:10:30","00:00:01","https://nsearchives.nseindia.com/corporate/PODDARHOUS_05062025151020_PoddarHousing42ndAGMIntimation.pdf","492 KB"
"IPCALAB","IPCA Laboratories Limited","Copy of Newspaper Publication","IPCA Laboratories Limited has informed the Exchange about Copy of Newspaper Publication","05-Jun-2025 15:10:21","2025-06-05 15:10:21","05-Jun-2025 15:10:22","00:00:01","https://nsearchives.nseindia.com/corporate/IPCALAB_05062025151010_IEPFnoticeintimationlettersigned.pdf","4.48 MB"
"UNIONBANK","Union Bank of India","Analysts/Institutional Investor Meet/Con. Call Updates","Union Bank of India has informed the Exchange about OUTCOME","05-Jun-2025 15:10:07","2025-06-05 15:10:07","05-Jun-2025 15:10:07","00:00:00","https://nsearchives.nseindia.com/corporate/UNIONBANK_05062025150937_outcome_Analyst_Meet_05062025_NSE_BSE.pdf","261 KB"
"BEL","Bharat Electronics Limited","Press Release","Bharat Electronics Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""BEL Recived Orders Worth Rs. 2323 Crores"".","05-Jun-2025 15:08:30","2025-06-05 15:08:30","05-Jun-2025 15:08:31","00:00:01","https://nsearchives.nseindia.com/corporate/BEL_05062025150614_SE_INT_PRESS_RELEASE_05062025.pdf","1.06 MB"
"WOCKPHARMA","Wockhardt Limited","Investor Presentation","Wockhardt Limited has informed the Exchange about Investor Presentation","05-Jun-2025 15:05:55","2025-06-05 15:05:55","05-Jun-2025 15:05:56","00:00:01","https://nsearchives.nseindia.com/corporate/WOCKPHARMA_05062025150511_WLSEupdatedinvpresentations.pdf","4.32 MB"
"SADHNANIQ","Sadhana Nitrochem Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","SADHANA NITROCHEM LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 15:04:49","2025-06-05 15:04:49","05-Jun-2025 15:04:51","00:00:02","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57615_1463269_05062025030448_WEB.xml","3 KB"
"SANOFI","Sanofi India Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","SANOFI INDIA LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","05-Jun-2025 15:01:15","2025-06-05 15:01:15","05-Jun-2025 15:01:16","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57614_1463266_05062025030114_WEB.xml","3 KB"
