"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"CANFINHOME","Can Fin Homes Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Can Fin Homes Limited has informed the Exchange about Outcome of Analyst Meet","02-Jun-2025 22:30:55","2025-06-02 22:30:55","02-Jun-2025 22:30:56","00:00:01","https://nsearchives.nseindia.com/corporate/CANFINHOME_02062025222919_CANFINHOMEOutcomeOfanalystmeet.pdf","166 KB"
"SIS","SIS LIMITED","Updates","SIS LIMITED has informed the Exchange regarding 'Shareholders resolution dated May 28, 2025, approving Buyback of equity shares by SIS Limited'.","02-Jun-2025 22:29:54","2025-06-02 22:29:54","02-Jun-2025 22:29:54","00:00:00","https://nsearchives.nseindia.com/corporate/SIS_02062025222540_Intimation_-_Resolution.pdf","523 KB"
"GUJGASLTD","Gujarat Gas Limited","Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","GUJARAT GAS LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent","02-Jun-2025 22:11:13","2025-06-02 22:11:13","02-Jun-2025 22:11:13","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/CIM_57525_1462427_02062025101112_WEB.xml","3 KB"
"GUJGASLTD","Gujarat Gas Limited","Cessation","Gujarat Gas Limited has informed the Exchange regarding Cessation of Mr V K Joshi as Executive Director of the company w.e.f. Jun 02, 2025.","02-Jun-2025 22:09:03","2025-06-02 22:09:03","02-Jun-2025 22:09:05","00:00:02","https://nsearchives.nseindia.com/corporate/GUJGASLTD_02062025220526_BSENSE1463VKJoshi02062025.pdf","502 KB"
"TRANSRAILL","Transrail Lighting Limited","Updates","Transrail Lighting Limited has informed the Exchange regarding 'Press release of fresh orders worth Rs. 534 Crore secured by the Company.'.","02-Jun-2025 22:00:14","2025-06-02 22:00:14","02-Jun-2025 22:00:15","00:00:01","https://nsearchives.nseindia.com/corporate/TRANSRAIL_02062025215955_FinalPressReleaseOrderWins02062025.pdf","221 KB"
"KELLTONTEC","Kellton Tech Solutions Limited","General Updates","Kellton Tech Solutions Limited has informed the Exchange about Audio Recording of Earning Call","02-Jun-2025 21:44:53","2025-06-02 21:44:53","02-Jun-2025 21:44:54","00:00:01","https://nsearchives.nseindia.com/corporate/KELLTONTEC_02062025214430_KTSL_EC_AR_Q425.pdf","816 KB"
"IFBIND","IFB Industries Limited","Investor Presentation","IFB Industries Limited has informed the Exchange about Investor Presentation","02-Jun-2025 21:39:03","2025-06-02 21:39:03","02-Jun-2025 21:39:04","00:00:01","https://nsearchives.nseindia.com/corporate/IFBIND_02062025213801_IFBIPQ4FY25.pdf","4.89 MB"
"ZENSARTECH","Zensar Technologies Limited","Investor Presentation","Zensar Technologies Limited has informed the Exchange about Investor Presentation","02-Jun-2025 21:37:50","2025-06-02 21:37:50","02-Jun-2025 21:37:52","00:00:02","https://nsearchives.nseindia.com/corporate/ZENSARTECH_02062025213626_SEIntimationIP.pdf","831 KB"
"APOLLO","Apollo Micro Systems Limited","Outcome of Board Meeting","Apollo Micro Systems Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 02, 2025.","02-Jun-2025 21:37:42","2025-06-02 21:37:42","02-Jun-2025 21:37:43","00:00:01","https://nsearchives.nseindia.com/corporate/APOLLO_02062025213710_Out_Come_of_Allotment_Committee.pdf","1.06 MB"
"CEATLTD","CEAT Limited","Investor Presentation","CEAT Limited has informed the Exchange about Investor Presentation","02-Jun-2025 21:36:28","2025-06-02 21:36:28","02-Jun-2025 21:36:28","00:00:00","https://nsearchives.nseindia.com/corporate/CEATLTD_02062025213605_CEATSELetterAICJune_25Presentationsigned.pdf","6.51 MB"
"URAVIDEF","Uravi Defence and Technology Limited","Press Release","Kindly take note of the Press Release with regard to the financial performance of the Company for the quarter and year ended March 2025.","02-Jun-2025 21:30:21","2025-06-02 21:30:21","02-Jun-2025 21:30:22","00:00:01","https://nsearchives.nseindia.com/corporate/URAVI_02062025213008_Press_Release_Uravi_Signed.pdf","453 KB"
"SONAMLTD","SONAM LIMITED","Resignation of Statutory Auditor","SONAM LIMITED has informed the Exchange about Resignation of Statutory Auditor","02-Jun-2025 21:30:07","2025-06-02 21:30:07","02-Jun-2025 21:30:08","00:00:01","https://nsearchives.nseindia.com/corporate/SONAMLTD_ROSA_57522_KMP_Doc.zip","2.82 MB"
"VASWANI","Vaswani Industries Limited","Copy of Newspaper Publication","Vaswani Industries Limited has informed the Exchange about Copy of Newspaper Publication","02-Jun-2025 21:28:03","2025-06-02 21:28:03","02-Jun-2025 21:28:04","00:00:01","https://nsearchives.nseindia.com/corporate/VASWANI_02062025212752_VIL_news.pdf","4.61 MB"
"KANSAINER","Kansai Nerolac Paints Limited","Action(s) initiated or orders passed","Kansai Nerolac Paints Limited has informed the Exchange about Action(s) initiated or orders passed","02-Jun-2025 21:24:24","2025-06-02 21:24:24","02-Jun-2025 21:24:25","00:00:01","https://nsearchives.nseindia.com/corporate/KANSAINER_02062025212042_SEintimation_2June25_signed.pdf","2.43 MB"
