"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT","FILE SIZE"
"XTGLOBAL","Xtglobal Infotech Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Xtglobal Infotech Limited has informed the Exchange about schedule of investor/analyst meeting/conference, scheduled on 09/06/2025 at 08.00 PM","04-Jun-2025 21:42:30","2025-06-04 21:42:30","04-Jun-2025 21:42:31","00:00:01","https://nsearchives.nseindia.com/corporate/XTGLOBAL_04062025213829_Intimation.pdf","167 KB"
"SYNGENE","Syngene International Limited","General Updates","Syngene International Limited has informed the Exchange about intimation of cancellation of meeting with Analyst/Institutional Investor","04-Jun-2025 21:42:03","2025-06-04 21:42:03","04-Jun-2025 21:42:04","00:00:01","https://nsearchives.nseindia.com/corporate/SYNGENE3_04062025213952_05062025Cancelledsd.pdf","545 KB"
"NTPCGREEN","NTPC Green Energy Limited","General Updates","NTPC Green Energy Limited has informed the Exchange about signing of PPA for 1000 MW UPPCL's Solar PV Power Project.","04-Jun-2025 21:26:58","2025-06-04 21:26:58","04-Jun-2025 21:27:00","00:00:02","https://nsearchives.nseindia.com/corporate/dinesh01_04062025211657_DisclosureUPPCLPPA04062025.pdf","966 KB"
"CYIENTDLM","Cyient DLM Limited","Updates","Cyient Dlm Limited has informed the Exchange regarding 'Allotment of Shares upon exercise of stock options  '.","04-Jun-2025 21:25:13","2025-06-04 21:25:13","04-Jun-2025 21:25:14","00:00:01","https://nsearchives.nseindia.com/corporate/9880504433_04062025212456_ESOP_allotment_june_2025.pdf","202 KB"
"PVSL","Popular Vehicles and Services Limited","Shareholders meeting","Popular Vehicles and Services Limited has informed the Exchange regarding Notice of Postal Ballot","04-Jun-2025 21:20:45","2025-06-04 21:20:45","04-Jun-2025 21:20:45","00:00:00","https://nsearchives.nseindia.com/corporate/9072530155_04062025212002_NOTICEFINALSD.pdf","811 KB"
"CARERATING","CARE Ratings Limited","Alteration Of Capital and Fund Raising-XBRL","CARE Ratings Limited has informed the Exchange regarding Allotment of Securities","04-Jun-2025 21:20:29","2025-06-04 21:20:29","04-Jun-2025 21:20:30","00:00:01","https://nsearchives.nseindia.com/corporate/xbrl/ALTERATION_OF_CAPITAL_AND_FUND_RAISING_1463135_04062025092028_WEB.xml","4 KB"
"PNB","Punjab National Bank","Notice Of Shareholders Meetings-XBRL","Punjab National Bank has informed the Exchange about Notice of Shareholders Meeting for Annual General Meeting to be held on 27-Jun-2025","04-Jun-2025 21:14:45","2025-06-04 21:14:45","04-Jun-2025 21:14:45","00:00:00","https://nsearchives.nseindia.com/corporate/xbrl/NOTICE_OF_SHAREHOLDERS_MEETINGS_1463134_04062025091444_WEB.xml","28 KB"
"YESBANK","Yes Bank Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Yes Bank Limited has informed the Exchange about Schedule of Analyst/ Institutional Investors Meet(s) / Call(s) / VC(s)   Advance Intimation - ASHWAMEDH   ELARA INDIA DIALOGUE 2025   INDIA EDITION","04-Jun-2025 21:01:17","2025-06-04 21:01:17","04-Jun-2025 21:01:18","00:00:01","https://nsearchives.nseindia.com/corporate/YESBANK_04062025210053_signed.pdf","223 KB"
"PNB","Punjab National Bank","General Updates","Punjab National Bank has informed the Exchange about General Updates","04-Jun-2025 21:00:42","2025-06-04 21:00:42","04-Jun-2025 21:00:43","00:00:01","https://nsearchives.nseindia.com/corporate/pnb2_04062025205843_Intimation_Annual_report_2024_25_04062025_DS.pdf","10.01 MB"
"KPIL","Kalpataru Projects International Limited","General Updates","Kalpataru Projects International Limited has informed the Exchange about General Updates","04-Jun-2025 20:58:10","2025-06-04 20:58:10","04-Jun-2025 20:58:11","00:00:01","https://nsearchives.nseindia.com/corporate/KALPATPOWER_04062025205753_SEIntimationJune2025Record_date.pdf","485 KB"
