Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,543606,CONTAINE TECHNOLOGIES LIMITED,61.14,61.77,60.0,60.39,57000,3476310.0
2025-03-28,543606,CONTAINE TECHNOLOGIES LIMITED,61.4,61.4,57.38,57.38,17000,993410.0
2025-04-01,543606,CONTAINE TECHNOLOGIES LIMITED,56.75,58.23,56.75,58.23,12000,683570.0
2025-04-02,543606,CONTAINE TECHNOLOGIES LIMITED,56.95,59.5,56.95,59.5,6000,350440.0
2025-04-03,543606,CONTAINE TECHNOLOGIES LIMITED,61.2,61.89,59.0,61.89,5000,302580.0
2025-04-04,543606,CONTAINE TECHNOLOGIES LIMITED,60.0,62.15,60.0,62.15,4000,242150.0
2025-04-07,543606,CONTAINE TECHNOLOGIES LIMITED,59.1,61.89,59.05,60.42,6000,359930.0
2025-04-09,543606,CONTAINE TECHNOLOGIES LIMITED,58.02,60.0,58.0,60.0,5000,294020.0
2025-04-11,543606,CONTAINE TECHNOLOGIES LIMITED,59.01,59.01,57.0,57.0,8000,463630.0
2025-04-15,543606,CONTAINE TECHNOLOGIES LIMITED,54.5,54.5,54.15,54.15,29000,1573120.0
2025-04-16,543606,CONTAINE TECHNOLOGIES LIMITED,54.0,54.0,54.0,54.0,3000,162000.0
2025-04-17,543606,CONTAINE TECHNOLOGIES LIMITED,54.0,56.7,54.0,56.67,45000,2543670.0
2025-04-21,543606,CONTAINE TECHNOLOGIES LIMITED,59.0,59.5,59.0,59.5,6000,356500.0
2025-04-22,543606,CONTAINE TECHNOLOGIES LIMITED,59.6,59.6,59.6,59.6,2000,119200.0
2025-04-23,543606,CONTAINE TECHNOLOGIES LIMITED,60.0,60.99,58.5,60.86,6000,360690.0
2025-04-24,543606,CONTAINE TECHNOLOGIES LIMITED,63.15,63.2,60.7,60.7,5000,308850.0
2025-04-28,543606,CONTAINE TECHNOLOGIES LIMITED,59.0,59.0,58.0,58.5,3000,176000.0
2025-04-29,543606,CONTAINE TECHNOLOGIES LIMITED,60.0,60.0,60.0,60.0,1000,60000.0
2025-04-30,543606,CONTAINE TECHNOLOGIES LIMITED,60.0,61.42,60.0,61.42,2000,121420.0
2025-05-02,543606,CONTAINE TECHNOLOGIES LIMITED,58.36,58.51,58.35,58.35,4000,233580.0
2025-05-06,543606,CONTAINE TECHNOLOGIES LIMITED,57.75,59.69,57.75,59.44,4000,236480.0
2025-05-07,543606,CONTAINE TECHNOLOGIES LIMITED,61.45,61.45,61.45,61.45,1000,61450.0
2025-05-08,543606,CONTAINE TECHNOLOGIES LIMITED,62.95,62.95,58.38,58.38,6000,359930.0
2025-05-09,543606,CONTAINE TECHNOLOGIES LIMITED,59.99,59.99,55.47,58.64,9000,512270.0
2025-05-12,543606,CONTAINE TECHNOLOGIES LIMITED,60.9,60.9,55.71,57.16,15000,866410.0
2025-05-13,543606,CONTAINE TECHNOLOGIES LIMITED,55.0,57.76,55.0,57.76,2000,112760.0
2025-05-14,543606,CONTAINE TECHNOLOGIES LIMITED,59.3,59.3,54.88,54.88,15000,834120.0
2025-05-15,543606,CONTAINE TECHNOLOGIES LIMITED,56.5,57.62,56.5,57.62,8000,457690.0
2025-05-16,543606,CONTAINE TECHNOLOGIES LIMITED,60.4,60.5,59.99,60.5,7000,422890.0
2025-05-19,543606,CONTAINE TECHNOLOGIES LIMITED,63.5,63.52,61.05,63.52,18000,1139400.0
2025-05-20,543606,CONTAINE TECHNOLOGIES LIMITED,66.69,66.69,61.3,62.4,8000,516370.0
2025-05-21,543606,CONTAINE TECHNOLOGIES LIMITED,60.06,62.0,60.06,60.61,7000,425280.0
2025-05-22,543606,CONTAINE TECHNOLOGIES LIMITED,58.15,60.0,57.58,57.68,33000,1916970.0
2025-05-23,543606,CONTAINE TECHNOLOGIES LIMITED,55.06,55.06,55.06,55.06,1000,55060.0
2025-05-26,543606,CONTAINE TECHNOLOGIES LIMITED,56.79,56.99,54.0,55.72,19000,1062760.0
2025-05-27,543606,CONTAINE TECHNOLOGIES LIMITED,53.7,55.0,53.7,54.02,4000,216770.0
2025-05-28,543606,CONTAINE TECHNOLOGIES LIMITED,55.3,56.71,55.3,55.56,5000,279630.0
2025-05-29,543606,CONTAINE TECHNOLOGIES LIMITED,53.7,55.1,53.2,53.26,21000,1142550.0
