Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-13 00:00:00+05:30,942.4000244140624,946.4500122070312,921.0,932.7999877929688,103420,0.0,0.0
2025-03-17 00:00:00+05:30,944.0,944.0999755859376,920.0,922.5499877929688,124829,0.0,0.0
2025-03-18 00:00:00+05:30,922.5499877929688,922.5499877929688,922.5499877929688,922.5499877929688,0,0.0,0.0
2025-03-19 00:00:00+05:30,961.0,996.0,951.0,986.5999755859376,311793,0.0,0.0
2025-03-20 00:00:00+05:30,1001.0,1013.3499755859376,983.9500122070312,989.1500244140624,162404,0.0,0.0
2025-03-21 00:00:00+05:30,998.7999877929688,1078.9000244140625,990.5499877929688,1070.199951171875,535656,0.0,0.0
2025-03-24 00:00:00+05:30,1070.199951171875,1097.5,1046.550048828125,1090.449951171875,230051,0.0,0.0
2025-03-25 00:00:00+05:30,1095.0,1098.5999755859375,1040.0,1057.800048828125,159222,0.0,0.0
2025-03-26 00:00:00+05:30,1062.0,1067.800048828125,1029.4000244140625,1039.449951171875,115009,0.0,0.0
2025-03-27 00:00:00+05:30,1036.75,1074.5,1032.9000244140625,1060.6500244140625,186319,0.0,0.0
2025-03-28 00:00:00+05:30,1074.5,1074.5,1042.4000244140625,1055.25,111317,0.0,0.0
2025-04-01 00:00:00+05:30,1055.25,1077.9000244140625,1050.050048828125,1062.0999755859375,67663,0.0,0.0
2025-04-02 00:00:00+05:30,1062.0999755859375,1074.0,1040.0,1065.050048828125,161687,0.0,0.0
2025-04-03 00:00:00+05:30,1060.0,1090.0999755859375,1051.0,1080.75,99342,0.0,0.0
2025-04-04 00:00:00+05:30,1080.75,1089.050048828125,1050.0,1060.1500244140625,110576,0.0,0.0
2025-04-07 00:00:00+05:30,945.0,1038.0999755859375,944.5499877929688,1020.7000122070312,124430,0.0,0.0
2025-04-08 00:00:00+05:30,1030.050048828125,1048.5,1006.0,1010.2999877929688,133095,0.0,0.0
2025-04-09 00:00:00+05:30,1010.7000122070312,1018.0,995.0,1001.2000122070312,87460,0.0,0.0
2025-04-11 00:00:00+05:30,1021.9000244140624,1025.0,986.5499877929688,998.1500244140624,210400,0.0,0.0
2025-04-15 00:00:00+05:30,1025.0,1027.4000244140625,1008.2000122070312,1019.9000244140624,224347,0.0,0.0
