Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,108.25,114.5,108.25,111.75,50000,5617650.0
2025-03-28,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,111.0,111.0,108.2,108.2,18000,1977700.0
2025-04-01,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,107.5,110.8,107.5,110.4,12000,1308950.0
2025-04-02,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,110.0,114.0,110.0,112.0,9000,1011000.0
2025-04-03,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,114.9,115.55,109.95,111.25,54000,6048850.0
2025-04-04,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,111.25,112.6,108.7,110.7,26000,2881550.0
2025-04-07,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,104.85,105.5,103.25,104.0,9000,937600.0
2025-04-08,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,106.0,109.8,106.0,108.55,7000,761400.0
2025-04-09,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,107.0,108.0,105.0,108.0,7000,743450.0
2025-04-11,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,108.0,109.5,108.0,109.5,3000,326750.0
2025-04-15,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,113.0,113.0,107.0,110.25,14000,1534950.0
2025-04-16,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,114.0,126.5,114.0,120.05,130000,15813050.0
2025-04-17,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,120.0,124.0,120.0,121.5,52000,6341900.0
2025-04-21,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,122.0,124.75,118.15,120.0,205000,24684200.0
2025-04-22,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,125.0,128.0,121.5,122.1,32000,3956300.0
2025-04-23,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,128.0,128.0,119.95,123.0,57000,6976300.0
2025-04-24,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,124.5,134.75,124.5,131.95,256000,33688050.0
2025-04-25,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,132.0,133.0,122.05,126.95,95000,12135450.0
2025-04-28,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,127.8,139.0,127.1,130.9,250000,33484950.0
2025-04-29,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,137.5,137.55,133.65,136.25,113000,15315100.0
2025-04-30,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,135.5,137.0,134.95,136.5,92000,12496900.0
2025-05-02,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,135.6,137.0,134.0,134.2,56000,7597100.0
2025-05-05,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,138.0,138.0,132.0,134.65,26000,3503850.0
2025-05-06,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,133.0,133.0,123.4,126.2,35000,4519400.0
2025-05-07,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,126.2,127.0,126.0,126.0,10000,1264400.0
2025-05-08,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,129.95,129.95,121.0,122.0,8000,1008750.0
2025-05-09,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,123.0,126.0,123.0,124.4,12000,1496650.0
2025-05-12,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,128.0,134.55,124.3,125.2,84000,10728250.0
2025-05-13,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,128.4,130.8,126.6,130.15,42000,5419300.0
2025-05-14,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,129.5,131.6,128.35,130.25,8000,1042900.0
2025-05-15,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,134.8,134.8,129.5,130.05,23000,3005250.0
2025-05-16,544335,B.R.GOYAL INFRASTRUCTURE LIMIT,129.6,130.6,126.25,130.5,15000,1934750.0
