Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,543993,ARCL Organics Ltd,232.5,233.65,232.5,233.65,475,110788.0
2025-03-28,543993,ARCL Organics Ltd,229.0,229.0,229.0,229.0,308,70532.0
2025-04-01,543993,ARCL Organics Ltd,224.45,224.45,224.45,224.45,435,97635.0
2025-04-02,543993,ARCL Organics Ltd,220.0,220.0,220.0,220.0,305,67100.0
2025-04-03,543993,ARCL Organics Ltd,215.6,215.6,215.6,215.6,158,34064.0
2025-04-04,543993,ARCL Organics Ltd,211.3,211.3,211.3,211.3,3199,675948.0
2025-04-07,543993,ARCL Organics Ltd,207.1,207.1,207.1,207.1,65,13461.0
2025-04-08,543993,ARCL Organics Ltd,207.1,207.1,203.0,207.1,2886,589489.0
2025-04-09,543993,ARCL Organics Ltd,203.3,211.2,203.3,211.2,1236,256303.0
2025-04-11,543993,ARCL Organics Ltd,212.25,215.4,210.0,215.4,769,163642.0
2025-04-15,543993,ARCL Organics Ltd,219.7,226.15,204.65,226.15,959,210835.0
2025-04-16,543993,ARCL Organics Ltd,226.15,237.45,216.1,231.9,624,142790.0
2025-04-17,543993,ARCL Organics Ltd,237.45,242.7,231.9,242.7,1369,330212.0
2025-04-21,543993,ARCL Organics Ltd,250.0,254.8,230.6,253.9,2178,516463.0
2025-04-22,543993,ARCL Organics Ltd,253.9,264.45,241.5,243.85,1031,251115.0
2025-04-23,543993,ARCL Organics Ltd,243.85,250.95,231.7,235.0,2061,479346.0
2025-04-24,543993,ARCL Organics Ltd,223.25,240.35,223.25,233.95,349,80744.0
2025-04-25,543993,ARCL Organics Ltd,231.4,231.4,222.3,222.3,1027,228391.0
2025-04-28,543993,ARCL Organics Ltd,222.3,232.7,213.4,214.75,1035,225533.0
2025-04-29,543993,ARCL Organics Ltd,223.75,224.85,205.1,220.0,979,212943.0
2025-04-30,543993,ARCL Organics Ltd,231.0,231.0,220.1,222.1,698,160466.0
2025-05-02,543993,ARCL Organics Ltd,230.0,231.95,211.0,211.0,1631,347326.0
2025-05-05,543993,ARCL Organics Ltd,205.0,221.55,205.0,221.55,1616,346525.0
2025-05-06,543993,ARCL Organics Ltd,232.0,232.0,211.0,227.0,1807,388003.0
2025-05-07,543993,ARCL Organics Ltd,227.0,227.0,215.7,225.0,468,104169.0
2025-05-08,543993,ARCL Organics Ltd,213.85,229.95,213.75,213.75,1698,364697.0
2025-05-09,543993,ARCL Organics Ltd,213.7,213.7,203.1,213.7,947,195027.0
2025-05-12,543993,ARCL Organics Ltd,213.7,224.0,213.7,223.9,636,141015.0
2025-05-13,543993,ARCL Organics Ltd,214.6,235.05,214.6,235.05,2287,527395.0
2025-05-14,543993,ARCL Organics Ltd,246.8,246.8,246.8,246.8,291,71818.0
2025-05-15,543993,ARCL Organics Ltd,259.1,259.1,259.1,259.1,917,237594.0
2025-05-16,543993,ARCL Organics Ltd,272.05,272.05,272.05,272.05,8049,2189730.0
