Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,530581,EKAM LEASING & FINANCE CO.LTD.,6.5,7.18,6.5,6.5,471,3064.0
2025-03-28,530581,EKAM LEASING & FINANCE CO.LTD.,6.82,6.82,6.18,6.22,2454,15382.0
2025-04-01,530581,EKAM LEASING & FINANCE CO.LTD.,6.22,6.28,6.22,6.28,25,156.0
2025-04-02,530581,EKAM LEASING & FINANCE CO.LTD.,6.59,6.59,5.97,6.5,160,1029.0
2025-04-03,530581,EKAM LEASING & FINANCE CO.LTD.,6.5,6.82,6.18,6.82,1470,9316.0
2025-04-04,530581,EKAM LEASING & FINANCE CO.LTD.,7.16,7.16,7.16,7.16,272,1947.0
2025-04-07,530581,EKAM LEASING & FINANCE CO.LTD.,7.16,7.82,7.16,7.78,102,794.0
2025-04-08,530581,EKAM LEASING & FINANCE CO.LTD.,7.77,7.77,7.77,7.77,121,940.0
2025-04-09,530581,EKAM LEASING & FINANCE CO.LTD.,7.77,7.77,7.77,7.77,903,7016.0
2025-04-11,530581,EKAM LEASING & FINANCE CO.LTD.,7.77,7.77,7.77,7.77,58,450.0
2025-04-15,530581,EKAM LEASING & FINANCE CO.LTD.,7.77,7.77,7.77,7.77,197,1530.0
2025-04-16,530581,EKAM LEASING & FINANCE CO.LTD.,7.76,7.76,7.76,7.76,30,232.0
2025-04-17,530581,EKAM LEASING & FINANCE CO.LTD.,7.76,7.76,7.75,7.75,51,395.0
2025-04-21,530581,EKAM LEASING & FINANCE CO.LTD.,7.75,7.75,7.7,7.7,555,4276.0
2025-04-22,530581,EKAM LEASING & FINANCE CO.LTD.,7.87,7.87,7.8,7.8,93,730.0
2025-04-23,530581,EKAM LEASING & FINANCE CO.LTD.,7.77,7.77,7.41,7.41,827,6134.0
2025-04-24,530581,EKAM LEASING & FINANCE CO.LTD.,7.41,7.78,7.04,7.04,3936,30177.0
2025-04-25,530581,EKAM LEASING & FINANCE CO.LTD.,6.69,7.39,6.69,7.39,223,1570.0
2025-04-28,530581,EKAM LEASING & FINANCE CO.LTD.,7.39,7.39,7.36,7.36,46,339.0
2025-04-29,530581,EKAM LEASING & FINANCE CO.LTD.,7.33,7.33,7.33,7.33,1,7.0
2025-04-30,530581,EKAM LEASING & FINANCE CO.LTD.,7.33,7.33,7.33,7.33,1,7.0
2025-05-02,530581,EKAM LEASING & FINANCE CO.LTD.,7.33,7.33,7.33,7.33,34,249.0
2025-05-05,530581,EKAM LEASING & FINANCE CO.LTD.,7.33,7.33,7.33,7.33,6,43.0
