Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,508961,SHRICON INDUSTRIES LTD.,205.4,205.4,203.0,204.0,29,5913.0
2025-03-28,508961,SHRICON INDUSTRIES LTD.,214.0,214.0,200.0,200.0,28,5689.0
2025-04-01,508961,SHRICON INDUSTRIES LTD.,209.0,209.0,205.0,205.0,2006,418790.0
2025-04-03,508961,SHRICON INDUSTRIES LTD.,204.0,204.0,194.75,194.75,181,36914.0
2025-04-04,508961,SHRICON INDUSTRIES LTD.,204.4,204.4,204.4,204.4,1,204.0
2025-04-07,508961,SHRICON INDUSTRIES LTD.,194.2,194.2,194.2,194.2,3,582.0
2025-04-08,508961,SHRICON INDUSTRIES LTD.,184.5,184.5,184.5,184.5,1,184.0
2025-04-09,508961,SHRICON INDUSTRIES LTD.,175.3,179.9,175.3,176.35,8,1409.0
2025-04-11,508961,SHRICON INDUSTRIES LTD.,171.95,171.95,171.95,171.95,7,1203.0
2025-04-15,508961,SHRICON INDUSTRIES LTD.,167.7,180.0,167.7,179.95,2884,488314.0
2025-04-17,508961,SHRICON INDUSTRIES LTD.,171.0,171.0,171.0,171.0,1,171.0
2025-04-21,508961,SHRICON INDUSTRIES LTD.,171.0,171.0,171.0,171.0,1,171.0
2025-04-30,508961,SHRICON INDUSTRIES LTD.,171.0,171.0,171.0,171.0,1,171.0
2025-05-13,508961,SHRICON INDUSTRIES LTD.,169.0,169.0,169.0,169.0,50,8450.0
2025-05-15,508961,SHRICON INDUSTRIES LTD.,169.0,169.0,169.0,169.0,1,169.0
2025-05-16,508961,SHRICON INDUSTRIES LTD.,164.0,164.0,164.0,164.0,102,16728.0
2025-05-19,508961,SHRICON INDUSTRIES LTD.,164.0,164.0,163.2,163.2,111,18116.0
2025-05-28,508961,SHRICON INDUSTRIES LTD.,171.35,171.35,171.35,171.35,1,171.0
2025-05-29,508961,SHRICON INDUSTRIES LTD.,179.9,179.9,179.9,179.9,100,17990.0
2025-06-09,508961,SHRICON INDUSTRIES LTD.,179.0,179.0,170.95,170.95,46,7871.0
2025-06-10,508961,SHRICON INDUSTRIES LTD.,170.0,170.0,170.0,170.0,10,1700.0
2025-06-16,508961,SHRICON INDUSTRIES LTD.,161.5,161.5,161.5,161.5,1,161.0
2025-06-18,508961,SHRICON INDUSTRIES LTD.,153.45,161.5,153.45,155.45,4,621.0
