Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,526494,PROMACT IMPEX LIMITED,10.5,10.5,10.4,10.4,1326,13793.0
2025-03-28,526494,PROMACT IMPEX LIMITED,11.99,11.99,10.4,10.4,2193,23122.0
2025-04-01,526494,PROMACT IMPEX LIMITED,10.5,11.99,10.5,11.99,526,5648.0
2025-04-02,526494,PROMACT IMPEX LIMITED,11.98,11.98,11.98,11.98,64,766.0
2025-04-03,526494,PROMACT IMPEX LIMITED,11.98,11.98,11.98,11.98,60,718.0
2025-04-04,526494,PROMACT IMPEX LIMITED,11.98,11.98,11.32,11.95,3108,36505.0
2025-04-07,526494,PROMACT IMPEX LIMITED,11.95,11.95,11.95,11.95,10,119.0
2025-04-11,526494,PROMACT IMPEX LIMITED,11.95,11.95,10.76,11.95,527,5673.0
2025-04-15,526494,PROMACT IMPEX LIMITED,11.94,11.94,11.89,11.89,1813,21611.0
2025-04-16,526494,PROMACT IMPEX LIMITED,11.75,11.75,11.75,11.75,131,1539.0
2025-04-21,526494,PROMACT IMPEX LIMITED,11.75,11.75,10.58,10.58,1355,14503.0
2025-04-22,526494,PROMACT IMPEX LIMITED,10.58,11.62,10.58,11.55,1062,11566.0
2025-04-23,526494,PROMACT IMPEX LIMITED,11.49,11.49,11.0,11.43,955,10972.0
2025-04-24,526494,PROMACT IMPEX LIMITED,11.43,11.43,10.29,11.4,1031,10643.0
2025-04-28,526494,PROMACT IMPEX LIMITED,11.4,11.4,11.35,11.35,154,1750.0
2025-04-29,526494,PROMACT IMPEX LIMITED,11.29,11.29,11.29,11.29,1000,11290.0
2025-04-30,526494,PROMACT IMPEX LIMITED,12.39,12.39,12.39,12.39,26,322.0
2025-05-05,526494,PROMACT IMPEX LIMITED,12.3,12.3,11.16,12.29,15,183.0
2025-05-06,526494,PROMACT IMPEX LIMITED,12.2,12.2,12.2,12.2,3,36.0
2025-05-07,526494,PROMACT IMPEX LIMITED,12.07,12.07,10.98,10.98,77,847.0
2025-05-08,526494,PROMACT IMPEX LIMITED,11.99,11.99,10.98,10.98,495,5488.0
2025-05-09,526494,PROMACT IMPEX LIMITED,10.98,10.98,9.89,10.8,313,3392.0
2025-05-12,526494,PROMACT IMPEX LIMITED,11.88,11.88,11.5,11.5,279,3216.0
2025-05-13,526494,PROMACT IMPEX LIMITED,11.5,11.5,10.4,11.0,1070,11162.0
2025-05-14,526494,PROMACT IMPEX LIMITED,11.0,11.0,10.1,10.74,130,1415.0
2025-05-15,526494,PROMACT IMPEX LIMITED,11.5,11.5,10.9,10.9,1301,14789.0
2025-05-16,526494,PROMACT IMPEX LIMITED,10.0,10.7,10.0,10.32,2944,30334.0
2025-05-19,526494,PROMACT IMPEX LIMITED,10.39,10.99,10.39,10.99,1126,11699.0
2025-05-20,526494,PROMACT IMPEX LIMITED,10.51,11.2,10.5,11.19,1558,16420.0
2025-05-21,526494,PROMACT IMPEX LIMITED,11.14,11.14,10.41,10.42,1798,18740.0
2025-05-22,526494,PROMACT IMPEX LIMITED,10.95,10.95,10.95,10.95,1,10.0
2025-05-23,526494,PROMACT IMPEX LIMITED,10.95,10.95,9.86,10.07,1210,12187.0
2025-05-26,526494,PROMACT IMPEX LIMITED,10.99,10.99,10.1,10.1,1128,11393.0
2025-05-27,526494,PROMACT IMPEX LIMITED,10.1,10.9,10.1,10.9,102,1031.0
2025-05-28,526494,PROMACT IMPEX LIMITED,10.9,10.9,9.81,9.9,3279,32961.0
2025-05-29,526494,PROMACT IMPEX LIMITED,10.89,10.89,10.39,10.39,602,6260.0
2025-05-30,526494,PROMACT IMPEX LIMITED,10.44,10.9,9.75,10.9,1712,17050.0
2025-06-02,526494,PROMACT IMPEX LIMITED,10.9,10.9,10.9,10.9,14,152.0
2025-06-03,526494,PROMACT IMPEX LIMITED,10.9,10.9,10.9,10.9,1,10.0
2025-06-04,526494,PROMACT IMPEX LIMITED,11.49,11.49,9.81,11.44,113,1128.0
2025-06-05,526494,PROMACT IMPEX LIMITED,11.39,11.39,11.39,11.39,1,11.0
2025-06-06,526494,PROMACT IMPEX LIMITED,10.83,11.27,10.83,11.27,1545,16736.0
2025-06-09,526494,PROMACT IMPEX LIMITED,10.71,10.71,10.71,10.71,2007,21494.0
2025-06-10,526494,PROMACT IMPEX LIMITED,11.0,11.0,10.89,10.89,7,76.0
2025-06-11,526494,PROMACT IMPEX LIMITED,10.35,10.4,10.35,10.4,654,6769.0
2025-06-12,526494,PROMACT IMPEX LIMITED,10.4,10.4,10.24,10.24,182,1872.0
2025-06-13,526494,PROMACT IMPEX LIMITED,10.29,10.75,10.29,10.75,69,710.0
2025-06-16,526494,PROMACT IMPEX LIMITED,10.64,10.64,10.63,10.63,742,7887.0
2025-06-17,526494,PROMACT IMPEX LIMITED,10.99,10.99,10.64,10.64,1017,10821.0
2025-06-18,526494,PROMACT IMPEX LIMITED,10.69,10.99,10.11,10.99,240,2533.0
2025-06-19,526494,PROMACT IMPEX LIMITED,10.45,10.46,10.45,10.46,71,742.0
2025-06-20,526494,PROMACT IMPEX LIMITED,10.46,10.95,10.46,10.95,107,1120.0
2025-06-23,526494,PROMACT IMPEX LIMITED,10.95,10.95,10.85,10.85,16,174.0
2025-06-24,526494,PROMACT IMPEX LIMITED,10.74,10.84,10.74,10.84,560,6017.0
2025-06-25,526494,PROMACT IMPEX LIMITED,10.73,10.73,10.68,10.68,15,160.0
2025-06-26,526494,PROMACT IMPEX LIMITED,10.57,10.57,10.57,10.57,20,211.0
