Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-13 00:00:00+05:30,802.6500244140625,808.7000122070312,792.0,797.5499877929688,224529,0.0,0.0
2025-03-17 00:00:00+05:30,793.2000122070312,805.4500122070312,780.0,785.1500244140625,216524,0.0,0.0
2025-03-18 00:00:00+05:30,785.1500244140625,785.1500244140625,785.1500244140625,785.1500244140625,0,0.0,0.0
2025-03-19 00:00:00+05:30,861.0499877929688,878.2000122070312,852.3499755859375,868.4500122070312,570206,0.0,0.0
2025-03-20 00:00:00+05:30,855.0,874.6500244140625,826.25,829.2999877929688,852780,0.0,0.0
2025-03-21 00:00:00+05:30,833.0,847.0999755859375,819.0499877929688,839.0,489987,0.0,0.0
2025-03-24 00:00:00+05:30,843.0,971.25,843.0,939.0499877929688,17918193,0.0,0.0
2025-03-25 00:00:00+05:30,945.0,988.0,902.2999877929688,929.7999877929688,8160371,0.0,0.0
2025-03-26 00:00:00+05:30,929.0,932.8499755859376,890.0999755859375,895.6500244140625,1526431,0.0,0.0
2025-03-27 00:00:00+05:30,897.0,921.75,883.6500244140625,894.8499755859375,1059484,0.0,0.0
2025-03-28 00:00:00+05:30,901.5,920.0,885.0,913.3499755859376,637302,0.0,0.0
2025-04-01 00:00:00+05:30,913.2999877929688,918.9500122070312,878.5,886.5499877929688,287635,0.0,0.0
2025-04-02 00:00:00+05:30,886.5999755859375,914.7999877929688,876.7000122070312,905.9500122070312,396533,0.0,0.0
2025-04-03 00:00:00+05:30,894.0,917.5999755859376,889.0,912.4000244140624,285051,0.0,0.0
2025-04-04 00:00:00+05:30,912.4000244140624,912.9500122070312,864.5499877929688,878.3499755859375,306318,0.0,0.0
2025-04-07 00:00:00+05:30,811.0999755859375,872.0,781.0499877929688,855.5499877929688,367051,0.0,0.0
2025-04-08 00:00:00+05:30,862.0,887.4000244140625,861.5,871.2999877929688,243532,0.0,0.0
2025-04-09 00:00:00+05:30,870.0,875.75,853.2000122070312,856.9000244140625,152799,0.0,0.0
2025-04-11 00:00:00+05:30,874.0499877929688,885.6500244140625,865.0,875.5999755859375,232921,0.0,0.0
2025-04-15 00:00:00+05:30,888.0,903.0,883.1500244140625,895.5,271621,0.0,0.0
2025-04-16 00:00:00+05:30,902.2999877929688,908.0999755859376,893.0,896.4500122070312,207392,0.0,0.0
2025-04-17 00:00:00+05:30,897.4000244140625,909.0,890.6500244140625,893.0499877929688,186463,0.0,0.0
2025-04-21 00:00:00+05:30,903.0,907.0,891.0,895.6500244140625,200863,0.0,0.0
2025-04-22 00:00:00+05:30,898.0,919.0,889.9500122070312,894.4500122070312,355016,0.0,0.0
2025-04-23 00:00:00+05:30,901.0,911.3499755859376,879.7999877929688,883.7000122070312,318500,0.0,0.0
2025-04-24 00:00:00+05:30,887.0499877929688,898.0,880.0999755859375,883.0,229712,0.0,0.0
2025-04-25 00:00:00+05:30,884.9500122070312,889.2999877929688,849.0,864.7000122070312,283803,0.0,0.0
2025-04-28 00:00:00+05:30,866.9500122070312,881.4000244140625,851.5999755859375,874.0499877929688,148555,0.0,0.0
2025-04-29 00:00:00+05:30,875.5,884.9000244140625,870.4000244140625,875.5499877929688,166920,0.0,0.0
2025-04-30 00:00:00+05:30,873.0,883.7999877929688,856.7000122070312,866.5499877929688,212871,0.0,0.0
2025-05-02 00:00:00+05:30,860.0,869.4500122070312,850.75,855.9500122070312,100441,0.0,0.0
2025-05-05 00:00:00+05:30,860.7000122070312,934.0,860.7000122070312,913.25,3371731,0.0,0.0
2025-05-06 00:00:00+05:30,913.25,917.75,888.0,899.0499877929688,380868,0.0,0.0
2025-05-07 00:00:00+05:30,875.0,904.5,872.0,895.9000244140625,328345,0.0,0.0
2025-05-08 00:00:00+05:30,899.2999877929688,918.4000244140624,880.0,889.4500122070312,316945,0.0,0.0
2025-05-09 00:00:00+05:30,877.0,884.3499755859375,861.25,877.9000244140625,209265,0.0,0.0
2025-05-12 00:00:00+05:30,903.9000244140624,920.7999877929688,898.4000244140625,917.2000122070312,269500,0.0,0.0
2025-05-13 00:00:00+05:30,918.0999755859376,928.7999877929688,914.0,919.4000244140624,265364,0.0,0.0
2025-05-14 00:00:00+05:30,924.0499877929688,935.0,913.4000244140624,928.9500122070312,267390,0.0,0.0
2025-05-15 00:00:00+05:30,938.0,948.4000244140624,927.5,932.0999755859376,314571,0.0,0.0
2025-05-16 00:00:00+05:30,936.8499755859376,965.5999755859376,930.9500122070312,961.6500244140624,399643,0.0,0.0
2025-05-19 00:00:00+05:30,965.0,977.2999877929688,950.2999877929688,962.0,302237,0.0,0.0
2025-05-20 00:00:00+05:30,964.4000244140624,969.7000122070312,934.5999755859376,937.4500122070312,223528,0.0,0.0
2025-05-21 00:00:00+05:30,945.5999755859376,960.5999755859376,935.0499877929688,947.0999755859376,260923,0.0,0.0
2025-05-22 00:00:00+05:30,947.0999755859376,960.7999877929688,946.5999755859376,959.4500122070312,261658,0.0,0.0
2025-05-23 00:00:00+05:30,964.9500122070312,997.0,959.25,967.5,483068,0.0,0.0
2025-05-26 00:00:00+05:30,978.6500244140624,999.2000122070312,968.5999755859376,976.7000122070312,464545,0.0,0.0
2025-05-27 00:00:00+05:30,976.7000122070312,996.0,976.7000122070312,988.4500122070312,448429,0.0,0.0
2025-05-28 00:00:00+05:30,1003.9000244140624,1007.5999755859376,941.5999755859376,982.75,620723,0.0,0.0
2025-05-29 00:00:00+05:30,978.75,984.0,955.0,958.25,448618,0.0,0.0
2025-05-30 00:00:00+05:30,966.0,981.5,962.0499877929688,973.7999877929688,298427,0.0,0.0
2025-06-02 00:00:00+05:30,973.75,983.75,957.0999755859376,959.3499755859376,221461,0.0,0.0
2025-06-03 00:00:00+05:30,979.0,1028.0,957.4000244140624,962.6500244140624,4312460,0.0,0.0
2025-06-04 00:00:00+05:30,969.0,978.9500122070312,962.0,966.4000244140624,351318,0.0,0.0
2025-06-05 00:00:00+05:30,974.9000244140624,976.2000122070312,962.5999755859376,969.4500122070312,261193,0.0,0.0
2025-06-06 00:00:00+05:30,975.0,976.7000122070312,966.0,969.4000244140624,200857,0.0,0.0
2025-06-09 00:00:00+05:30,977.9000244140624,990.9500122070312,972.0,983.3499755859376,359062,0.0,0.0
2025-06-10 00:00:00+05:30,988.0,994.7999877929688,982.0999755859376,991.5999755859376,366763,0.0,0.0
2025-06-11 00:00:00+05:30,994.8499755859376,1009.0,982.0,991.0999755859376,360876,0.0,0.0
2025-06-12 00:00:00+05:30,992.7999877929688,1000.0,970.0,976.4500122070312,210103,0.0,0.0
2025-06-13 00:00:00+05:30,958.0,968.7999877929688,947.1500244140624,959.6500244140624,181688,0.0,0.0
2025-06-16 00:00:00+05:30,959.6500244140624,971.5499877929688,941.2000122070312,955.9000244140624,226483,0.0,0.0
2025-06-17 00:00:00+05:30,955.9000244140624,971.9500122070312,955.9000244140624,967.6500244140624,90229,0.0,0.0
2025-06-18 00:00:00+05:30,960.0,971.5,954.5999755859376,961.8499755859376,255019,0.0,0.0
2025-06-19 00:00:00+05:30,963.0,966.6500244140624,958.0,959.9000244140624,25411,0.0,0.0
2025-06-20 00:00:00+05:30,938.25,943.8499755859376,908.0,915.5999755859376,716690,0.0,0.0
2025-06-23 00:00:00+05:30,912.9000244140624,943.0,908.0499877929688,938.6500244140624,255685,0.0,0.0
2025-06-24 00:00:00+05:30,943.4000244140624,949.0,930.0,932.6500244140624,208090,0.0,0.0
2025-06-25 00:00:00+05:30,936.2000122070312,945.9500122070312,932.9500122070312,939.2000122070312,135431,0.0,0.0
2025-06-26 00:00:00+05:30,948.0,951.4000244140625,935.0,940.4000244140625,177565,0.0,0.0
2025-06-27 00:00:00+05:30,943.0,975.0,938.5499877929688,958.5999755859375,410857,0.0,0.0
