Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-13 00:00:00+05:30,9291.9501953125,9449.4501953125,8999.0,9066.0,1310,0.0,0.0
2025-03-17 00:00:00+05:30,9075.0498046875,9550.0,9025.0,9410.0,1797,0.0,0.0
2025-03-18 00:00:00+05:30,9410.0,9410.0,9410.0,9410.0,0,0.0,0.0
2025-03-19 00:00:00+05:30,9550.0,10073.0,9550.0,9653.599609375,2092,0.0,0.0
2025-03-20 00:00:00+05:30,9798.4501953125,10369.4501953125,9749.4501953125,9913.400390625,5608,0.0,0.0
2025-03-21 00:00:00+05:30,9913.0,10315.4501953125,9825.0498046875,10083.25,1904,0.0,0.0
2025-03-24 00:00:00+05:30,10083.25,10500.0,10010.099609375,10075.4501953125,1698,0.0,0.0
2025-03-25 00:00:00+05:30,10226.599609375,10227.2001953125,9410.0,9700.849609375,2853,0.0,0.0
2025-03-26 00:00:00+05:30,9710.0,9955.2001953125,9230.0,9294.599609375,2585,0.0,0.0
2025-03-27 00:00:00+05:30,9350.0,9698.9501953125,8922.25,9143.900390625,2425,0.0,0.0
2025-03-28 00:00:00+05:30,9143.900390625,9449.9501953125,8825.0,8861.7001953125,2823,0.0,0.0
2025-04-01 00:00:00+05:30,8994.650390625,9750.849609375,8917.5498046875,9410.5,3543,0.0,0.0
2025-04-02 00:00:00+05:30,9550.0,9650.0,9200.0,9433.0498046875,1212,0.0,0.0
2025-04-03 00:00:00+05:30,9505.5,9921.849609375,9463.400390625,9623.4501953125,2064,0.0,0.0
2025-04-04 00:00:00+05:30,9623.349609375,9790.0,9530.0498046875,9755.5498046875,1325,0.0,0.0
2025-04-07 00:00:00+05:30,9000.0,9789.0,8996.650390625,9211.2001953125,1362,0.0,0.0
2025-04-08 00:00:00+05:30,9255.0,9799.900390625,9255.0,9703.7001953125,1243,0.0,0.0
2025-04-09 00:00:00+05:30,9680.0,9729.650390625,9500.0,9516.4501953125,578,0.0,0.0
2025-04-11 00:00:00+05:30,9592.7001953125,9789.900390625,9585.7001953125,9705.349609375,465,0.0,0.0
2025-04-15 00:00:00+05:30,10050.0,10555.0,9920.5,10090.5,1999,0.0,0.0
2025-04-16 00:00:00+05:30,10089.0,10539.5,10089.0,10261.0,1071,0.0,0.0
2025-04-17 00:00:00+05:30,10261.0,10466.5,10200.0,10274.5,795,0.0,0.0
2025-04-21 00:00:00+05:30,10405.5,10799.5,10231.0,10657.5,1434,0.0,0.0
2025-04-22 00:00:00+05:30,10658.0,11000.0,10527.0,10822.0,1299,0.0,0.0
2025-04-23 00:00:00+05:30,10900.0,11200.0,10768.0,10949.5,2028,0.0,0.0
2025-04-24 00:00:00+05:30,11199.0,11500.0,10539.5,10758.0,3116,0.0,0.0
2025-04-25 00:00:00+05:30,10855.0,10914.0,10120.0,10284.5,1819,0.0,0.0
2025-04-28 00:00:00+05:30,10288.0,10288.0,9902.0,10038.0,1529,0.0,0.0
2025-04-29 00:00:00+05:30,10190.0,10349.0,9877.0,9991.0,1066,0.0,0.0
2025-04-30 00:00:00+05:30,10025.0,10300.0,9780.0,9850.0,1116,0.0,0.0
2025-05-02 00:00:00+05:30,9753.0,10060.0,9753.0,9809.5,488,0.0,0.0
2025-05-05 00:00:00+05:30,10000.5,10229.0,9855.5,10093.5,849,0.0,0.0
2025-05-06 00:00:00+05:30,10184.0,10184.0,9810.0,9835.5,593,0.0,0.0
2025-05-07 00:00:00+05:30,9775.5,9973.0,9700.0,9840.5,485,0.0,0.0
2025-05-08 00:00:00+05:30,9840.5,10019.0,9700.0,9776.5,346,0.0,0.0
2025-05-09 00:00:00+05:30,9608.0,9889.0,9525.0,9764.5,306,0.0,0.0
2025-05-12 00:00:00+05:30,9910.0,10200.0,9815.5,10079.5,837,0.0,0.0
2025-05-13 00:00:00+05:30,10079.5,10600.0,10000.0,10386.0,1368,0.0,0.0
2025-05-14 00:00:00+05:30,10437.5,10634.5,10320.0,10460.0,1053,0.0,0.0
2025-05-15 00:00:00+05:30,8368.0,9298.0,8368.0,8702.5,162760,0.0,0.0
2025-05-16 00:00:00+05:30,8350.0,8550.0,8350.0,8492.5,415543,0.0,0.0
2025-05-19 00:00:00+05:30,8660.0,8820.0,8625.0,8665.0,232573,0.0,0.0
2025-05-20 00:00:00+05:30,8706.0,8718.5,8521.0,8537.0,77051,0.0,0.0
2025-05-21 00:00:00+05:30,8564.5,8579.5,8421.0,8499.5,58220,0.0,0.0
2025-05-22 00:00:00+05:30,8499.0,8521.5,8422.0,8439.0,22199,0.0,0.0
2025-05-23 00:00:00+05:30,8478.5,8524.0,8431.0,8456.0,26505,0.0,0.0
2025-05-26 00:00:00+05:30,8491.0,8689.0,8436.0,8603.0,49942,0.0,0.0
2025-05-27 00:00:00+05:30,8644.0,8660.0,8485.0,8513.0,35245,0.0,0.0
2025-05-28 00:00:00+05:30,8541.0,8541.0,8432.0,8457.0,15855,0.0,0.0
2025-05-29 00:00:00+05:30,8485.0,8511.0,8408.5,8429.0,19393,0.0,0.0
2025-05-30 00:00:00+05:30,8461.0,8630.0,8396.0,8495.5,50784,0.0,0.0
2025-06-02 00:00:00+05:30,8521.0,8570.0,8461.0,8510.5,17248,0.0,0.0
2025-06-03 00:00:00+05:30,8491.0,8563.0,8399.5,8429.5,25495,0.0,0.0
2025-06-04 00:00:00+05:30,8448.0,8462.5,8282.0,8310.0,31822,0.0,0.0
2025-06-05 00:00:00+05:30,8310.0,8395.0,8162.0,8213.0,31354,0.0,0.0
2025-06-06 00:00:00+05:30,8249.5,8598.0,8230.5,8535.0,63134,0.0,0.0
2025-06-09 00:00:00+05:30,8585.0,8660.0,8489.0,8520.0,17576,0.0,0.0
2025-06-10 00:00:00+05:30,8549.5,8610.0,8450.0,8474.0,23142,0.0,0.0
2025-06-11 00:00:00+05:30,8519.0,8684.0,8500.0,8596.0,66730,0.0,0.0
2025-06-12 00:00:00+05:30,8620.0,8660.0,8470.0,8500.0,22350,0.0,0.0
2025-06-13 00:00:00+05:30,8470.0,8621.0,8375.0,8467.0,27217,0.0,0.0
2025-06-16 00:00:00+05:30,8469.0,8524.0,8350.5,8384.5,23698,0.0,0.0
2025-06-17 00:00:00+05:30,8425.0,8588.5,8406.5,8486.5,10136,0.0,0.0
2025-06-18 00:00:00+05:30,8364.5,8434.5,8301.5,8325.0,12406,0.0,0.0
2025-06-19 00:00:00+05:30,8350.0,8363.5,8304.0,8340.0,1193,0.0,0.0
2025-06-20 00:00:00+05:30,8335.0,8398.5,8270.5,8293.0,10210,0.0,0.0
2025-06-23 00:00:00+05:30,8304.0,8339.5,8189.0,8299.5,16293,0.0,0.0
2025-06-24 00:00:00+05:30,8394.0,8440.0,8327.5,8365.5,12993,0.0,0.0
2025-06-25 00:00:00+05:30,8385.0,8515.0,8371.0,8475.5,26888,0.0,0.0
2025-06-26 00:00:00+05:30,8498.5,8559.5,8411.5,8497.0,9071,0.0,0.0
2025-06-27 00:00:00+05:30,8517.0,8574.5,8420.0,8502.0,15018,0.0,0.0
