Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-03-13 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-17 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-18 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-19 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-20 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-21 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0
2025-03-24 00:00:00+05:30,24.43000030517578,24.61000061035156,24.43000030517578,24.61000061035156,89,0.0,0.0,0.0
2025-03-25 00:00:00+05:30,25.84000015258789,25.84000015258789,25.84000015258789,25.84000015258789,160,0.0,0.0,0.0
2025-03-26 00:00:00+05:30,27.1299991607666,27.1299991607666,27.1299991607666,27.1299991607666,2,0.0,0.0,0.0
2025-03-27 00:00:00+05:30,28.479999542236328,28.479999542236328,28.479999542236328,28.479999542236328,2,0.0,0.0,0.0
2025-03-28 00:00:00+05:30,29.89999961853028,29.89999961853028,29.89999961853028,29.89999961853028,5,0.0,0.0,0.0
2025-04-01 00:00:00+05:30,31.38999938964844,31.38999938964844,31.38999938964844,31.38999938964844,5,0.0,0.0,0.0
2025-04-02 00:00:00+05:30,32.95000076293945,32.95000076293945,32.95000076293945,32.95000076293945,24,0.0,0.0,0.0
2025-04-03 00:00:00+05:30,34.59000015258789,34.59000015258789,34.59000015258789,34.59000015258789,20,0.0,0.0,0.0
2025-04-04 00:00:00+05:30,36.310001373291016,36.310001373291016,36.310001373291016,36.310001373291016,83,0.0,0.0,0.0
2025-04-07 00:00:00+05:30,36.310001373291016,36.310001373291016,36.310001373291016,36.310001373291016,0,0.0,0.0,0.0
2025-04-08 00:00:00+05:30,39.93999862670898,39.93999862670898,39.93999862670898,39.93999862670898,2,0.0,0.0,0.0
2025-04-09 00:00:00+05:30,43.93000030517578,43.93000030517578,43.93000030517578,43.93000030517578,2,0.0,0.0,0.0
2025-04-11 00:00:00+05:30,48.31999969482422,48.31999969482422,48.31999969482422,48.31999969482422,30,0.0,0.0,0.0
2025-04-15 00:00:00+05:30,50.72999954223633,50.72999954223633,50.72999954223633,50.72999954223633,1,0.0,0.0,0.0
2025-04-16 00:00:00+05:30,53.2599983215332,53.2599983215332,53.2599983215332,53.2599983215332,10,0.0,0.0,0.0
2025-04-17 00:00:00+05:30,55.91999816894531,55.91999816894531,55.91999816894531,55.91999816894531,30,0.0,0.0,0.0
2025-04-21 00:00:00+05:30,58.709999084472656,58.709999084472656,58.709999084472656,58.709999084472656,2,0.0,0.0,0.0
2025-04-22 00:00:00+05:30,61.63999938964844,61.63999938964844,61.63999938964844,61.63999938964844,110,0.0,0.0,0.0
2025-04-23 00:00:00+05:30,64.72000122070312,64.72000122070312,64.72000122070312,64.72000122070312,38,0.0,0.0,0.0
2025-04-24 00:00:00+05:30,66.01000213623047,66.01000213623047,66.01000213623047,66.01000213623047,2,0.0,0.0,0.0
2025-04-25 00:00:00+05:30,67.33000183105469,67.33000183105469,67.33000183105469,67.33000183105469,4,0.0,0.0,0.0
2025-04-28 00:00:00+05:30,68.66999816894531,68.66999816894531,68.66999816894531,68.66999816894531,15,0.0,0.0,0.0
2025-04-29 00:00:00+05:30,70.04000091552734,70.04000091552734,70.04000091552734,70.04000091552734,7,0.0,0.0,0.0
2025-04-30 00:00:00+05:30,71.44000244140625,71.44000244140625,71.44000244140625,71.44000244140625,2,0.0,0.0,0.0
2025-05-02 00:00:00+05:30,72.86000061035156,72.86000061035156,72.86000061035156,72.86000061035156,25,0.0,0.0,0.0
2025-05-05 00:00:00+05:30,74.30999755859375,74.30999755859375,74.30999755859375,74.30999755859375,151,0.0,0.0,0.0
2025-05-06 00:00:00+05:30,75.79000091552734,75.79000091552734,75.79000091552734,75.79000091552734,390,0.0,0.0,0.0
2025-05-07 00:00:00+05:30,77.30000305175781,77.30000305175781,77.30000305175781,77.30000305175781,1915,0.0,0.0,0.0
2025-05-08 00:00:00+05:30,78.83999633789062,78.83999633789062,78.83999633789062,78.83999633789062,14,0.0,0.0,0.0
2025-05-09 00:00:00+05:30,80.41000366210938,80.41000366210938,80.41000366210938,80.41000366210938,107,0.0,0.0,0.0
2025-05-12 00:00:00+05:30,82.01000213623047,82.01000213623047,82.01000213623047,82.01000213623047,236,0.0,0.0,0.0
2025-05-13 00:00:00+05:30,83.6500015258789,83.6500015258789,83.6500015258789,83.6500015258789,87,0.0,0.0,0.0
2025-05-14 00:00:00+05:30,83.6500015258789,83.6500015258789,83.6500015258789,83.6500015258789,0,0.0,0.0,0.0
