Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,543806,ITCONS E-Solutions Limited,507.4,510.0,481.0,509.55,18200,9194100.0
2025-03-28,543806,ITCONS E-Solutions Limited,516.0,518.0,490.0,515.75,5800,2968100.0
2025-04-01,543806,ITCONS E-Solutions Limited,492.35,514.95,490.0,514.95,3600,1796730.0
2025-04-02,543806,ITCONS E-Solutions Limited,520.8,534.0,494.05,528.7,9000,4592370.0
2025-04-03,543806,ITCONS E-Solutions Limited,534.8,555.1,529.95,555.1,8800,4843770.0
2025-04-04,543806,ITCONS E-Solutions Limited,568.0,581.95,530.0,551.9,8000,4464450.0
2025-04-07,543806,ITCONS E-Solutions Limited,524.35,573.95,524.35,561.2,12000,6428590.0
2025-04-08,543806,ITCONS E-Solutions Limited,586.0,586.0,540.15,564.15,7200,4061760.0
2025-04-09,543806,ITCONS E-Solutions Limited,580.0,580.0,535.95,566.0,12800,6982420.0
2025-04-11,543806,ITCONS E-Solutions Limited,575.0,575.0,537.7,554.7,15400,8520380.0
2025-04-15,543806,ITCONS E-Solutions Limited,564.5,564.5,527.0,547.95,8800,4721870.0
2025-04-16,543806,ITCONS E-Solutions Limited,555.0,555.0,541.25,541.9,2800,1519790.0
2025-04-17,543806,ITCONS E-Solutions Limited,521.5,544.2,516.0,535.6,6600,3526390.0
2025-04-21,543806,ITCONS E-Solutions Limited,549.0,549.0,508.85,519.0,12400,6439020.0
2025-04-22,543806,ITCONS E-Solutions Limited,494.0,513.95,493.05,499.95,17600,8767940.0
2025-04-23,543806,ITCONS E-Solutions Limited,509.0,516.95,483.0,513.35,11200,5621320.0
2025-04-24,543806,ITCONS E-Solutions Limited,510.7,514.95,487.7,511.65,18000,8987840.0
2025-04-25,543806,ITCONS E-Solutions Limited,508.45,525.75,493.0,524.5,13200,6743430.0
2025-04-28,543806,ITCONS E-Solutions Limited,530.0,530.0,500.0,527.75,29400,14835150.0
2025-04-29,543806,ITCONS E-Solutions Limited,506.0,527.0,502.8,520.5,34000,17255330.0
2025-04-30,543806,ITCONS E-Solutions Limited,497.05,518.0,497.05,503.75,5200,2624000.0
2025-05-02,543806,ITCONS E-Solutions Limited,504.0,512.5,502.1,509.6,11200,5680670.0
2025-05-05,543806,ITCONS E-Solutions Limited,524.95,524.95,498.7,518.75,9000,4590280.0
2025-05-06,543806,ITCONS E-Solutions Limited,520.0,520.0,492.85,517.1,8800,4442750.0
2025-05-07,543806,ITCONS E-Solutions Limited,500.0,511.9,491.25,502.95,6800,3392390.0
2025-05-08,543806,ITCONS E-Solutions Limited,502.0,528.0,477.85,515.85,17400,8843900.0
2025-05-09,543806,ITCONS E-Solutions Limited,511.0,533.0,500.0,526.9,5200,2672510.0
2025-05-12,543806,ITCONS E-Solutions Limited,528.85,532.95,500.6,530.95,11400,5882710.0
2025-05-13,543806,ITCONS E-Solutions Limited,509.9,532.5,504.45,517.25,9400,4825910.0
2025-05-14,543806,ITCONS E-Solutions Limited,515.6,542.0,500.0,537.8,24200,12618470.0
2025-05-15,543806,ITCONS E-Solutions Limited,543.95,564.65,520.0,556.45,37000,19702480.0
2025-05-16,543806,ITCONS E-Solutions Limited,530.1,555.55,528.65,538.75,9000,4841940.0
2025-05-19,543806,ITCONS E-Solutions Limited,515.15,545.95,511.85,532.1,37600,19500460.0
2025-05-20,543806,ITCONS E-Solutions Limited,511.1,548.9,505.5,539.45,13800,7190700.0
2025-05-21,543806,ITCONS E-Solutions Limited,537.0,556.95,512.5,555.2,18800,9934000.0
2025-05-22,543806,ITCONS E-Solutions Limited,529.9,554.3,527.45,545.2,15600,8368320.0
2025-05-23,543806,ITCONS E-Solutions Limited,530.0,551.95,517.95,536.35,12200,6487890.0
2025-05-26,543806,ITCONS E-Solutions Limited,512.0,533.7,509.55,532.5,12000,6255960.0
2025-05-27,543806,ITCONS E-Solutions Limited,509.15,519.85,505.9,513.5,7000,3560670.0
2025-05-28,543806,ITCONS E-Solutions Limited,514.95,514.95,490.0,502.95,4600,2305820.0
2025-05-29,543806,ITCONS E-Solutions Limited,503.85,512.9,503.15,509.7,9000,4571520.0
2025-05-30,543806,ITCONS E-Solutions Limited,514.0,514.5,501.0,513.8,8400,4262100.0
2025-06-02,543806,ITCONS E-Solutions Limited,515.95,515.95,501.05,513.1,7200,3662130.0
2025-06-03,543806,ITCONS E-Solutions Limited,511.55,513.7,500.05,510.1,4400,2230490.0
2025-06-04,543806,ITCONS E-Solutions Limited,505.0,513.0,484.6,502.15,11000,5516920.0
2025-06-05,543806,ITCONS E-Solutions Limited,505.5,509.75,492.0,501.2,8000,4016110.0
2025-06-06,543806,ITCONS E-Solutions Limited,495.0,504.45,490.1,499.55,3600,1785830.0
2025-06-09,543806,ITCONS E-Solutions Limited,503.7,514.0,475.6,509.6,32800,16383500.0
2025-06-10,543806,ITCONS E-Solutions Limited,518.5,524.95,501.0,519.45,3600,1835570.0
2025-06-12,543806,ITCONS E-Solutions Limited,507.0,511.0,495.1,508.7,31200,15790150.0
2025-06-13,543806,ITCONS E-Solutions Limited,492.15,506.8,490.5,504.85,1800,890530.0
2025-06-16,543806,ITCONS E-Solutions Limited,508.95,508.95,492.55,503.4,2600,1306620.0
2025-06-17,543806,ITCONS E-Solutions Limited,506.9,508.05,494.0,504.85,2600,1309070.0
2025-06-18,543806,ITCONS E-Solutions Limited,505.85,505.85,491.8,503.9,1200,596580.0
2025-06-19,543806,ITCONS E-Solutions Limited,503.5,521.95,494.0,509.2,5200,2618580.0
2025-06-20,543806,ITCONS E-Solutions Limited,497.25,506.35,497.2,506.35,800,400960.0
2025-06-23,543806,ITCONS E-Solutions Limited,505.0,511.5,494.05,507.05,6000,3010810.0
2025-06-24,543806,ITCONS E-Solutions Limited,509.95,532.0,490.0,518.0,10200,5182460.0
2025-06-25,543806,ITCONS E-Solutions Limited,525.9,534.45,492.5,521.3,12400,6373040.0
2025-06-26,543806,ITCONS E-Solutions Limited,523.0,547.35,510.0,539.4,9800,5209350.0
