Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,519064,KHANDELWAL EXTRACTION LTD.,80.0,87.85,76.1,80.3,226,18088.0
2025-03-28,519064,KHANDELWAL EXTRACTION LTD.,80.3,80.3,80.24,80.25,338,27123.0
2025-04-01,519064,KHANDELWAL EXTRACTION LTD.,70.3,85.99,70.3,76.51,704,51611.0
2025-04-02,519064,KHANDELWAL EXTRACTION LTD.,66.0,84.98,66.0,84.98,282,23576.0
2025-04-03,519064,KHANDELWAL EXTRACTION LTD.,71.06,87.99,71.06,87.44,527,43246.0
2025-04-04,519064,KHANDELWAL EXTRACTION LTD.,90.0,99.0,85.0,87.0,6963,665072.0
2025-04-07,519064,KHANDELWAL EXTRACTION LTD.,86.99,86.99,86.99,86.99,246,21399.0
2025-04-08,519064,KHANDELWAL EXTRACTION LTD.,72.5,85.0,72.5,80.35,269,20697.0
2025-04-09,519064,KHANDELWAL EXTRACTION LTD.,68.46,83.41,68.46,82.12,45,3705.0
2025-04-11,519064,KHANDELWAL EXTRACTION LTD.,82.0,86.98,74.06,77.21,99,7953.0
2025-04-15,519064,KHANDELWAL EXTRACTION LTD.,85.0,91.0,80.0,83.09,3906,324624.0
2025-04-16,519064,KHANDELWAL EXTRACTION LTD.,71.06,89.6,71.06,86.95,7,582.0
2025-04-17,519064,KHANDELWAL EXTRACTION LTD.,85.0,86.94,79.0,86.9,9,767.0
2025-04-21,519064,KHANDELWAL EXTRACTION LTD.,72.01,93.15,72.01,79.42,206,16333.0
2025-04-22,519064,KHANDELWAL EXTRACTION LTD.,81.1,94.98,80.5,81.56,1641,133896.0
2025-04-23,519064,KHANDELWAL EXTRACTION LTD.,81.56,84.0,75.6,80.3,151,12257.0
2025-04-24,519064,KHANDELWAL EXTRACTION LTD.,81.0,83.89,79.0,83.89,16,1325.0
2025-04-25,519064,KHANDELWAL EXTRACTION LTD.,83.0,89.99,82.0,87.06,67,5819.0
2025-04-28,519064,KHANDELWAL EXTRACTION LTD.,73.01,99.99,73.01,82.0,143,11682.0
2025-04-29,519064,KHANDELWAL EXTRACTION LTD.,73.01,84.0,73.01,83.9,117,9807.0
2025-04-30,519064,KHANDELWAL EXTRACTION LTD.,68.0,83.0,68.0,82.63,100,8264.0
2025-05-02,519064,KHANDELWAL EXTRACTION LTD.,70.01,84.0,70.01,84.0,3,234.0
2025-05-05,519064,KHANDELWAL EXTRACTION LTD.,70.01,89.8,70.01,85.85,137,10555.0
2025-05-06,519064,KHANDELWAL EXTRACTION LTD.,74.01,85.0,74.01,84.99,16,1293.0
2025-05-07,519064,KHANDELWAL EXTRACTION LTD.,73.75,86.5,73.75,85.85,15,1276.0
2025-05-08,519064,KHANDELWAL EXTRACTION LTD.,85.55,85.55,76.08,84.87,42,3321.0
2025-05-09,519064,KHANDELWAL EXTRACTION LTD.,76.25,83.99,76.1,83.99,117,8950.0
2025-05-12,519064,KHANDELWAL EXTRACTION LTD.,72.96,86.99,72.65,86.87,930,76416.0
2025-05-13,519064,KHANDELWAL EXTRACTION LTD.,84.9,87.0,77.02,77.02,244,21107.0
2025-05-14,519064,KHANDELWAL EXTRACTION LTD.,90.0,90.0,85.0,87.71,157,13706.0
2025-05-15,519064,KHANDELWAL EXTRACTION LTD.,86.0,86.0,83.5,84.1,49,4188.0
2025-05-16,519064,KHANDELWAL EXTRACTION LTD.,94.08,94.08,83.0,87.42,162,14159.0
2025-05-19,519064,KHANDELWAL EXTRACTION LTD.,74.0,85.0,74.0,84.0,413,33047.0
2025-05-20,519064,KHANDELWAL EXTRACTION LTD.,76.1,86.0,76.1,78.34,535,42472.0
2025-05-21,519064,KHANDELWAL EXTRACTION LTD.,71.78,86.99,71.78,82.0,71,5810.0
2025-05-22,519064,KHANDELWAL EXTRACTION LTD.,71.25,86.0,71.25,83.81,56,4685.0
2025-05-23,519064,KHANDELWAL EXTRACTION LTD.,73.56,86.99,73.56,82.94,97,8116.0
2025-05-26,519064,KHANDELWAL EXTRACTION LTD.,75.0,88.0,75.0,84.89,164,13165.0
2025-05-27,519064,KHANDELWAL EXTRACTION LTD.,77.01,88.0,77.01,78.25,144,11437.0
2025-05-28,519064,KHANDELWAL EXTRACTION LTD.,78.64,86.99,77.01,84.49,129,10195.0
2025-05-29,519064,KHANDELWAL EXTRACTION LTD.,84.0,84.0,77.25,77.91,104,8252.0
2025-05-30,519064,KHANDELWAL EXTRACTION LTD.,78.01,83.99,74.26,78.94,288,22663.0
2025-06-02,519064,KHANDELWAL EXTRACTION LTD.,78.94,81.99,75.11,75.69,133,10066.0
2025-06-03,519064,KHANDELWAL EXTRACTION LTD.,70.75,81.0,70.75,80.74,365,28156.0
2025-06-04,519064,KHANDELWAL EXTRACTION LTD.,81.0,82.0,72.5,80.96,121,9850.0
2025-06-05,519064,KHANDELWAL EXTRACTION LTD.,80.0,80.5,77.0,79.14,15,1192.0
2025-06-06,519064,KHANDELWAL EXTRACTION LTD.,76.0,83.0,76.0,82.5,22,1749.0
2025-06-09,519064,KHANDELWAL EXTRACTION LTD.,82.5,83.99,74.0,81.86,74,5976.0
2025-06-10,519064,KHANDELWAL EXTRACTION LTD.,80.0,80.0,78.0,78.81,217,17297.0
2025-06-11,519064,KHANDELWAL EXTRACTION LTD.,75.0,79.45,75.0,77.6,778,59540.0
2025-06-12,519064,KHANDELWAL EXTRACTION LTD.,76.0,79.0,75.05,75.87,126,9724.0
2025-06-13,519064,KHANDELWAL EXTRACTION LTD.,74.04,80.0,74.04,79.0,78,6197.0
2025-06-16,519064,KHANDELWAL EXTRACTION LTD.,78.0,81.0,78.0,79.97,172,13775.0
