Date,Code,Name,Open,High,Low,Close,Volume,Turnover
2025-03-27,531533,ACCEDERE LIMITED,80.09,84.3,80.09,84.29,75,6318.0
2025-03-28,531533,ACCEDERE LIMITED,84.29,84.29,84.29,84.29,125,10536.0
2025-04-01,531533,ACCEDERE LIMITED,82.0,84.3,82.0,84.3,81,6782.0
2025-04-02,531533,ACCEDERE LIMITED,84.3,84.3,84.3,84.3,1,84.0
2025-04-03,531533,ACCEDERE LIMITED,83.0,83.0,83.0,83.0,1,83.0
2025-04-04,531533,ACCEDERE LIMITED,83.0,83.0,82.0,82.0,6,493.0
2025-04-08,531533,ACCEDERE LIMITED,82.0,83.0,80.0,80.0,4,327.0
2025-04-09,531533,ACCEDERE LIMITED,84.0,84.0,84.0,84.0,1,84.0
2025-04-11,531533,ACCEDERE LIMITED,84.0,87.5,84.0,87.5,3,255.0
2025-04-22,531533,ACCEDERE LIMITED,87.5,87.5,87.5,87.5,1,87.0
2025-04-23,531533,ACCEDERE LIMITED,83.13,87.5,83.13,87.5,3888,323318.0
2025-04-24,531533,ACCEDERE LIMITED,83.13,89.0,83.13,83.67,1794,149274.0
2025-04-25,531533,ACCEDERE LIMITED,79.49,79.49,79.49,79.49,600,47694.0
2025-04-28,531533,ACCEDERE LIMITED,75.52,75.52,75.52,75.52,1001,75595.0
2025-04-29,531533,ACCEDERE LIMITED,71.75,71.85,71.75,71.81,900,64583.0
2025-04-30,531533,ACCEDERE LIMITED,68.41,68.41,68.41,68.41,37,2531.0
2025-05-02,531533,ACCEDERE LIMITED,64.99,64.99,64.99,64.99,360,23396.0
2025-05-05,531533,ACCEDERE LIMITED,64.5,64.5,64.5,64.5,112,7224.0
2025-05-06,531533,ACCEDERE LIMITED,64.5,64.5,64.5,64.5,110,7095.0
2025-05-07,531533,ACCEDERE LIMITED,67.72,67.72,67.72,67.72,408,27629.0
2025-05-08,531533,ACCEDERE LIMITED,67.72,67.72,65.68,65.68,33,2191.0
2025-05-09,531533,ACCEDERE LIMITED,68.68,68.68,62.4,62.4,600,38068.0
2025-05-12,531533,ACCEDERE LIMITED,65.52,65.52,65.52,65.52,110,7207.0
2025-05-14,531533,ACCEDERE LIMITED,68.79,68.79,68.79,68.79,1,68.0
2025-05-15,531533,ACCEDERE LIMITED,72.22,72.22,72.22,72.22,77,5560.0
2025-05-16,531533,ACCEDERE LIMITED,75.83,75.83,75.83,75.83,2346,177897.0
2025-05-19,531533,ACCEDERE LIMITED,79.6,79.62,79.6,79.62,1940,154455.0
2025-05-20,531533,ACCEDERE LIMITED,81.0,83.6,81.0,83.6,701,58601.0
2025-05-21,531533,ACCEDERE LIMITED,83.61,87.78,83.61,87.78,4,346.0
2025-05-22,531533,ACCEDERE LIMITED,92.16,92.16,83.4,92.16,4091,374231.0
2025-05-23,531533,ACCEDERE LIMITED,87.56,96.5,87.56,96.47,3921,367195.0
2025-05-26,531533,ACCEDERE LIMITED,97.46,97.46,96.45,96.45,3,291.0
2025-05-27,531533,ACCEDERE LIMITED,96.45,96.45,96.45,96.45,1,96.0
2025-05-28,531533,ACCEDERE LIMITED,96.45,96.45,96.45,96.45,1,96.0
2025-06-02,531533,ACCEDERE LIMITED,96.45,96.45,96.45,96.45,1,96.0
2025-06-03,531533,ACCEDERE LIMITED,95.4,95.4,95.4,95.4,1,95.0
2025-06-04,531533,ACCEDERE LIMITED,92.0,92.0,90.63,90.63,72,6552.0
2025-06-09,531533,ACCEDERE LIMITED,90.6,90.6,90.6,90.6,1,90.0
2025-06-10,531533,ACCEDERE LIMITED,90.6,90.6,90.6,90.6,1,90.0
2025-06-11,531533,ACCEDERE LIMITED,90.6,90.6,90.6,90.6,1,90.0
2025-06-12,531533,ACCEDERE LIMITED,90.55,90.55,90.55,90.55,1,90.0
2025-06-13,531533,ACCEDERE LIMITED,86.03,90.55,86.03,90.55,176,15358.0
2025-06-18,531533,ACCEDERE LIMITED,88.5,88.5,88.45,88.45,20,1769.0
2025-06-26,531533,ACCEDERE LIMITED,89.5,89.5,84.03,87.0,14,1184.0
