Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-13 00:00:00+05:30,17.75,17.979999542236328,16.649999618530273,17.5,124416,0.0,0.0
2025-03-17 00:00:00+05:30,16.739999771118164,18.290000915527344,16.739999771118164,16.8700008392334,40191,0.0,0.0
2025-03-18 00:00:00+05:30,16.8700008392334,16.8700008392334,16.8700008392334,16.8700008392334,0,0.0,0.0
2025-03-19 00:00:00+05:30,17.3799991607666,17.579999923706055,16.799999237060547,17.479999542236328,65915,0.0,0.0
2025-03-20 00:00:00+05:30,18.350000381469727,18.350000381469727,17.0,18.350000381469727,91533,0.0,0.0
2025-03-21 00:00:00+05:30,18.75,19.200000762939453,18.0,18.920000076293945,120762,0.0,0.0
2025-03-24 00:00:00+05:30,18.950000762939453,19.86000061035156,18.799999237060547,19.86000061035156,169083,0.0,0.0
2025-03-25 00:00:00+05:30,20.39999961853028,20.850000381469727,20.39999961853028,20.850000381469727,386106,0.0,0.0
2025-03-26 00:00:00+05:30,21.26000022888184,21.26000022888184,21.26000022888184,21.26000022888184,234323,0.0,0.0
2025-03-27 00:00:00+05:30,20.850000381469727,21.68000030517578,20.850000381469727,20.850000381469727,74394,0.0,0.0
2025-03-28 00:00:00+05:30,20.43000030517578,20.799999237060547,20.43000030517578,20.43000030517578,31420,0.0,0.0
2025-04-01 00:00:00+05:30,20.020000457763672,20.100000381469727,20.020000457763672,20.020000457763672,4560,0.0,0.0
2025-04-02 00:00:00+05:30,19.64999961853028,19.64999961853028,19.61000061035156,19.64999961853028,19539,0.0,0.0
2025-04-03 00:00:00+05:30,19.26000022888184,19.600000381469727,19.26000022888184,19.26000022888184,2551,0.0,0.0
2025-04-04 00:00:00+05:30,18.8700008392334,19.0,18.8700008392334,18.8700008392334,7190,0.0,0.0
2025-04-07 00:00:00+05:30,18.489999771118164,18.489999771118164,18.489999771118164,18.489999771118164,2947,0.0,0.0
2025-04-08 00:00:00+05:30,18.1200008392334,18.1200008392334,18.1200008392334,18.1200008392334,13385,0.0,0.0
2025-04-09 00:00:00+05:30,18.25,18.25,17.75,18.25,41935,0.0,0.0
2025-04-11 00:00:00+05:30,18.100000381469727,18.61000061035156,18.0,18.100000381469727,59091,0.0,0.0
2025-04-15 00:00:00+05:30,17.729999542236328,17.790000915527344,17.729999542236328,17.729999542236328,32074,0.0,0.0
2025-04-16 00:00:00+05:30,17.510000228881836,17.729999542236328,17.510000228881836,17.510000228881836,29155,0.0,0.0
2025-04-17 00:00:00+05:30,17.489999771118164,17.510000228881836,17.25,17.489999771118164,11924,0.0,0.0
2025-04-21 00:00:00+05:30,17.829999923706055,17.829999923706055,17.729999542236328,17.829999923706055,14353,0.0,0.0
2025-04-22 00:00:00+05:30,18.18000030517578,18.18000030517578,18.18000030517578,18.18000030517578,43679,0.0,0.0
2025-04-23 00:00:00+05:30,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,289319,0.0,0.0
2025-04-24 00:00:00+05:30,18.15999984741211,18.90999984741211,18.15999984741211,18.15999984741211,63743,0.0,0.0
2025-04-25 00:00:00+05:30,18.0,18.100000381469727,17.790000915527344,18.0,110120,0.0,0.0
2025-04-28 00:00:00+05:30,17.799999237060547,17.799999237060547,17.799999237060547,17.799999237060547,15408,0.0,0.0
