Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment
CANFINHOME,Analysts/Institutional Investor Meet/Con. Call Updates,Can Fin Homes Limited has informed the Exchange about Outcome of Analyst Meet,02-Jun-2025 22:30:55,https://nsearchives.nseindia.com/corporate/CANFINHOME_02062025222919_CANFINHOMEOutcomeOfanalystmeet.pdf,0.8442,-0.000680272108843535,-0.02587360516190529,0.3297138368187753,Positive
SIS,Updates,"SIS LIMITED has informed the Exchange regarding 'Shareholders resolution dated May 28, 2025, approving Buyback of equity shares by SIS Limited'.",02-Jun-2025 22:29:54,https://nsearchives.nseindia.com/corporate/SIS_02062025222540_Intimation_-_Resolution.pdf,0.936,-0.056101190476190464,0.07254073023796082,0.5793318619285313,Positive
GUJGASLTD,Cessation,"Gujarat Gas Limited has informed the Exchange regarding Cessation of Mr V K Joshi as Executive Director of the company w.e.f. Jun 02, 2025.",02-Jun-2025 22:09:03,https://nsearchives.nseindia.com/corporate/GUJGASLTD_02062025220526_BSENSE1463VKJoshi02062025.pdf,-0.5574,-0.05158730158730158,-0.11518697440624237,0.2729922827980632,Negative
TRANSRAILL,Updates,Transrail Lighting Limited has informed the Exchange regarding 'Press release of fresh orders worth Rs. 534 Crore secured by the Company.'.,02-Jun-2025 22:00:14,https://nsearchives.nseindia.com/corporate/TRANSRAIL_02062025215955_FinalPressReleaseOrderWins02062025.pdf,0.959,0.17786435786435786,0.6891990900039673,0.6437190343604975,Positive
KELLTONTEC,General Updates,Kellton Tech Solutions Limited has informed the Exchange about Audio Recording of Earning Call,02-Jun-2025 21:44:53,https://nsearchives.nseindia.com/corporate/KELLTONTEC_02062025214430_KTSL_EC_AR_Q425.pdf,0.4588,0.06195887445887446,-0.022548571228981018,0.19534309096896807,Positive
IFBIND,Investor Presentation,IFB Industries Limited has informed the Exchange about Investor Presentation,02-Jun-2025 21:39:03,https://nsearchives.nseindia.com/corporate/IFBIND_02062025213801_IFBIPQ4FY25.pdf,-0.0085,0.16607142857142856,0.21249064803123474,0.11016862298079899,Positive
ZENSARTECH,Investor Presentation,Zensar Technologies Limited has informed the Exchange about Investor Presentation,02-Jun-2025 21:37:50,https://nsearchives.nseindia.com/corporate/ZENSARTECH_02062025213626_SEIntimationIP.pdf,0.7218,0.05044642857142857,-0.04083818197250366,0.29160247397967753,Positive
APOLLO,Outcome of Board Meeting,"Apollo Micro Systems Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 02, 2025.",02-Jun-2025 21:37:42,https://nsearchives.nseindia.com/corporate/APOLLO_02062025213710_Out_Come_of_Allotment_Committee.pdf,0.9738,-0.013265306122448976,-0.008016929030418396,0.3831353294541398,Positive
CEATLTD,Investor Presentation,CEAT Limited has informed the Exchange about Investor Presentation,02-Jun-2025 21:36:28,https://nsearchives.nseindia.com/corporate/CEATLTD_02062025213605_CEATSELetterAICJune_25Presentationsigned.pdf,0.8551,0.02053571428571429,-0.14104953408241272,0.3058858540609905,Positive
URAVIDEF,Press Release,Kindly take note of the Press Release with regard to the financial performance of the Company for the quarter and year ended March 2025.,02-Jun-2025 21:30:21,https://nsearchives.nseindia.com/corporate/URAVI_02062025213008_Press_Release_Uravi_Signed.pdf,0.8402,0.03126293995859214,0.3050708472728729,0.4369801361694395,Positive
VASWANI,Copy of Newspaper Publication,Vaswani Industries Limited has informed the Exchange about Copy of Newspaper Publication,02-Jun-2025 21:28:03,https://nsearchives.nseindia.com/corporate/VASWANI_02062025212752_VIL_news.pdf,0.8192,0.05756302521008405,-0.09578239917755127,0.3162141878097599,Positive
KANSAINER,Action(s) initiated or orders passed,Kansai Nerolac Paints Limited has informed the Exchange about Action(s) initiated or orders passed,02-Jun-2025 21:24:24,https://nsearchives.nseindia.com/corporate/KANSAINER_02062025212042_SEintimation_2June25_signed.pdf,-0.8074,0.022395833333333337,-0.43912625312805176,0.44797912593841555,Negative
IWEL,Shareholders meeting,"Inox Wind Energy Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",02-Jun-2025 21:23:59,https://nsearchives.nseindia.com/corporate/IWEL_02062025212149_IWEL_PB_Voting_Results.pdf,0.8779,-0.06031746031746031,-0.02424100786447525,0.32579245954541936,Positive
GABRIEL,Analysts/Institutional Investor Meet/Con. Call Updates,Gabriel India Limited has informed the Exchange about Schedule of meet,02-Jun-2025 21:23:17,https://nsearchives.nseindia.com/corporate/GABRIEL_02062025212258_SE_Int_signed.pdf,0.8481,0.18622448979591838,0.09682320058345795,0.42415430711381286,Positive
