Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-26,500147,JOHN COCKERILL INDIA LIMITED,3259.85,3268.9,3020.2,3039.05,5960,18682180.0,,3039.05,,,,0.0,,True
2025-03-27,500147,JOHN COCKERILL INDIA LIMITED,3100.0,3100.0,2859.95,2919.2,6518,19331272.0,,2976.1287500000003,,,,0.0,,False
2025-03-28,500147,JOHN COCKERILL INDIA LIMITED,2997.45,3088.8,2852.1,2876.0,5436,16042721.0,,2939.3620732722734,,,,0.0,,False
2025-04-01,500147,JOHN COCKERILL INDIA LIMITED,2997.0,2997.0,2850.05,2962.05,1790,5253254.0,,2945.9117269326684,,,,0.0,,False
2025-04-02,500147,JOHN COCKERILL INDIA LIMITED,2962.05,3024.85,2925.05,3003.8,1533,4580626.0,,2959.914407569145,,,,0.0,,True
2025-04-03,500147,JOHN COCKERILL INDIA LIMITED,2950.0,3110.05,2949.95,3045.55,1606,4903880.0,,2977.979605960604,,,,0.0,,True
2025-04-04,500147,JOHN COCKERILL INDIA LIMITED,3099.9,3099.9,2850.1,2907.7,2973,8729943.0,,2964.69147202093,,,,0.0,,False
2025-04-07,500147,JOHN COCKERILL INDIA LIMITED,2845.0,2845.0,2645.0,2677.6,4938,13254920.0,,2915.0662685077514,,,,0.0,,False
2025-04-08,500147,JOHN COCKERILL INDIA LIMITED,2768.0,2823.75,2731.1,2798.35,1391,3858947.0,,2896.3444083243794,,,,0.0,,True
2025-04-09,500147,JOHN COCKERILL INDIA LIMITED,2810.0,2844.0,2740.0,2822.85,649,1814384.0,,2885.2767872475883,,,,0.0,,True
2025-04-11,500147,JOHN COCKERILL INDIA LIMITED,2900.0,2949.9,2849.95,2893.55,1242,3600074.0,,2886.4573153469587,,,,0.0,,True
2025-04-15,500147,JOHN COCKERILL INDIA LIMITED,2902.0,2988.9,2902.0,2949.75,1850,5461876.0,,2895.079560984619,,,,0.0,,True
2025-04-16,500147,JOHN COCKERILL INDIA LIMITED,2937.0,2995.0,2916.0,2971.5,600,1780347.0,,2905.0802476340627,,,,0.0,,True
2025-04-17,500147,JOHN COCKERILL INDIA LIMITED,2917.05,3008.05,2905.0,2991.8,1141,3376043.0,,2916.038351250036,52.753112566479125,,,0.0,,True
2025-04-21,500147,JOHN COCKERILL INDIA LIMITED,2995.05,3059.65,2942.0,3016.4,2687,8077817.0,,2928.337475742326,54.658027279428474,,,0.0,,True
2025-04-22,500147,JOHN COCKERILL INDIA LIMITED,3090.0,3090.0,2951.0,2963.5,1503,4496503.0,,2932.5320217068297,49.990419424708236,,,0.0,,True
2025-04-23,500147,JOHN COCKERILL INDIA LIMITED,3009.65,3009.7,2905.05,2937.0,1388,4093019.0,,2933.0524895427657,47.78880401640531,,,0.0,,True
2025-04-24,500147,JOHN COCKERILL INDIA LIMITED,2950.05,2968.95,2851.0,2890.6,2396,6933125.0,,2928.2101661797315,44.12450183812275,,,0.0,,True
2025-04-25,500147,JOHN COCKERILL INDIA LIMITED,2948.45,2948.45,2764.95,2801.15,1938,5473835.0,,2913.9849184852287,38.06498700973052,,,0.0,,True
2025-04-28,500147,JOHN COCKERILL INDIA LIMITED,2725.1,2905.0,2725.1,2878.6,1621,4601252.0,2917.3,2910.088480121425,45.09556778960164,,,0.0,-0.3112960472655161,True
2025-04-29,500147,JOHN COCKERILL INDIA LIMITED,2900.0,2904.95,2806.5,2863.1,692,1972651.0,2908.5024999999996,2904.990157666171,44.01864008331764,,,0.0,-0.2310922881959444,True
2025-04-30,500147,JOHN COCKERILL INDIA LIMITED,2875.0,2969.95,2810.0,2837.8,712,2041036.0,2904.4325,2897.795350020558,42.2452507595818,,,0.0,-0.19186046155739633,True
2025-05-02,500147,JOHN COCKERILL INDIA LIMITED,2850.0,2897.85,2802.0,2812.7,845,2389291.0,2901.2675,2888.789884904598,40.501915495363974,,,0.0,-0.10823413744861007,True
2025-05-05,500147,JOHN COCKERILL INDIA LIMITED,2813.05,2919.95,2813.0,2866.85,986,2850767.0,2896.5074999999997,2886.4923625967494,45.70731170924525,,,0.0,-0.13939417921479302,True
2025-05-06,500147,JOHN COCKERILL INDIA LIMITED,2899.95,2899.95,2721.05,2753.2,1466,4091522.0,2883.9775,2872.665216255279,38.161123649489014,,,0.0,-0.19563330585647296,True
2025-05-07,500147,JOHN COCKERILL INDIA LIMITED,2746.55,2814.9,2676.2,2699.8,1908,5154214.0,2866.6899999999996,2854.8840544605528,35.21890905960633,-52.54825514628601,,0.0,-0.2415420783957586,True
2025-05-08,500147,JOHN COCKERILL INDIA LIMITED,2749.95,2783.9,2630.0,2647.4,1678,4536080.0,2853.675,2833.7034166756243,32.56560481103554,-63.592134414904194,,0.0,-0.24183993292130587,True
2025-05-09,500147,JOHN COCKERILL INDIA LIMITED,2630.0,2698.85,2619.9,2623.9,1745,4618484.0,2850.9900000000002,2812.431618800937,31.422278785602018,-73.3946935636518,,26.146454576735216,-0.20710338791732577,True
2025-05-12,500147,JOHN COCKERILL INDIA LIMITED,2799.9,2820.0,2752.05,2794.15,1104,3080967.0,2850.7799999999997,2810.589392037332,46.167716932167124,-66.65715792732954,,25.443404951962968,-0.2221556289467976,True
2025-05-13,500147,JOHN COCKERILL INDIA LIMITED,2796.95,2918.0,2790.0,2874.0,5391,15297432.0,2853.3375,2816.9440880926154,51.44139173894823,-54.24903561480005,,23.75555800968519,-0.15061707175540476,True
2025-05-14,500147,JOHN COCKERILL INDIA LIMITED,2850.0,2859.6,2801.25,2817.65,2306,6512048.0,2849.5425000000005,2817.0144807367556,47.87687983119748,-48.40450633159526,,22.188271563284392,-0.1709677718037846,True
2025-05-15,500147,JOHN COCKERILL INDIA LIMITED,2817.0,2870.0,2795.2,2862.25,2665,7568224.0,2845.1675000000005,2821.5051883505935,50.78372387631226,-39.716006108781585,,20.623102831967635,-0.11146543013220227,True
2025-05-16,500147,JOHN COCKERILL INDIA LIMITED,2878.0,2889.95,2815.0,2851.2,3187,9059443.0,2839.1525,2824.441259411923,50.03914060985648,-33.33765401274468,,19.34702124446168,-0.11315464006259256,True
2025-05-19,500147,JOHN COCKERILL INDIA LIMITED,2855.05,2899.0,2826.75,2848.45,2336,6704432.0,2831.9849999999997,2826.80651890639,49.84327850018447,-28.179826541345392,-45.15416209756074,18.263256675664696,-0.15410276499255646,True
2025-05-20,500147,JOHN COCKERILL INDIA LIMITED,2831.15,2884.8,2803.05,2808.3,1975,5624877.0,2821.58,2824.989277419758,46.95361570739607,-27.020505000604317,-41.527430678169466,16.96330617427539,-0.2212895966369748,True
2025-05-21,500147,JOHN COCKERILL INDIA LIMITED,2818.0,2866.95,2808.6,2821.9,1735,4905319.0,2814.5,2824.6868210823127,48.052230672805315,-24.71937838035865,-38.16582021860731,15.756209280128179,-0.2123609454770139,True
2025-05-22,500147,JOHN COCKERILL INDIA LIMITED,2827.0,2837.65,2802.0,2816.2,884,2489431.0,2808.46,2823.8581273456653,47.60720705711707,-23.08949993566057,-35.15055616201796,14.716134254710278,-0.20560895531217163,True
2025-05-23,500147,JOHN COCKERILL INDIA LIMITED,2815.0,2825.05,2800.0,2810.55,1406,3955620.0,2804.4575,2822.5617781404585,47.141161832712285,-22.00011369054755,-32.520467667723885,13.7792123249323,-0.1957156224029718,True
2025-05-26,500147,JOHN COCKERILL INDIA LIMITED,2869.0,2869.0,2815.05,2838.95,2050,5813485.0,2806.3475,2824.1547001824524,49.8012895868803,-18.630365336791783,-29.742447201537466,13.32112472719551,-0.16950846942534883,True
2025-05-27,500147,JOHN COCKERILL INDIA LIMITED,2838.0,2845.0,2800.0,2804.5,3110,8765431.0,2802.6425,2822.2480182646536,46.72923371406595,-18.52608539767516,-27.499174840765008,12.654064798739196,-0.25805628760430116,True
2025-05-28,500147,JOHN COCKERILL INDIA LIMITED,2838.95,2857.95,2713.0,2765.35,3162,8745304.0,2797.755,2816.738158180978,43.44906501462169,-21.356338033436714,-26.27060747929935,12.683961286936503,-0.2665261485747562,True
2025-05-29,500147,JOHN COCKERILL INDIA LIMITED,2798.0,3280.0,2794.0,3208.35,15887,49362940.0,2816.2825000000003,2854.600302077332,69.52072864702008,12.008635975962989,-18.61475878824688,14.57125502541272,0.014913686139016199,True
2025-05-30,500147,JOHN COCKERILL INDIA LIMITED,3298.0,3727.0,3240.45,3629.85,21912,76862689.0,2857.1400000000003,2929.445510305271,79.29956170050193,71.63636620012585,-0.5645337905723338,17.8236323617253,0.19053130225109263,True
2025-06-02,500147,JOHN COCKERILL INDIA LIMITED,3700.0,3990.0,3700.0,3828.8,21972,84737728.0,2905.2375,3016.159027905986,82.2021247235432,133.40753527945435,26.229880023433005,21.354692779425445,0.12452932926746081,True
2025-06-03,500147,JOHN COCKERILL INDIA LIMITED,3887.0,3943.0,3680.0,3760.6,7024,26669404.0,2955.6075,3087.8516153098435,78.15644030654848,174.84298073728223,55.95250016620285,24.460628813250327,0.10063229804038878,True
2025-06-04,500147,JOHN COCKERILL INDIA LIMITED,3721.0,3940.0,3686.15,3865.9,8380,31961912.0,3013.9125,3162.7009518130344,79.80878303996569,213.71413623002672,87.50482737896763,27.344712273230577,0.13789119189421695,True
2025-06-05,500147,JOHN COCKERILL INDIA LIMITED,3898.0,3899.0,3703.1,3716.7,9183,34350351.0,3067.3775,3215.9451407220886,71.55007778809792,229.83126220035365,115.97011434324484,30.022789771783664,0.07278585385364492,True
2025-06-06,500147,JOHN COCKERILL INDIA LIMITED,3776.95,3815.0,3655.0,3745.6,2503,9381674.0,3123.4625,3266.805353914222,72.15122532558942,242.14489351955217,141.20507017850633,32.01904538209345,0.08839577033248948,True
2025-06-09,500147,JOHN COCKERILL INDIA LIMITED,3750.0,3825.0,3625.0,3646.0,6075,22485460.0,3166.055,3303.1889575468754,66.90435247417987,241.08754035345828,161.18156421349673,33.56555475095173,0.043710461103650206,True
2025-06-10,500147,JOHN COCKERILL INDIA LIMITED,3640.05,3731.95,3601.0,3688.2,3958,14551500.0,3206.765,3340.104374209763,67.96724396678036,240.87807516231987,177.12086640326137,34.75007438424258,0.041173593703520535,True
2025-06-11,500147,JOHN COCKERILL INDIA LIMITED,3749.9,3749.9,3630.0,3637.5,2060,7572893.0,3247.7574999999997,3368.600764498887,65.2556997478709,233.92447052353873,188.48158722731685,35.914515494881826,0.03473203875186505,True
