Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,541144,Active Clothing Co  Limited,103.95,107.75,102.9,104.4,9519,1004283.0,,104.4,,,,0.0,,True
2025-03-28,541144,Active Clothing Co  Limited,104.4,109.6,101.1,107.9,27679,2895601.0,,106.23750000000003,,,,0.0,,True
2025-04-01,541144,Active Clothing Co  Limited,111.3,112.0,106.1,109.45,8667,946916.0,,107.41711074104914,,,,0.0,,True
2025-04-02,541144,Active Clothing Co  Limited,112.0,112.0,108.1,109.4,17562,1921165.0,,107.9895402119701,,,,0.0,,True
2025-04-03,541144,Active Clothing Co  Limited,112.4,112.8,106.1,109.15,27138,3007593.0,,108.2702455593961,,,,0.0,,False
2025-04-04,541144,Active Clothing Co  Limited,109.05,109.5,103.7,104.2,12124,1286899.0,,107.41160966460956,,,,0.0,,False
2025-04-07,541144,Active Clothing Co  Limited,93.8,99.0,93.8,95.2,34656,3291889.0,,105.10269653647798,,,,0.0,,False
2025-04-08,541144,Active Clothing Co  Limited,99.95,102.5,96.4,102.2,8719,872481.0,,104.6009508547072,,,,0.0,,True
2025-04-09,541144,Active Clothing Co  Limited,104.25,104.95,96.15,103.35,11010,1131433.0,,104.4002922207607,,,,0.0,,True
2025-04-11,541144,Active Clothing Co  Limited,109.0,109.3,102.05,103.65,10508,1098542.0,,104.2873047134718,,,,0.0,,True
2025-04-15,541144,Active Clothing Co  Limited,105.8,108.95,103.6,106.1,11354,1201052.0,,104.54596332474947,,,,0.0,,True
2025-04-16,541144,Active Clothing Co  Limited,109.0,109.0,103.0,103.3,11104,1161786.0,,104.37622804016804,,,,0.0,,True
2025-04-17,541144,Active Clothing Co  Limited,104.05,107.0,99.0,102.35,10191,1056625.0,,104.11106767245596,,,,0.0,,True
2025-04-21,541144,Active Clothing Co  Limited,105.05,109.0,105.0,108.0,29015,3115340.0,,104.60248193781167,56.904198889932154,,,0.0,,True
2025-04-22,541144,Active Clothing Co  Limited,105.9,109.85,102.65,108.6,21666,2334154.0,,105.09236998687632,57.919445450490386,,,0.0,,True
2025-04-23,541144,Active Clothing Co  Limited,107.6,108.0,105.85,107.3,13495,1439005.0,,105.35571870139995,54.90159104038973,,,0.0,,True
2025-04-24,541144,Active Clothing Co  Limited,108.35,108.5,103.0,103.5,8445,896776.0,,105.13954891872639,47.165474172970214,,,0.0,,True
2025-04-25,541144,Active Clothing Co  Limited,106.9,106.9,101.0,103.4,12979,1334236.0,,104.94112808496577,46.97787430010068,,,0.0,,True
2025-04-28,541144,Active Clothing Co  Limited,103.15,104.95,101.1,101.55,11373,1164268.0,,104.56146828738461,43.5285137998249,,,0.0,,True
