Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-04-01,512441,Enbee Trade &amp; Finance Ltd,6.89,7.61,6.89,7.61,915552,6592732.0,,7.61,,,,0.0,,True
2025-04-02,512441,Enbee Trade &amp; Finance Ltd,7.23,7.99,7.23,7.99,1645690,13025348.0,,7.809500000000001,,,,0.0,,True
2025-04-03,512441,Enbee Trade &amp; Finance Ltd,8.38,8.38,8.37,8.38,2864234,24001142.0,,8.018984179850126,,,,0.0,,True
2025-04-04,512441,Enbee Trade &amp; Finance Ltd,8.78,8.79,8.78,8.79,2832242,24879550.0,,8.241564526184538,,,,0.0,,True
2025-04-07,512441,Enbee Trade &amp; Finance Ltd,9.21,9.22,9.21,9.22,4087259,37663423.0,,8.478239740995347,,,,0.0,,True
2025-04-08,512441,Enbee Trade &amp; Finance Ltd,9.67,9.68,9.67,9.68,1493895,14458285.0,,8.731756262357878,,,,0.0,,True
2025-04-09,512441,Enbee Trade &amp; Finance Ltd,9.2,9.2,9.2,9.2,106706,981695.0,,8.820289563265826,,,,0.0,,False
2025-04-11,512441,Enbee Trade &amp; Finance Ltd,0.89,0.95,0.88,0.9,5854307,5214508.0,,7.451227714463441,,,,0.0,,False
2025-04-15,512441,Enbee Trade &amp; Finance Ltd,0.86,0.86,0.86,0.86,1844823,1586547.0,,6.393962559531313,,,,0.0,,False
2025-04-16,512441,Enbee Trade &amp; Finance Ltd,0.82,0.82,0.82,0.82,202653,166175.0,,5.554572095527145,,,,0.0,,False
2025-04-17,512441,Enbee Trade &amp; Finance Ltd,0.78,0.78,0.78,0.78,303697,236883.0,,4.87327491510613,,,,0.0,,False
2025-04-21,512441,Enbee Trade &amp; Finance Ltd,0.75,0.75,0.75,0.75,675939,506954.0,,4.311568782011335,,,,0.0,,False
2025-04-22,512441,Enbee Trade &amp; Finance Ltd,0.72,0.78,0.72,0.78,8064419,6036240.0,,3.84941345779572,,,,0.0,,False
2025-04-23,512441,Enbee Trade &amp; Finance Ltd,0.81,0.81,0.8,0.81,3613310,2913240.0,,3.4653463139947878,15.592769113398816,,,0.0,,False
2025-04-24,512441,Enbee Trade &amp; Finance Ltd,0.85,0.85,0.84,0.85,4365138,3701048.0,,3.144840719408439,16.12577105193725,,,0.0,,False
2025-04-25,512441,Enbee Trade &amp; Finance Ltd,0.88,0.89,0.81,0.81,15721849,13347167.0,,2.8663170091769063,16.01685022406822,,,0.0,,False
2025-04-28,512441,Enbee Trade &amp; Finance Ltd,0.77,0.77,0.77,0.77,409096,315003.0,,2.622120304176974,15.901184520296056,,,0.0,,False
2025-04-29,512441,Enbee Trade &amp; Finance Ltd,0.74,0.8,0.74,0.8,78025280,58972810.0,,2.414281003956748,16.38886743756592,,,0.0,,False
2025-04-30,512441,Enbee Trade &amp; Finance Ltd,0.83,0.84,0.83,0.84,8351458,6985020.0,,2.238029564222621,17.079320147493988,,,0.0,,False
2025-05-02,512441,Enbee Trade &amp; Finance Ltd,0.88,0.88,0.87,0.88,11777789,10354962.0,3.5759999999999996,2.0884890616657183,17.810244120366576,,,0.0,0.7169546367337426,False
2025-05-05,512441,Enbee Trade &amp; Finance Ltd,0.85,0.92,0.84,0.84,8450145,7294911.0,3.2375,1.9530260758066116,17.642764994832802,,,0.0,0.6250530565964361,False
2025-05-06,512441,Enbee Trade &amp; Finance Ltd,0.8,0.82,0.8,0.8,2997111,2399338.0,2.8779999999999997,1.8295585752982615,17.46589009023394,,,0.0,0.5911881768802487,False
2025-05-07,512441,Enbee Trade &amp; Finance Ltd,0.76,0.84,0.76,0.76,12082843,9297055.0,2.497,1.7163694006019024,17.279333226249094,,,0.0,0.4720884774106147,False
2025-05-08,512441,Enbee Trade &amp; Finance Ltd,0.78,0.78,0.73,0.73,5770721,4271030.0,2.0940000000000003,1.6130778057956343,17.131537188964813,,,0.0,0.41473902473060237,False
2025-05-09,512441,Enbee Trade &amp; Finance Ltd,0.73,0.75,0.7,0.73,5668838,4038151.0,1.6695,1.5214713115167282,17.131537188964813,,,0.0,0.39420521210732556,False
2025-05-12,512441,Enbee Trade &amp; Finance Ltd,0.74,0.76,0.73,0.76,3423330,2593088.0,1.2235,1.4431452903227,17.945505599324036,-1.3820372183606748,,0.0,0.4007824743374612,False
2025-05-13,512441,Enbee Trade &amp; Finance Ltd,0.74,0.79,0.73,0.73,5438465,4032137.0,0.8,1.3703451316713549,17.757665280548352,-1.3096008900377651,,0.0,0.3593964906936411,False
2025-05-14,512441,Enbee Trade &amp; Finance Ltd,0.71,0.73,0.7,0.71,3134321,2216493.0,0.7905,1.3033932755432704,17.625212553207433,-1.2395199958812089,,59.46299943192019,0.37293770566018136,False
2025-05-15,512441,Enbee Trade &amp; Finance Ltd,0.73,0.73,0.68,0.68,5394730,3696408.0,0.7815000000000001,1.240574343097387,17.41537471402016,-1.1728808908197335,,59.39281611740663,0.33639785245534537,False
2025-05-16,512441,Enbee Trade &amp; Finance Ltd,0.65,0.67,0.65,0.65,3114014,2024299.0,0.773,1.1813899168789546,17.194912534432206,-1.1096977641667858,,59.35035686219602,0.31448257805046714,False
2025-05-19,512441,Enbee Trade &amp; Finance Ltd,0.63,0.68,0.62,0.68,13452467,9001482.0,0.768,1.1313919474086018,18.308597378985894,-1.0451560237501827,,59.33500255382298,0.3610856343829196,False
2025-05-20,512441,Enbee Trade &amp; Finance Ltd,0.67,0.68,0.65,0.65,3105773,2032298.0,0.7630000000000001,1.083602278611219,18.047200845211506,-0.9850716855462891,,59.320744981762296,0.3414022505191961,False
2025-05-21,512441,Enbee Trade &amp; Finance Ltd,0.63,0.64,0.62,0.62,6929051,4312147.0,0.755,1.037763657027505,17.773917854311364,-0.9291643358361583,,59.33493523535419,0.26881783061316844,False
2025-05-22,512441,Enbee Trade &amp; Finance Ltd,0.62,0.62,0.59,0.6,4807496,2853143.0,0.7445,0.9946366699071997,17.582763885711714,-0.8763689554554445,-1.0766081581078315,59.37708053246488,0.24146465661082148,False
2025-05-23,512441,Enbee Trade &amp; Finance Ltd,0.6,0.6,0.57,0.58,3408716,1967685.0,0.731,0.9539215596130601,17.381451326332993,-0.8266133844397234,-1.02660920337421,59.43665803538626,0.21530391414388914,False
2025-05-26,512441,Enbee Trade &amp; Finance Ltd,0.59,0.6,0.59,0.6,3362837,2008443.0,0.7205,0.9192707969528516,18.387742814125204,-0.7766155623112843,-0.9766104751616249,59.491980002384686,0.33029658667897993,False
2025-05-27,512441,Enbee Trade &amp; Finance Ltd,0.61,0.63,0.61,0.63,2828980,1759365.0,0.7135,0.8910250150157861,19.9625074529781,-0.726199997255541,-0.9265283795804082,59.40292261740422,0.34089419693416034,False
2025-05-28,512441,Enbee Trade &amp; Finance Ltd,0.66,0.66,0.65,0.66,4626811,3049475.0,0.7065,0.8685207898292014,21.591827054016903,-0.6760316770864481,-0.8764290390816163,59.17280059124505,-0.06864645835152007,False
2025-05-29,512441,Enbee Trade &amp; Finance Ltd,0.68,0.69,0.68,0.69,5501435,3763975.0,0.6990000000000001,0.851168712007076,23.27388403981388,-0.6266287860469998,-0.8264689884746931,58.80459075300752,-0.09506713863706755,False
