Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-13 00:00:00+05:30,595.0,595.0499877929688,585.0,589.0999755859375,18201,0.0,0.0,,589.0999755859375,,,,0.0,,True
2025-03-17 00:00:00+05:30,585.5499877929688,592.7000122070312,577.5499877929688,590.2999877929688,23492,0.0,0.0,,589.7299819946289,,,,0.0,,True
2025-03-18 00:00:00+05:30,590.2999877929688,590.2999877929688,590.2999877929688,590.2999877929688,0,0.0,0.0,,589.9392847065922,,,,0.0,,True
2025-03-19 00:00:00+05:30,604.7999877929688,614.0,604.7999877929688,612.0999755859375,24685,0.0,0.0,,596.3367335293359,,,,0.0,,True
2025-03-20 00:00:00+05:30,612.0999755859375,637.5499877929688,612.0999755859375,631.7000122070312,36981,0.0,0.0,,604.8908097065009,,,,0.0,,True
2025-03-21 00:00:00+05:30,635.0,647.9000244140625,632.0,640.5999755859375,24512,0.0,0.0,,612.4238126051076,,,,0.0,,True
2025-03-24 00:00:00+05:30,644.9500122070312,652.0,620.1500244140625,635.7999877929688,67974,0.0,0.0,,616.8436687304779,,,,0.0,,False
2025-03-25 00:00:00+05:30,636.25,662.75,635.5499877929688,640.9000244140625,38251,0.0,0.0,,621.0019306885213,,,,0.0,,True
2025-03-26 00:00:00+05:30,644.0999755859375,644.9500122070312,610.0,613.9000244140625,21976,0.0,0.0,,619.8627501954694,,,,0.0,,False
2025-03-27 00:00:00+05:30,613.9000244140625,634.9000244140625,607.5999755859375,631.7999877929688,36336,0.0,0.0,,621.6603947434687,,,,0.0,,True
2025-03-28 00:00:00+05:30,633.4000244140625,674.7000122070312,622.4000244140625,652.0999755859375,36478,0.0,0.0,,626.00390452534,,,,0.0,,True
2025-04-01 00:00:00+05:30,661.0999755859375,672.0,640.3499755859375,643.5499877929688,15352,0.0,0.0,,628.3941750714807,,,,0.0,,True
2025-04-02 00:00:00+05:30,635.0999755859375,653.0,635.0499877929688,645.4500122070312,5077,0.0,0.0,,630.6261706597586,,,,0.0,,True
2025-04-03 00:00:00+05:30,641.0999755859375,668.7999877929688,641.0999755859375,665.9000244140625,16588,0.0,0.0,,635.0834544253219,73.70185338787277,,,0.0,,True
2025-04-04 00:00:00+05:30,659.0499877929688,665.1500244140625,636.25,642.5,15895,0.0,0.0,,635.9923376338168,59.94176865309291,,,0.0,,True
2025-04-07 00:00:00+05:30,620.0,635.0,570.5499877929688,612.0999755859375,24800,0.0,0.0,,633.1422120263378,47.52729974987035,,,0.0,,True
2025-04-08 00:00:00+05:30,622.7999877929688,632.4500122070312,616.4000244140625,627.3499755859375,17240,0.0,0.0,,632.4674834203423,52.80751943760952,,,0.0,,True
2025-04-09 00:00:00+05:30,632.0,644.9000244140625,620.9000244140625,635.9000244140625,9384,0.0,0.0,,632.8590146032597,55.510597490174995,,,0.0,,True
2025-04-11 00:00:00+05:30,640.9000244140625,641.0499877929688,624.9500122070312,632.0499877929688,6925,0.0,0.0,,632.7684385626804,54.01041448994645,,,0.0,,True
2025-04-15 00:00:00+05:30,636.9500122070312,734.0,632.0499877929688,669.5,268873,0.0,0.0,630.1449951171875,636.8131635832146,64.1574471581649,,,0.0,-0.032352890927265156,True
2025-04-16 00:00:00+05:30,668.8499755859375,697.7000122070312,667.8499755859375,685.4000244140625,31783,0.0,0.0,634.9599975585937,642.0849128069412,67.44194187931761,,,0.0,-0.019372089329172268,True
2025-04-17 00:00:00+05:30,685.4000244140625,685.4000244140625,671.9500122070312,673.1500244140625,14570,0.0,0.0,639.1024993896484,645.4114045174266,62.67655940762122,,,0.0,-0.05887423142600298,True
2025-04-21 00:00:00+05:30,678.2000122070312,690.0,670.2000122070312,673.5,28383,0.0,0.0,643.2625,648.3839625563033,62.757523526249294,,,0.0,-0.08212158623789582,True
2025-04-22 00:00:00+05:30,673.2000122070312,690.0499877929688,665.9500122070312,683.6500244140625,17338,0.0,0.0,646.8400024414062,652.0769884851304,65.12068240750745,,,0.0,-0.09159840789508136,True
2025-04-23 00:00:00+05:30,683.6500244140625,686.6500244140625,669.0,670.1500244140625,12233,0.0,0.0,648.7625030517578,653.9518034239279,59.69512228466726,,,0.0,-0.13791843143938703,True
2025-04-24 00:00:00+05:30,670.0,685.0,669.0,671.6500244140625,8492,0.0,0.0,650.3150054931641,655.7722675850908,60.09297031791591,17.41125940138045,,0.0,-0.15217376779376965,True
2025-04-25 00:00:00+05:30,671.6500244140625,676.7000122070312,651.0,654.5,11177,0.0,0.0,651.2500061035156,655.6423904292035,53.58078371885772,15.557028232226116,,0.0,-0.1766605620125648,True
2025-04-28 00:00:00+05:30,650.2999877929688,668.7999877929688,650.0499877929688,665.1500244140625,5898,0.0,0.0,652.4625061035156,656.6063617104963,56.7175727923745,14.7765695403383,,24.504887484426785,-0.14178962783706567,True
2025-04-29 00:00:00+05:30,666.7999877929688,687.4500122070312,665.5499877929688,680.0999755859375,27036,0.0,0.0,655.7725036621093,658.97379780718,60.72928839816304,15.189293797836967,,24.85634223689087,-0.09804601987734352,True
2025-04-30 00:00:00+05:30,684.3499755859375,709.0,544.0999755859375,694.2999877929688,222553,0.0,0.0,658.8975036621093,662.5140130387235,64.13009821086317,16.47232040016638,,24.826457194492864,0.11933058053516113,True
2025-05-02 00:00:00+05:30,696.5999755859375,715.0,693.3499755859375,698.5999755859375,37177,0.0,0.0,661.2225036621094,666.1124596628097,65.11527035592687,17.632840890887337,,24.606164903468585,0.08898064621663504,True
2025-05-05 00:00:00+05:30,700.0,703.8499755859375,684.0499877929688,694.1500244140625,16803,0.0,0.0,663.7525054931641,668.8958588047365,63.18132857193046,17.98615467599336,,24.5966768937584,0.10458784097304696,True
2025-05-06 00:00:00+05:30,694.1500244140625,698.9500122070312,670.0,672.5499877929688,12714,0.0,0.0,665.1075042724609,669.2571603850726,54.69039346516304,16.334917202516294,,24.877705887719838,0.0895988176788093,True
2025-05-07 00:00:00+05:30,666.25,689.0,666.25,679.4000244140625,12655,0.0,0.0,665.782504272461,670.2564008640824,56.67873500882935,15.401501394466095,16.494927247198298,25.21629658501598,0.07614676621621431,True
2025-05-08 00:00:00+05:30,682.6500244140625,702.0,678.4000244140625,698.4000244140625,26371,0.0,0.0,668.577505493164,673.0199546452052,61.69930209338542,16.01034654320779,16.398011106400197,25.03328540850025,0.10882498544539163,True
2025-05-09 00:00:00+05:30,670.0,696.2999877929688,670.0,689.7000122070312,12887,0.0,0.0,672.4575073242188,674.6530190913649,58.36390946679266,15.61088981367584,16.240586847855326,25.06244768900961,0.10949838705329124,True
2025-05-12 00:00:00+05:30,694.0,707.7000122070312,694.0,705.6500244140625,16825,0.0,0.0,676.372509765625,677.679714707617,62.37923012083716,16.39238890746742,16.270947259777746,24.64119942466624,0.1164372267022224,True
2025-05-13 00:00:00+05:30,703.5,712.9000244140625,703.5,709.9000244140625,10868,0.0,0.0,680.072509765625,680.8183060206218,63.39229074567206,17.15689801049541,16.44813740992128,24.045847547368673,0.11819904382661506,True
2025-05-14 00:00:00+05:30,713.3499755859375,722.25,706.7999877929688,715.4000244140625,8948,0.0,0.0,684.2400115966797,684.1796213573953,64.71644486959178,17.999098612463285,16.758329650429683,23.124241869100278,0.12017978654405234,True
2025-05-15 00:00:00+05:30,717.9500122070312,724.7999877929688,712.25,717.0999755859375,11653,0.0,0.0,686.6200103759766,687.3731905063736,65.13620299262126,18.589433096519656,17.12455033964768,22.16629286318576,0.30248554587009574,True
2025-05-16 00:00:00+05:30,721.9500122070312,721.9500122070312,695.0,703.3499755859375,92822,0.0,0.0,687.5175079345703,688.9203419373054,59.02006354639892,17.743234380649255,17.248287147847996,21.82959557574779,0.20476294565717026,True
2025-05-19 00:00:00+05:30,700.0,710.2999877929688,698.9500122070312,705.4500122070312,14639,0.0,0.0,689.1325073242188,690.5184773547754,59.64333758213963,17.04558036641447,17.207745791561294,21.516948094555392,0.2279478308840921,True
2025-05-20 00:00:00+05:30,704.4500122070312,710.9000244140625,690.0499877929688,693.5499877929688,9388,0.0,0.0,690.1350067138671,690.8111495487791,54.577758308279094,15.35544401606137,16.83728543646131,21.51431601025437,0.2568627063997881,True
2025-05-21 00:00:00+05:30,693.5499877929688,717.0,689.0499877929688,713.9000244140625,29273,0.0,0.0,691.6475067138672,693.0373212974641,60.7213917447751,15.479637044492279,16.565755758067503,21.21024330547391,0.2761568651869136,True
2025-05-22 00:00:00+05:30,713.9000244140625,731.0,704.9500122070312,723.2000122070312,18212,0.0,0.0,694.3000061035157,695.9421068149607,63.17286167921822,16.142412522679365,16.481087110989876,20.265223275078863,0.30302650862330316,True
2025-05-23 00:00:00+05:30,723.2000122070312,733.9500122070312,713.0499877929688,718.2999877929688,18980,0.0,0.0,696.6325042724609,698.0929660542452,61.01219546133699,16.08683680420927,16.402237049633754,19.251669641850054,0.2917702535424008,True
