Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-13 00:00:00+05:30,148.5360608215636,150.06050748106867,146.60118736227295,147.44158935546875,48286431,0.0,0.0,,147.44158935546875,,,,0.0,,True
2025-03-17 00:00:00+05:30,148.52629329282075,149.16147442722846,147.46112205622714,148.3503875732422,35879780,0.0,0.0,,147.91870841979983,,,,0.0,,True
2025-03-18 00:00:00+05:30,148.3503875732422,148.3503875732422,148.3503875732422,148.3503875732422,0,0.0,0.0,,148.07721841702553,,,,0.0,,True
2025-03-19 00:00:00+05:30,153.22667411298733,155.57197433934243,152.93350785692914,154.98565673828125,66161413,0.0,0.0,,150.0715777466125,,,,0.0,,True
2025-03-20 00:00:00+05:30,156.35374794501885,156.45147500190663,153.08008538299788,155.41561889648438,39889517,0.0,0.0,,151.36425582396345,,,,0.0,,True
2025-03-21 00:00:00+05:30,155.40584351032305,156.1094365298207,153.24621583715896,153.6957244873047,49184821,0.0,0.0,,151.85608921649515,,,,0.0,,False
2025-03-24 00:00:00+05:30,154.3993113992171,155.37652223085772,153.5295943554991,154.8097381591797,30905773,0.0,0.0,,152.4145511233984,,,,0.0,,True
2025-03-25 00:00:00+05:30,155.3765371358708,155.3765371358708,152.4937678882025,153.15826416015625,28467187,0.0,0.0,,152.54310565880385,,,,0.0,,False
2025-03-26 00:00:00+05:30,152.64034323101205,153.94980228952724,151.4774598465637,152.2592315673828,23182869,0.0,0.0,,152.4975708664633,,,,0.0,,False
2025-03-27 00:00:00+05:30,151.27224682045127,152.5426239434226,150.6859143295246,151.87811279296875,25909068,0.0,0.0,,152.4042858480965,,,,0.0,,False
2025-03-28 00:00:00+05:30,151.8390258703937,153.3341572703865,149.87482252883336,150.72500610351562,24589315,0.0,0.0,,152.16466467739664,,,,0.0,,False
2025-04-01 00:00:00+05:30,148.60446419671834,151.7999330064872,148.60446419671834,149.63052368164062,29142122,0.0,0.0,,151.81944332574042,,,,0.0,,False
2025-04-02 00:00:00+05:30,150.49047127157428,152.68919568950312,148.7999006719953,151.1647491455078,24977582,0.0,0.0,,151.733767406679,,,,0.0,,False
2025-04-03 00:00:00+05:30,149.51325941332826,152.41557681835366,149.12238103941442,150.11912536621094,15117526,0.0,0.0,,151.52973759456083,50.07865713190127,,,0.0,,False
2025-04-04 00:00:00+05:30,149.1419123471199,149.50349049432825,136.80951642387632,137.1906280517578,80846143,0.0,0.0,,149.77250766089475,22.835282133944787,,,0.0,,False
2025-04-07 00:00:00+05:30,125.08299082174617,127.37944232078594,122.47383959940032,126.52925872802734,121806340,0.0,0.0,,146.9998149128183,15.396753807514074,,,0.0,,False
2025-04-08 00:00:00+05:30,131.8159780122064,133.09612190842537,125.10254388507536,127.31103515625,68999181,0.0,0.0,,144.70629960908514,17.518490593928462,,,0.0,,False
2025-04-09 00:00:00+05:30,127.03741156804094,127.03741156804094,122.44452351663804,124.28167724609376,73399980,0.0,0.0,,142.37657461263166,15.858798729178318,,,0.0,,False
2025-04-11 00:00:00+05:30,131.60098439713468,131.6302995299769,127.51625016987548,130.3794708251953,73706472,0.0,0.0,,141.0334174444635,30.194727176982127,,,0.0,,False
2025-04-15 00:00:00+05:30,132.50980736190837,133.87789669215056,131.7671175160152,133.3013458251953,38967608,0.0,0.0,145.04887657165528,140.18199424557815,35.83606018249003,,,0.0,-0.031395086886380166,False
2025-04-16 00:00:00+05:30,133.3013360852319,134.46421938649672,131.5521203075305,133.84857177734375,42684087,0.0,0.0,144.369225692749,139.49480815432835,36.86514793948545,,,0.0,0.02374558674348119,False
2025-04-17 00:00:00+05:30,131.33713114003783,134.81601426124502,130.65308653316296,134.0146942138672,62282856,0.0,0.0,143.65244102478027,138.90799057498057,37.194458488676176,,,0.0,0.06289777928688574,False
2025-04-21 00:00:00+05:30,134.5130777078614,137.1026956027805,133.92676010016575,136.00820922851562,26503486,0.0,0.0,143.03533210754395,138.60111270500067,41.16070615916913,,,0.0,0.06983675289667993,False
2025-04-22 00:00:00+05:30,138.76394556756264,139.58479913170353,134.56193578295367,135.01145935058594,58429662,0.0,0.0,142.03662223815917,138.2252078771006,39.807095638108095,,,0.0,-0.01982121289010383,False
2025-04-23 00:00:00+05:30,136.21341736789535,138.275332821248,134.19059869803928,137.94308471679688,37851304,0.0,0.0,141.1629955291748,138.1959416974948,45.48554245101637,,,0.0,-0.0024501852632195487,False
2025-04-24 00:00:00+05:30,137.4935712585559,138.6466878794268,137.08314446805932,138.29489135742188,23061444,0.0,0.0,140.39295387268066,138.20611980012765,46.14216142639726,-3.415801757901818,,0.0,0.048449741221511314,False
2025-04-25 00:00:00+05:30,138.7639381366849,140.18089086079942,134.87464320062503,135.68572998046875,37764696,0.0,0.0,139.4367534637451,137.94883032318057,42.09276087280227,-3.2503683260150353,,0.0,0.006508465825027474,False
2025-04-28 00:00:00+05:30,135.38278368906367,139.3502722387082,135.2264412865147,138.8323516845703,26971589,0.0,0.0,138.72045783996583,138.03840983582745,48.01761033477684,-2.832701446277781,,20.157787798953027,0.04531026061749272,False
2025-04-29 00:00:00+05:30,138.8323622290045,140.0343274826286,137.70856072706445,138.2753448486328,25758449,0.0,0.0,138.02126350402833,138.0622856220244,47.09894710414905,-2.5176216562304887,,19.240156839028305,0.040087082047147934,False
2025-04-30 00:00:00+05:30,138.22646938253004,138.33396317063088,134.85509498999104,136.8876953125,29205042,0.0,0.0,137.2717426300049,137.94457401751018,44.79945221858971,-2.352769115272622,,19.02573529026812,0.03729619682141055,False
2025-05-02 00:00:00+05:30,136.80952303872215,139.83888272757287,136.2720540731448,138.1776123046875,29588258,0.0,0.0,136.64437294006348,137.9678123012799,47.37166861541422,-2.0938995967377423,,18.395996253443183,0.05276756870702493,False
2025-05-05 00:00:00+05:30,138.3437451514002,139.44798325609716,137.9821670027162,138.8421173095703,17213477,0.0,0.0,136.10495262145997,138.05460799239816,48.69790337149696,-1.8142105479606414,,17.811238576391457,0.06810997905700333,False
2025-05-06 00:00:00+05:30,138.8421276077804,142.08646006882103,138.31442536723225,141.14834594726562,42658262,0.0,0.0,135.60413246154786,138.36050097423845,53.113946173059446,-1.3904335324021702,,16.560769945959755,0.0840171169276748,True
2025-05-07 00:00:00+05:30,138.95938614784575,143.60113789445452,138.95938614784575,142.67279052734375,34674594,0.0,0.0,135.2318157196045,138.78533307948587,55.821065270536685,-0.9209609920877142,-2.0689514365870276,15.796229752336416,0.11040176203174812,True
2025-05-08 00:00:00+05:30,142.67279248588267,143.3177552634447,139.5945840918764,140.39588928222656,29687927,0.0,0.0,135.39207878112794,138.94348111169964,51.07744333298864,-0.7242784915420089,-1.8000168475780238,15.086299572543314,0.18222773063461017,True
