Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-28,800322,Sovereign Gold Bonds 2020-21 S,8650.0,8700.0,8650.0,8700.0,64,556300.0,,8700.0,,,,0.0,,True
2025-04-02,800322,Sovereign Gold Bonds 2020-21 S,8851.59,8925.0,8851.59,8914.55,60,535039.0,,8812.63875,,,,0.0,,True
2025-04-03,800322,Sovereign Gold Bonds 2020-21 S,8920.0,8950.0,8855.0,8855.31,70,622090.0,,8828.307377185678,,,,0.0,,False
2025-04-07,800322,Sovereign Gold Bonds 2020-21 S,8400.0,8500.0,8320.0,8480.0,33,277220.0,,8727.756422693266,,,,0.0,,False
2025-04-08,800322,Sovereign Gold Bonds 2020-21 S,8480.0,8480.0,8301.0,8447.26,130,1094562.0,,8659.90672501651,,,,0.0,,True
2025-04-09,800322,Sovereign Gold Bonds 2020-21 S,8447.26,8545.0,8425.0,8509.75,32,271137.0,,8628.230514807243,,,,0.0,,True
2025-04-11,800322,Sovereign Gold Bonds 2020-21 S,8610.0,8750.0,8610.0,8750.0,11,94850.0,,8651.254110441992,,,,0.0,,True
2025-04-15,800322,Sovereign Gold Bonds 2020-21 S,8750.0,8850.0,8750.0,8850.0,35,307110.0,,8685.608336108455,,,,0.0,,True
2025-04-16,800322,Sovereign Gold Bonds 2020-21 S,8850.0,8901.0,8850.0,8901.0,72,638830.0,,8720.158212210546,,,,0.0,,True
2025-04-21,800322,Sovereign Gold Bonds 2020-21 S,9300.0,9300.0,9225.0,9225.0,14,129525.0,,8796.183011081264,,,,0.0,,True
2025-04-23,800322,Sovereign Gold Bonds 2020-21 S,9225.0,9225.0,9210.0,9210.0,3,27645.0,,8855.231726258226,,,,0.0,,True
2025-04-25,800322,Sovereign Gold Bonds 2020-21 S,9210.1,9240.0,9210.1,9240.0,16,147810.0,,8907.647998185485,,,,0.0,,True
2025-04-29,800322,Sovereign Gold Bonds 2020-21 S,9240.0,9240.0,9240.0,9240.0,7,64680.0,,8951.140920632493,,,,0.0,,True
2025-04-30,800322,Sovereign Gold Bonds 2020-21 S,9300.0,9351.0,9300.0,9311.0,27,251760.0,,8996.613526022531,75.02866849502037,,,0.0,,True
2025-05-05,800322,Sovereign Gold Bonds 2020-21 S,9202.05,9289.99,9120.01,9289.99,28,257230.0,,9032.566241242937,73.25905986709346,,,0.0,,True
2025-05-06,800322,Sovereign Gold Bonds 2020-21 S,9431.0,9432.01,9431.0,9432.01,19,179193.0,,9080.215983168815,77.17756258167748,,,0.0,,True
