Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,513403,P.M.TELELINNKS LTD.,4.45,4.8,4.45,4.8,26195,120955.0,,4.8,,,,0.0,,True
2025-03-28,513403,P.M.TELELINNKS LTD.,4.8,4.8,4.8,4.8,1302,6249.0,,4.8,,,,0.0,,True
2025-04-01,513403,P.M.TELELINNKS LTD.,5.75,5.75,5.0,5.0,171,893.0,,4.873438800999167,,,,0.0,,True
2025-04-02,513403,P.M.TELELINNKS LTD.,5.5,5.5,5.17,5.17,309,1611.0,,4.959051433915212,,,,0.0,,False
2025-04-03,513403,P.M.TELELINNKS LTD.,5.0,5.0,4.61,4.61,7402,34144.0,,4.8746188624143505,,,,0.0,,False
2025-04-04,513403,P.M.TELELINNKS LTD.,4.61,4.61,4.51,4.51,5000,22675.0,,4.79770093728758,,,,0.0,,False
2025-04-07,513403,P.M.TELELINNKS LTD.,4.74,4.74,4.69,4.69,466,2206.0,,4.777337355839669,,,,0.0,,True
2025-04-08,513403,P.M.TELELINNKS LTD.,4.71,4.71,4.7,4.7,178,838.0,,4.7639692052788085,,,,0.0,,False
2025-04-09,513403,P.M.TELELINNKS LTD.,4.7,4.7,4.54,4.54,389,1778.0,,4.7280434495960675,,,,0.0,,False
2025-04-11,513403,P.M.TELELINNKS LTD.,4.61,4.61,4.52,4.56,19987,91942.0,,4.702737562155524,,,,0.0,,False
2025-04-15,513403,P.M.TELELINNKS LTD.,5.45,5.45,4.8,4.8,467,2361.0,,4.716616214176799,,,,0.0,,False
2025-04-16,513403,P.M.TELELINNKS LTD.,4.8,4.8,4.74,4.74,1973,9386.0,,4.7198017441698985,,,,0.0,,False
2025-04-17,513403,P.M.TELELINNKS LTD.,4.6,4.69,4.6,4.69,9309,43001.0,,4.7159017678168444,,,,0.0,,False
2025-04-21,513403,P.M.TELELINNKS LTD.,4.67,4.85,4.67,4.85,24166,116247.0,,4.732846723065115,54.111574316977595,,,0.0,,False
