Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,524576,VIVID GLOBAL INDUSTRIES LTD.,13.12,14.0,12.18,13.46,64362,811380.0,,13.46,,,,0.0,,True
2025-03-28,524576,VIVID GLOBAL INDUSTRIES LTD.,14.28,14.93,13.43,13.57,10772,149157.0,,13.517750000000001,,,,0.0,,True
2025-04-01,524576,VIVID GLOBAL INDUSTRIES LTD.,15.98,15.98,13.69,14.92,18794,275010.0,,14.032647793505413,,,,0.0,,True
2025-04-02,524576,VIVID GLOBAL INDUSTRIES LTD.,15.25,15.25,14.31,14.88,696,10325.0,,14.277265274314216,,,,0.0,,True
2025-04-03,524576,VIVID GLOBAL INDUSTRIES LTD.,14.5,14.9,14.1,14.75,1117,16320.0,,14.391615781572412,,,,0.0,,False
2025-04-04,524576,VIVID GLOBAL INDUSTRIES LTD.,14.75,15.6,14.01,15.28,6234,93701.0,,14.579024272576824,,,,0.0,,True
2025-04-07,524576,VIVID GLOBAL INDUSTRIES LTD.,15.0,15.0,13.76,13.91,2919,41286.0,,14.452528342194437,,,,0.0,,False
2025-04-08,524576,VIVID GLOBAL INDUSTRIES LTD.,13.75,14.25,13.56,13.64,4299,59539.0,,14.312078735461832,,,,0.0,,False
2025-04-09,524576,VIVID GLOBAL INDUSTRIES LTD.,13.75,14.1,13.75,14.05,4468,62829.0,,14.270040024791216,,,,0.0,,True
2025-04-11,524576,VIVID GLOBAL INDUSTRIES LTD.,14.05,14.75,13.9,14.56,4947,70069.0,,14.313705484602558,,,,0.0,,True
2025-04-15,524576,VIVID GLOBAL INDUSTRIES LTD.,15.4,15.4,13.8,15.03,3012,44732.0,,14.415915572528236,,,,0.0,,True
2025-04-16,524576,VIVID GLOBAL INDUSTRIES LTD.,15.03,15.49,14.75,15.3,446,6807.0,,14.536352762700822,,,,0.0,,True
2025-04-17,524576,VIVID GLOBAL INDUSTRIES LTD.,15.27,15.47,15.27,15.47,727,11129.0,,14.658533603083963,,,,0.0,,True
2025-04-21,524576,VIVID GLOBAL INDUSTRIES LTD.,15.45,15.45,15.2,15.4,1116,17166.0,,14.752226970321482,67.3889525799232,,,0.0,,True
2025-04-22,524576,VIVID GLOBAL INDUSTRIES LTD.,15.0,16.75,14.75,15.78,3536,55747.0,,14.878178552417612,70.79478831659482,,,0.0,,True
2025-04-23,524576,VIVID GLOBAL INDUSTRIES LTD.,16.0,16.25,15.01,15.64,1491,22694.0,,14.969056415884188,67.97798601950015,,,0.0,,True
2025-04-24,524576,VIVID GLOBAL INDUSTRIES LTD.,16.0,16.0,15.5,15.95,239,3805.0,,15.083325006933762,70.75293913088952,,,0.0,,True
2025-04-25,524576,VIVID GLOBAL INDUSTRIES LTD.,15.95,15.95,14.55,15.18,3704,56093.0,,15.094352194799251,57.438476744336874,,,0.0,,True
2025-04-28,524576,VIVID GLOBAL INDUSTRIES LTD.,14.76,15.25,14.12,14.95,4820,70969.0,,15.078190987176086,54.15994666982709,,,0.0,,True
2025-04-29,524576,VIVID GLOBAL INDUSTRIES LTD.,15.48,15.8,14.75,15.5,2064,31468.0,14.861,15.12463882117212,60.03457305538229,,,0.0,0.2154696993928819,True
2025-04-30,524576,VIVID GLOBAL INDUSTRIES LTD.,16.5,16.5,15.5,15.5,114,1769.0,14.963000000000003,15.165366087129724,60.03457305538229,,,0.0,0.050738618302091656,True
2025-05-02,524576,VIVID GLOBAL INDUSTRIES LTD.,15.7,15.74,15.0,15.5,840,12959.0,15.059500000000003,15.201199112656505,60.034573055382296,,,0.0,0.1965126414297035,True
2025-05-05,524576,VIVID GLOBAL INDUSTRIES LTD.,15.81,15.81,15.25,15.8,427,6628.0,15.1035,15.264568973654496,63.2436500041295,,,0.0,0.2521274735250441,True
2025-05-06,524576,VIVID GLOBAL INDUSTRIES LTD.,15.01,15.25,14.75,15.08,606,9089.0,15.113500000000002,15.24524109950421,52.37417031517948,,,0.0,0.2535815830661525,True
2025-05-07,524576,VIVID GLOBAL INDUSTRIES LTD.,15.99,15.99,14.99,15.25,482,7291.0,15.138500000000002,15.24573476630025,54.36832722020042,,,0.0,0.23705234741295095,True
2025-05-08,524576,VIVID GLOBAL INDUSTRIES LTD.,15.25,15.25,14.79,15.14,67,1014.0,15.131499999999999,15.234858737983853,52.826978208566146,0.3169619249557769,,0.0,0.1818033980801151,True
2025-05-09,524576,VIVID GLOBAL INDUSTRIES LTD.,15.2,15.2,14.0,15.12,3095,44193.0,15.192000000000002,15.223133589600788,52.53535059364958,0.2810154745426914,,0.0,0.30188058963201325,True
2025-05-12,524576,VIVID GLOBAL INDUSTRIES LTD.,15.25,15.75,14.91,15.47,6373,95716.0,15.283499999999998,15.248163174281865,57.008171653520904,0.2775700735120079,,43.28840456913874,0.41463399371006926,True
2025-05-13,524576,VIVID GLOBAL INDUSTRIES LTD.,15.75,15.75,15.67,15.74,699,11002.0,15.368,15.297725249365623,60.12952583150124,0.29324595505763185,,41.743588483588724,0.3861731497689445,True
2025-05-14,524576,VIVID GLOBAL INDUSTRIES LTD.,15.73,16.0,15.01,15.86,3736,58315.0,15.433000000000002,15.354073631042477,61.468508992752696,0.31175844396024033,,39.394961701829565,0.39712195063407507,True
2025-05-15,524576,VIVID GLOBAL INDUSTRIES LTD.,16.18,16.18,15.03,15.69,1240,18826.0,15.466,15.387571784423729,58.4726009041157,0.3091484743658732,,37.4091961830564,0.3766891005517143,True
2025-05-16,524576,VIVID GLOBAL INDUSTRIES LTD.,15.69,16.0,14.95,15.75,4092,63926.0,15.488499999999998,15.42355145645284,59.22791184162435,0.30836689164246955,,35.45254485321398,0.39070164585028655,True
