Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,531397,POLYCON INTERNATIONAL LTD.,25.0,25.0,25.0,25.0,1,25.0,,25.0,,,,0.0,,True
2025-03-28,531397,POLYCON INTERNATIONAL LTD.,26.25,26.25,26.25,26.25,3643,95628.0,,25.656250000000004,,,,0.0,,True
2025-04-01,531397,POLYCON INTERNATIONAL LTD.,27.56,27.56,27.56,27.56,11,303.0,,26.355295587010826,,,,0.0,,True
2025-04-02,531397,POLYCON INTERNATIONAL LTD.,28.93,28.93,26.2,26.2,1579,44763.0,,26.310464152119703,,,,0.0,,False
2025-04-03,531397,POLYCON INTERNATIONAL LTD.,26.2,26.2,24.9,25.88,15,391.0,,26.206338536892368,,,,0.0,,False
2025-04-04,531397,POLYCON INTERNATIONAL LTD.,24.65,24.65,24.65,24.65,1,24.0,,25.87802219511036,,,,0.0,,False
2025-04-07,531397,POLYCON INTERNATIONAL LTD.,23.42,23.42,23.42,23.42,5000,117100.0,,25.41327103851412,,,,0.0,,False
2025-04-08,531397,POLYCON INTERNATIONAL LTD.,22.25,22.25,22.25,22.25,1,22.0,,24.866483744734236,,,,0.0,,False
2025-04-09,531397,POLYCON INTERNATIONAL LTD.,22.25,22.25,21.21,21.21,2,43.0,,24.279965872745052,,,,0.0,,False
2025-04-15,531397,POLYCON INTERNATIONAL LTD.,22.27,22.27,20.2,21.58,3,64.0,,23.873374407066198,,,,0.0,,False
2025-04-16,531397,POLYCON INTERNATIONAL LTD.,20.51,20.51,20.51,20.51,86,1763.0,,23.393445011428614,,,,0.0,,False
2025-04-17,531397,POLYCON INTERNATIONAL LTD.,20.51,20.51,19.62,20.21,3,60.0,,22.959770171863994,,,,0.0,,False
2025-04-23,531397,POLYCON INTERNATIONAL LTD.,19.5,19.5,19.5,19.5,1,19.0,,22.50701070314464,,,,0.0,,False
2025-04-24,531397,POLYCON INTERNATIONAL LTD.,20.47,20.47,20.47,20.47,450,9211.0,,22.24960943361941,29.959269020616873,,,0.0,,False
2025-04-28,531397,POLYCON INTERNATIONAL LTD.,19.52,19.52,19.52,19.52,5,97.0,,21.915101116373112,26.487571118227834,,,0.0,,False
2025-04-29,531397,POLYCON INTERNATIONAL LTD.,19.52,19.52,18.75,18.8,76,1428.0,,21.543499955974276,24.198820440943223,,,0.0,,False
2025-05-02,531397,POLYCON INTERNATIONAL LTD.,19.74,19.74,19.74,19.74,5001,98719.0,,21.333413053664895,32.410224019543946,,,0.0,,False
2025-05-06,531397,POLYCON INTERNATIONAL LTD.,20.72,20.72,20.7,20.7,772,15982.0,,21.261163089970243,39.60578765319341,,,0.0,,False
