Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-13 00:00:00+05:30,608.888310125432,613.7287145188727,593.8183232620057,597.91015625,1390950,0.0,0.0,,597.91015625,,,,0.0,,True
2025-03-17 00:00:00+05:30,599.8064629240173,616.9224287856802,592.920141396749,608.8883666992188,3660246,0.0,0.0,,603.6737167358399,,,,0.0,,True
2025-03-18 00:00:00+05:30,608.8883666992188,608.8883666992188,608.8883666992188,608.8883666992188,0,0.0,0.0,,605.5885049405443,,,,0.0,,True
2025-03-19 00:00:00+05:30,638.1800567689106,664.9268194628262,632.042246377524,661.982666015625,3345438,0.0,0.0,,621.8686273132477,,,,0.0,,True
2025-03-20 00:00:00+05:30,667.6714148091472,668.4698138847249,646.363838717064,653.2999877929688,2309340,0.0,0.0,,629.4716059382204,,,,0.0,,True
2025-03-21 00:00:00+05:30,658.9500122070312,658.9500122070312,631.6500244140625,641.25,3885409,1.3,0.0,,631.9563090788057,,,,0.0,,False
2025-03-24 00:00:00+05:30,644.0499877929688,653.0,631.2000122070312,632.9000244140625,4241713,0.0,0.0,,632.1347422900398,,,,0.0,,False
2025-03-25 00:00:00+05:30,640.0,652.5499877929688,625.0499877929688,626.9000244140625,3652822,0.0,0.0,,631.2298950018189,,,,0.0,,False
2025-03-26 00:00:00+05:30,626.9000244140625,648.0,626.0499877929688,635.7999877929688,4273715,0.0,0.0,,631.9629602321836,,,,0.0,,False
2025-03-27 00:00:00+05:30,636.0,642.7000122070312,627.2000122070312,637.1500244140625,14138019,0.0,0.0,,632.7440871529236,,,,0.0,,True
2025-03-28 00:00:00+05:30,634.0,648.0,630.0499877929688,638.5,2705597,0.0,0.0,,633.5654146174593,,,,0.0,,True
2025-04-01 00:00:00+05:30,636.6500244140625,646.0,610.25,615.0,3111743,0.0,0.0,,631.0362824424814,,,,0.0,,True
2025-04-02 00:00:00+05:30,610.0,628.0499877929688,606.75,623.5999755859375,2398461,0.0,0.0,,630.063137356434,,,,0.0,,True
2025-04-03 00:00:00+05:30,618.0,626.4000244140625,607.75,615.9500122070312,2331069,0.0,0.0,,628.2797710124003,49.03285641696766,,,0.0,,True
2025-04-04 00:00:00+05:30,612.5499877929688,619.1500244140625,570.75,575.2000122070312,4572903,0.0,0.0,,621.7749500005972,33.413211361722404,,,0.0,,True
