Date,Code,Name,Open,High,Low,Close,Volume,Turnover,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-27,502933,KATARE SPINNING MILLS LTD.,179.95,179.95,179.9,179.9,2,359.0,,179.9,,,,0.0,,True
2025-03-28,502933,KATARE SPINNING MILLS LTD.,190.0,190.0,190.0,190.0,1,190.0,,185.20250000000001,,,,0.0,,True
2025-04-01,502933,KATARE SPINNING MILLS LTD.,189.0,189.0,171.95,172.0,988,171194.0,,180.35462114904246,,,,0.0,,False
2025-04-02,502933,KATARE SPINNING MILLS LTD.,197.75,197.75,167.7,178.9,76,13619.0,,179.9346945137157,,,,0.0,,False
2025-04-03,502933,KATARE SPINNING MILLS LTD.,178.9,182.95,165.0,167.5,208,35039.0,,176.92684772780134,,,,0.0,,False
2025-04-04,502933,KATARE SPINNING MILLS LTD.,187.65,187.65,177.95,177.95,8,1442.0,,177.1426861222968,,,,0.0,,True
2025-04-07,502933,KATARE SPINNING MILLS LTD.,189.95,189.95,159.0,172.0,31,5451.0,,176.1703314673619,,,,0.0,,False
2025-04-08,502933,KATARE SPINNING MILLS LTD.,172.0,178.9,172.0,177.55,23,4076.0,,176.40881410577308,,,,0.0,,True
2025-04-09,502933,KATARE SPINNING MILLS LTD.,182.95,182.95,170.0,174.95,36,6202.0,,176.17481318995388,,,,0.0,,False
2025-04-11,502933,KATARE SPINNING MILLS LTD.,175.0,178.9,174.95,178.9,3,528.0,,176.58520271025503,,,,0.0,,True
2025-04-15,502933,KATARE SPINNING MILLS LTD.,196.9,196.9,178.0,178.0,21,3872.0,,176.7870841323145,,,,0.0,,True
2025-04-16,502933,KATARE SPINNING MILLS LTD.,178.0,198.35,164.1,182.45,118,19791.0,,177.558532711313,,,,0.0,,True
2025-04-17,502933,KATARE SPINNING MILLS LTD.,175.0,177.95,172.25,175.0,734,128064.0,,177.2237128089693,,,,0.0,,True
2025-04-21,502933,KATARE SPINNING MILLS LTD.,190.0,190.0,174.0,174.0,150,26192.0,,176.81635718323182,45.8651132239583,,,0.0,,True
2025-04-22,502933,KATARE SPINNING MILLS LTD.,187.95,187.95,171.0,187.95,883,161193.0,,178.18076341570884,58.1201723210511,,,0.0,,True
2025-04-23,502933,KATARE SPINNING MILLS LTD.,171.0,185.9,171.0,174.85,204,35894.0,,177.78343584782155,47.292964221494245,,,0.0,,True
2025-04-24,502933,KATARE SPINNING MILLS LTD.,185.85,185.85,173.55,175.0,254,45087.0,,177.45919773896622,47.413764051530485,,,0.0,,True
2025-04-25,502933,KATARE SPINNING MILLS LTD.,175.0,185.0,172.65,172.65,527,91343.0,,176.91063884831772,45.6485944985465,,,0.0,,True
2025-04-28,502933,KATARE SPINNING MILLS LTD.,188.0,188.0,179.4,184.1,42,7745.0,,177.71553660835406,54.530813647287616,,,0.0,,True
2025-04-29,502933,KATARE SPINNING MILLS LTD.,180.0,180.0,170.0,175.0,133,23183.0,177.4325,177.41651314095452,47.83941161972878,,,0.0,-0.28796681913001126,True
2025-04-30,502933,KATARE SPINNING MILLS LTD.,179.25,179.25,179.25,179.25,5,896.0,177.4,177.61544928872368,50.87149352416263,,,0.0,-0.2873225220642317,True
2025-05-02,502933,KATARE SPINNING MILLS LTD.,186.9,186.9,169.2,183.95,37,6526.0,177.0975,178.2937610455654,54.052427328384766,,,0.0,-0.27950947197251585,True
