Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_20,EMA_20,RSI,MACD,MACD_signal,ADX,CMF,Supertrend
2025-03-13 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-17 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-18 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-19 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-20 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-21 00:00:00+05:30,32.0,32.0,32.0,32.0,0,0.0,0.0,0.0,,32.0,,,,0.0,,True
2025-03-24 00:00:00+05:30,24.43000030517578,24.61000061035156,24.43000030517578,24.61000061035156,89,0.0,0.0,0.0,,30.60273403128062,,,,0.0,,False
2025-03-25 00:00:00+05:30,25.84000015258789,25.84000015258789,25.84000015258789,25.84000015258789,160,0.0,0.0,0.0,,29.779471548610957,,,,0.0,,True
2025-03-26 00:00:00+05:30,27.1299991607666,27.1299991607666,27.1299991607666,27.1299991607666,2,0.0,0.0,0.0,,29.35448322231237,,,,0.0,,True
2025-03-27 00:00:00+05:30,28.479999542236328,28.479999542236328,28.479999542236328,28.479999542236328,2,0.0,0.0,0.0,,29.222793557348993,,,,0.0,,True
2025-03-28 00:00:00+05:30,29.89999961853028,29.89999961853028,29.89999961853028,29.89999961853028,5,0.0,0.0,0.0,,29.319426003318142,,,,0.0,,True
2025-04-01 00:00:00+05:30,31.38999938964844,31.38999938964844,31.38999938964844,31.38999938964844,5,0.0,0.0,0.0,,29.601496394953585,,,,0.0,,True
2025-04-02 00:00:00+05:30,32.95000076293945,32.95000076293945,32.95000076293945,32.95000076293945,24,0.0,0.0,0.0,,30.0396951721391,,,,0.0,,True
2025-04-03 00:00:00+05:30,34.59000015258789,34.59000015258789,34.59000015258789,34.59000015258789,20,0.0,0.0,0.0,,30.614681978485464,65.06520164544033,,,0.0,,True
2025-04-04 00:00:00+05:30,36.310001373291016,36.310001373291016,36.310001373291016,36.310001373291016,83,0.0,0.0,0.0,,31.312632272572195,69.54518163423425,,,0.0,,True
2025-04-07 00:00:00+05:30,36.310001373291016,36.310001373291016,36.310001373291016,36.310001373291016,0,0.0,0.0,0.0,,31.908769632931946,69.54518163423425,,,0.0,,True
2025-04-08 00:00:00+05:30,39.93999862670898,39.93999862670898,39.93999862670898,39.93999862670898,2,0.0,0.0,0.0,,32.844314995963806,76.82071423417617,,,0.0,,True
2025-04-09 00:00:00+05:30,43.93000030517578,43.93000030517578,43.93000030517578,43.93000030517578,2,0.0,0.0,0.0,,34.10879850555784,81.93053380692393,,,0.0,,True
2025-04-11 00:00:00+05:30,48.31999969482422,48.31999969482422,48.31999969482422,48.31999969482422,30,0.0,0.0,0.0,,35.69983890029308,85.67285621507553,,,0.0,,True
2025-04-15 00:00:00+05:30,50.72999954223633,50.72999954223633,50.72999954223633,50.72999954223633,1,0.0,0.0,0.0,34.12150001525879,37.35489696023581,87.235746644261,,,0.0,0.20941176470588235,True
2025-04-16 00:00:00+05:30,53.2599983215332,53.2599983215332,53.2599983215332,53.2599983215332,10,0.0,0.0,0.0,35.18449993133545,39.08062495173179,88.63709545854184,,,0.0,0.2045977011494253,True
2025-04-17 00:00:00+05:30,55.91999816894531,55.91999816894531,55.91999816894531,55.91999816894531,30,0.0,0.0,0.0,36.380499839782715,40.88380647978366,89.89341792247036,,,0.0,0.1913978494623656,True
2025-04-21 00:00:00+05:30,58.709999084472656,58.709999084472656,58.709999084472656,58.709999084472656,2,0.0,0.0,0.0,37.71599979400635,42.77031562056673,91.01547352215003,,,0.0,0.1905781584582441,True
2025-04-22 00:00:00+05:30,61.63999938964844,61.63999938964844,61.63999938964844,61.63999938964844,110,0.0,0.0,0.0,39.19799976348877,44.74632960560016,92.01774151289297,,,0.0,0.15424610051993068,True
2025-04-23 00:00:00+05:30,64.72000122070312,64.72000122070312,64.72000122070312,64.72000122070312,38,0.0,0.0,0.0,40.83399982452393,46.81830788716182,92.91276328257071,,,0.0,0.14471544715447154,True
2025-04-24 00:00:00+05:30,66.01000213623047,66.01000213623047,66.01000213623047,66.01000213623047,2,0.0,0.0,0.0,42.534499931335446,48.79239283004392,93.25394175864477,8.3824406934216,,0.0,0.14424635332252836,True
