TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-06-25,2025-06-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6033.3,6060.0,5943.7,5966.6,5963.0,6003.0,,5966.5,,,3306,19798683.0,1303,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,793.05,801.95,790.15,795.85,798.7,787.4,,796.1,,,15981,12717400.0,543,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,973.8,979.45,967.0,969.4,970.0,971.4,,969.6,,,55884,54312332.0,4433,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,36.26,36.9,35.12,35.52,35.5,35.73,,35.52,,,97482,3500693.0,298,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,54.41,55.49,54.05,54.86,54.86,54.33,,54.86,,,48138,2640937.0,407,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.19,4.26,4.11,4.17,4.13,4.19,,4.16,,,22461,93089.0,73,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,5.03,5.03,4.79,4.82,4.81,4.79,,4.82,,,7390,35761.0,52,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,9.91,9.91,9.2,9.38,9.38,9.85,,9.38,,,27301,256980.0,90,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,149.75,155.9,149.65,155.35,155.5,148.85,,155.27,,,97066,14850286.0,992,F1,1,,,,,,2025-06-25
2025-06-25,2025-06-25,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,370.0,370.0,363.8,363.8,363.8,355.0,,358.5,,,9,3280.0,2,F1,1,,,,,,2025-06-25
