TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-04-04,2025-04-04,CM,BSE,STK,143768,INE0NNS01018,NSLNISP#,A,,,,,NMDC Steel Limited,35.4,35.4,35.4,34.68,35.4,36.08,,,,,1,35.0,1,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5332.6,5332.6,5068.65,5096.1,5096.1,5331.05,,5095.9,,,20573,105752659.0,5200,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,797.0,805.0,766.8,778.85,778.85,809.65,,777.8,,,65668,51275561.0,2526,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1010.65,1017.65,979.0,991.25,994.3,1014.35,,991.3,,,87521,86631607.0,8312,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,40.35,40.95,38.01,38.1,38.45,40.33,,38.1,,,175772,6781293.0,505,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,53.0,53.45,52.15,52.46,52.46,53.09,,52.46,,,66050,3480267.0,395,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.95,3.95,3.95,3.95,3.95,3.88,,3.88,,,2239,8844.0,5,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.23,4.92,4.23,4.6,4.62,4.56,,4.6,,,9966,45464.0,91,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.0,11.31,10.51,11.29,11.29,11.0,,11.29,,,1917,21091.0,17,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,140.5,140.95,129.25,130.8,131.7,140.55,,130.9,,,95253,12739995.0,1610,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,369.0,369.0,357.15,357.15,357.15,369.0,,361.0,,,68,24644.0,3,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,5658.3,5658.3,5356.0,5363.55,5400.0,5625.4,,5365.15,,,2391,13043650.0,774,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,33.98,35.0,32.62,32.62,32.62,34.33,,32.62,,,36946,1223461.0,270,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,559.05,561.2,527.85,538.9,540.0,557.65,,539.2,,,18679,10087086.0,1690,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,19.69,19.69,18.25,18.47,18.47,19.61,,18.42,,,474647,8869671.0,2034,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,9100.0,9101.0,8805.0,8884.9,8884.9,9118.1,,8876.7,,,4784,42688271.0,1483,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,8621.05,8796.7,8588.0,8720.85,8720.85,8598.1,,8718.9,,,61827,537909410.0,10436,F1,1,,,,,,2025-04-04
2025-04-04,2025-04-04,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,559.1,563.0,545.65,551.85,551.85,569.05,,551.95,,,24510,13558069.0,1582,F1,1,,,,,,2025-04-04
