TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-06-23,2025-06-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5701.05,5959.45,5701.05,5920.05,5910.4,5968.7,,5923.5,,,5273,31176416.0,1534,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,785.75,791.3,773.0,786.25,784.9,786.95,,785.6,,,12374,9690257.0,484,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,965.05,986.35,965.05,974.5,974.5,970.8,,974.6,,,56729,55455276.0,3854,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,35.37,36.4,34.51,35.33,35.33,35.59,,35.33,,,61336,2171966.0,292,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,53.39,53.99,52.8,53.53,53.53,53.65,,53.53,,,46767,2499924.0,330,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.35,4.35,4.19,4.19,4.19,4.27,,4.11,,,2301,9651.0,22,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.6,5.1,4.6,4.99,5.03,4.83,,4.99,,,17221,83946.0,106,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,9.59,9.8,9.3,9.37,9.77,9.54,,9.37,,,2399,22967.0,34,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,147.5,148.65,145.85,147.35,147.6,146.5,,147.39,,,56538,8329262.0,788,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,347.7,360.0,347.7,350.0,350.0,365.95,,350.4,,,255,89482.0,10,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6609.8,7100.0,6609.8,6924.8,6931.0,6882.5,,6925.5,,,498,3445622.0,198,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,35.2,37.0,34.6,36.44,36.25,36.61,,36.44,,,42138,1502691.0,327,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,663.55,679.8,655.25,676.05,670.65,668.6,,670.9,,,2207,1478692.0,197,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,22.58,23.2,22.46,23.1,23.1,23.04,,23.11,,,1003838,22959459.0,2516,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,14150.05,14510.0,14070.7,14348.7,14297.35,14268.8,,14334.0,,,10426,149279089.0,2923,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500034,INE296A01032,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,900.0,918.05,890.0,915.5,915.5,904.65,,915.5,,,252303,228706792.0,6453,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,583.65,594.5,583.25,590.25,588.45,594.1,,590.55,,,7560,4464458.0,488,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,567.1,570.35,554.4,567.5,566.65,569.55,,568.7,,,13614,7657835.0,532,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500040,INE055A01016,ABREL,A,,,,,ADITYA BIRLA REAL ESTATE LIMIT,2351.1,2425.95,2351.1,2400.3,2387.0,2425.95,,2398.0,,,6936,16597924.0,926,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,4937.5,4937.5,4867.85,4921.0,4934.5,4889.55,,4924.5,,,251,1231992.0,104,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1196.3,1211.85,1195.0,1197.65,1200.0,1201.5,,1197.1,,,6671,8013819.0,810,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,4442.4,4874.85,4442.4,4786.9,4786.9,4627.2,,4788.6,,,106959,510449851.0,8799,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,411.4,422.45,409.3,420.9,420.9,408.05,,420.9,,,2453256,1023921677.0,27135,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,109.9,111.75,108.35,110.45,110.8,109.85,,110.48,,,28874,3170187.0,345,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,13.76,14.85,13.76,14.0,14.0,14.48,,14.0,,,5756,81023.0,73,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,12.9,13.25,12.65,12.66,12.65,13.09,,12.62,,,3577,45845.0,31,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,T,,,,,Birla Cable Limited,185.0,185.55,176.8,181.65,181.65,183.6,,180.21,,,14486,2620415.0,243,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1590.75,1623.25,1590.75,1611.55,1612.2,1610.75,,1611.7,,,21688,34876674.0,1442,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,13666.0,13798.95,13550.1,13620.05,13620.05,13800.0,,13620.05,,,60,818454.0,32,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,375.0,384.95,375.0,380.45,380.45,377.55,,380.45,,,1893,720610.0,31,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,93.9,93.9,89.17,90.86,90.86,90.42,,90.92,,,20271,1844614.0,402,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,382.5,391.0,382.0,390.25,389.55,388.7,,390.7,,,998,385828.0,66,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500083,INE281A01026,CENTEXT,B,,,,,CENTURY EXTRUSIONS LTD.,20.39,20.39,19.0,19.72,19.72,20.06,,19.73,,,12035,236553.0,390,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,160.9,164.9,160.9,163.6,163.6,163.3,,163.45,,,88613,14483858.0,1158,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,546.0,566.85,546.0,563.5,563.5,550.65,,563.3,,,67240,37686389.0,1962,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,378.0,382.35,376.25,378.2,378.3,380.2,,378.3,,,310027,117766489.0,3472,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1499.0,1505.1,1482.8,1498.35,1498.35,1500.5,,1499.1,,,20430,30547125.0,2475,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,678.8,678.8,640.0,650.3,651.0,649.5,,650.25,,,775,504093.0,59,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,5550.0,5816.75,5550.0,5786.05,5769.0,5673.15,,5794.5,,,1723,9824043.0,492,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,680.7,688.0,677.45,683.25,683.25,688.45,,683.3,,,106075,72383612.0,3477,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,463.3,468.35,463.0,467.65,467.4,466.7,,467.5,,,25116,11697925.0,1246,F1,1,,,,,,2025-06-23
2025-06-23,2025-06-23,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,421.5,421.5,393.0,397.9,398.3,397.6,,397.0,,,5933,2349014.0,166,F1,1,,,,,,2025-06-23
