TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-04-11,2025-04-11,CM,BSE,STK,500366,INE293A01013,ROLTA,Z,,,,,ROLTA INDIA LTD.,2.44,2.6,2.44,2.6,2.6,2.48,,2.56,,,101747,263158.0,91,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500367,INE642C01025,RUBFILA,B,,,,,RUBFILA INTERNATIONAL LTD.,64.15,67.41,64.15,67.0,66.67,65.28,,66.84,,,4638,309851.0,162,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500368,INE619A01035,PATANJALI,A,,,,,Patanjali Foods Limited,1833.95,1904.8,1821.1,1885.9,1886.65,1812.0,,1886.35,,,24391,45710856.0,2716,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500370,INE924A01013,SALORAINTL,X,,,,,SALORA INTERNATIONAL LTD.,41.83,42.8,40.6,40.67,40.67,41.83,,40.67,,,1145,47162.0,29,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500378,INE324A01032,JINDALSAW,A,,,,,JINDAL SAW LTD.,253.35,253.35,245.3,247.15,247.15,244.85,,247.1,,,58151,14390037.0,1699,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500380,INE786A01032,JKLAKSHMI,A,,,,,JK LAKSHMI CEMENT LTD.,790.05,794.9,787.4,789.55,790.65,794.75,,788.95,,,615,485824.0,120,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500387,INE070A01015,SHREECEM,A,,,,,SHREE CEMENT LTD.,30651.0,30670.85,29743.25,30109.85,30079.4,30335.6,,30107.95,,,461,13922042.0,151,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500388,INE970C01012,SKPMIL,X,,,,,SHREE KRISHNA PAPER MILLS & IN,46.55,46.55,45.39,46.55,46.55,44.34,,46.55,,,705,32102.0,5,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500389,INE368A01021,SILVERLINE,XT,,,,,SILVERLINE TECHNOLOGIES LTD.,12.99,12.99,12.0,12.34,12.34,12.38,,12.34,,,69048,864388.0,293,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500390,INE036A01016,RELINFRA,A,,,,,RELIANCE INFRASTRUCTURE LTD.,248.35,252.5,246.05,250.2,250.2,243.8,,250.15,,,304781,75960006.0,3237,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500400,INE245A01021,TATAPOWER,A,,,,,TATA POWER CO.LTD.,368.95,368.95,362.25,364.5,364.5,358.25,,364.45,,,483439,176596053.0,11283,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500402,INE937A01023,SPMLINFRA,B,,,,,SPML INFRA LIMITED,214.45,222.0,205.7,212.7,209.0,204.75,,211.67,,,118883,25298323.0,1871,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500403,INE387A01021,SUNDRMFAST,A,,,,,SUNDRAM FASTENERS LTD.,911.8,911.8,877.5,885.45,892.05,893.9,,886.95,,,4594,4068114.0,439,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500404,INE947A01014,SUNFLAG,A,,,,,SUNFLAG IRON & STEEL CO.LTD.,227.05,238.95,227.05,232.5,232.8,225.4,,232.23,,,19875,4654176.0,829,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500405,INE663A01033,SPLPETRO,A,,,,,SUPREME PETROCHEM LTD.,603.85,622.3,592.8,612.9,615.55,592.0,,617.65,,,2057,1248400.0,273,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500407,INE277A01016,SWARAJENG,B,,,,,SWARAJ ENGINES LTD.,3657.1,3898.0,3657.1,3848.0,3898.0,3657.05,,3868.7,,,566,2147174.0,174,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500408,INE670A01012,TATAELXSI,A,,,,,TATA ELXSI LTD.,4795.55,4883.0,4709.55,4752.1,4751.0,4755.15,,4752.05,,,16783,80346850.0,3665,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500410,INE012A01025,ACC,A,,,,,ACC LTD.,1987.35,2014.35,1977.5,2008.75,2004.3,1985.9,,2007.4,,,6542,13078401.0,1330,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500411,INE152A01029,THERMAX,A,,,,,THERMAX LTD.,3237.75,3237.75,3078.75,3085.0,3078.75,3070.95,,3085.45,,,1989,6165647.0,450,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500412,INE338A01024,TIRUMALCHM,A,,,,,THIRUMALAI CHEMICALS LTD.,253.2,265.6,253.2,261.0,261.0,253.2,,261.51,,,12247,3180509.0,538,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500413,INE332A01027,THOMASCOOK,A,,,,,THOMAS COOK (INDIA) LTD.,126.3,131.65,126.3,131.4,131.0,124.15,,131.32,,,71769,9297144.0,1133,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500414,INE064A01026,TIMEX,B,,,,,TIMEX GROUP INDIA LTD.,164.8,166.1,159.2,161.65,162.0,158.25,,161.65,,,25577,4168167.0,300,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500420,INE685A01028,TORNTPHARM,A,,,,,TORRENT PHARMACEUTICALS LTD.,3127.05,3187.6,3120.1,3127.5,3120.1,3126.55,,3129.0,,,1629,5151486.0,373,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500421,INE578C01021,TPINDIA,X,,,,,TPI INDIA LTD.,16.8,19.95,16.8,17.05,17.05,16.77,,17.05,,,1251,21478.0,21,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500422,INE019B01010,TRANSCHEM,X,,,,,TRANSCHEM LTD.,35.2,36.9,35.0,35.86,35.1,34.58,,35.86,,,1191,42781.0,27,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500425,INE079A01024,AMBUJACEM,A,,,,,AMBUJA CEMENTS LTD.,558.45,558.45,544.05,548.55,547.6,546.55,,548.65,,,460359,253201165.0,15236,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500426,INE184E01024,UTLINDS,X,,,,,UTL INDUSTRIES LIMITED,2.84,2.92,2.8,2.84,2.88,2.9,,2.84,,,49077,139323.0,131,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500429,INE037A01022,UNIENTER,B,,,,,UNIPHOS ENTERPRISES LTD.,150.55,154.4,149.0,150.75,150.75,150.05,,151.18,,,3394,516929.0,65,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500439,INE701A01023,VHL,B,,,,,VARDHMAN HOLDINGS LTD.,3533.95,3597.9,3500.0,3522.05,3500.0,3533.95,,3532.55,,,43,153420.0,36,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500440,INE038A01020,HINDALCO,A,,,,,HINDALCO INDUSTRIES LTD.,587.7,607.9,576.1,600.4,600.4,564.35,,600.3,,,560117,333825534.0,12959,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500444,INE976A01021,WSTCSTPAPR,A,,,,,West Coast Paper Mills Limited,429.5,439.4,425.95,434.75,433.4,426.2,,435.6,,,20596,8899388.0,724,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500449,INE048A01011,HOCL,T,,,,,HINDUSTAN ORGANIC CHEMICALS LT,37.05,38.49,36.9,37.62,37.62,36.91,,37.62,,,49497,1857237.0,382,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500450,INE844C01027,MPILCORPL,X,,,,,MPIL CORPORATION LTD.,620.0,620.0,620.0,620.0,620.0,595.0,,620.0,,,1,620.0,1,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500456,INE818B01023,PASUPTAC,T,,,,,PASUPATI ACRYLON LTD.,51.0,51.9,50.0,50.39,51.9,50.02,,50.9,,,2228,112665.0,57,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500458,INE601A01017,KORE,XT,,,,,Kore Foods Limited,32.4,32.4,32.3,32.3,32.3,31.77,,32.3,,,591,19146.0,8,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500459,INE179A01014,PGHH,A,,,,,PROCTER & GAMBLE HYGIENE & HEA,13980.0,13980.0,13598.65,13688.7,13680.0,13824.55,,13687.35,,,302,4130859.0,176,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500460,INE304A01026,MUKANDLTD,B,,,,,MUKAND LTD.,93.15,94.05,92.44,93.64,93.75,91.56,,93.62,,,11411,1063177.0,343,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500463,INE676A01027,BBOX,B,,,,,BLACK BOX LIMITED,338.75,344.65,332.1,339.95,342.0,326.95,,340.4,,,26817,9015408.0,1085,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500464,INE139B01016,UCAL,B,,,,,UCAL LIMITED,135.0,137.6,135.0,137.55,137.55,134.05,,137.57,,,1079,147054.0,55,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500467,INE544A01019,HARRMALAYA,B,,,,,HARRISONS MALAYALAM LTD.,194.05,194.9,190.15,192.2,192.2,187.0,,193.31,,,280,54145.0,49,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500469,INE171A01029,FEDERALBNK,A,,,,,FEDERAL BANK LTD.,192.1,192.95,189.6,190.3,190.3,190.0,,190.44,,,177611,33861360.0,2722,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500470,INE081A01020,TATASTEEL,A,,,,,TATA STEEL LTD.,134.95,134.95,130.4,133.45,133.45,127.2,,133.42,,,4556027,606549301.0,25928,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500472,INE640A01023,SKFINDIA,A,,,,,SKF INDIA LTD.,3930.95,3930.95,3832.6,3864.2,3873.2,3815.85,,3862.0,,,691,2668905.0,147,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500477,INE208A01029,ASHOKLEY,A,,,,,ASHOK LEYLAND LTD.,208.45,209.7,207.1,208.65,208.65,204.65,,208.5,,,102381,21341360.0,1754,F1,1,,,,,,2025-04-11
2025-04-11,2025-04-11,CM,BSE,STK,500480,INE298A01020,CUMMINSIND,A,,,,,CUMMINS INDIA LTD.,2821.85,2850.0,2752.95,2815.6,2806.65,2777.9,,2814.95,,,5666,15905137.0,1113,F1,1,,,,,,2025-04-11
