TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DATE
2025-05-12,2025-05-12,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5484.1,5711.0,5470.0,5586.2,5571.0,5443.45,,5587.0,,,37270,208843959.0,7843,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,819.9,830.3,802.8,817.05,815.2,797.05,,817.35,,,57459,46859630.0,2138,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,980.35,1003.75,980.35,998.45,998.45,954.45,,999.05,,,107420,106753500.0,5981,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,37.0,37.05,36.1,36.75,36.75,35.2,,36.75,,,58915,2158550.0,272,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,55.26,56.9,54.3,55.38,55.38,53.9,,55.38,,,43652,2426953.0,362,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,4.62,4.62,4.53,4.53,4.53,4.62,,4.53,,,59671,273126.0,66,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.35,4.69,4.35,4.46,4.41,4.3,,4.46,,,11725,51854.0,94,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.99,11.68,10.65,11.4,11.4,10.41,,11.4,,,16557,184448.0,48,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,130.75,135.3,130.5,134.65,134.65,127.1,,134.47,,,122738,16377535.0,1475,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6821.9,6945.5,6763.65,6800.85,6810.0,6781.1,,6802.5,,,4081,27875301.0,1385,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,32.5,33.15,31.5,33.12,33.12,30.14,,33.12,,,71868,2354671.0,277,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,553.55,624.9,541.05,610.45,610.45,531.2,,610.2,,,100710,60647176.0,6082,F1,1,,,,,,2025-05-12
2025-05-12,2025-05-12,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,19.63,20.65,19.62,20.54,20.54,19.07,,20.52,,,740839,15013926.0,1957,F1,1,,,,,,2025-05-12
