Ticker,ML_Prediction,ML_Confidence
ACC.NS,STRONG BUY,0.5133
AMBUJACEM.NS,STRONG BUY,0.5467
AURIONPRO.NS,HOLD / SELL,0.3867
BCG.NS,STRONG BUY,0.7733
BHARTIARTL.NS,HOLD / SELL,0.4533
BOMDYEING.NS,HOLD / SELL,0.44
CARTRADE.NS,STRONG BUY,0.5867
GESHIP.NS,STRONG BUY,0.54
GNFC.NS,STRONG BUY,0.58
HEROMOTOCO.NS,HOLD / SELL,0.3733
IDEA.NS,HOLD / SELL,0.4867
INDIGO.NS,STRONG BUY,0.52
INTELLECT.NS,HOLD / SELL,0.4733
JSWENERGY.NS,HOLD / SELL,0.4333
LINDEINDIA.NS,STRONG BUY,0.56
NIITMTS.NS,STRONG BUY,0.66
PRAJIND.NS,STRONG BUY,0.54
PRESTIGE.NS,STRONG BUY,0.58
PTL.NS,HOLD / SELL,0.48
SERVOTECH.NS,HOLD / SELL,0.38
SHAREINDIA.NS,HOLD / SELL,0.4867
SHRIPISTON.NS,HOLD / SELL,0.4267
TATAELXSI.NS,HOLD / SELL,0.3867
TATATECH.NS,HOLD / SELL,0.5
ZODIAC.NS,HOLD / SELL,0.2733
