Ticker,ML_Prediction,ML_Confidence
APOLLO.NS,STRONG BUY,0.9267
ASHAPURMIN.NS,HOLD / SELL,0.4867
BCG.NS,STRONG BUY,0.6867
CARTRADE.NS,STRONG BUY,0.5267
EICHERMOT.NS,HOLD / SELL,0.3667
GNFC.NS,STRONG BUY,0.6467
GUJTHEM.NS,STRONG BUY,0.5933
HEROMOTOCO.NS,HOLD / SELL,0.5
IDEA.NS,STRONG BUY,0.5867
INDOCO.NS,HOLD / SELL,0.1867
PRAJIND.NS,STRONG BUY,0.5267
SATIN.NS,HOLD / SELL,0.4733
SERVOTECH.NS,HOLD / SELL,0.5
SWELECTES.NS,HOLD / SELL,0.4333
TATAELXSI.NS,HOLD / SELL,0.4533
TEGA.NS,HOLD / SELL,0.3333
VERANDA.NS,HOLD / SELL,0.4667
VERTOZ.NS,STRONG BUY,0.7267
WESTLIFE.NS,STRONG BUY,0.5733
ZODIAC.NS,HOLD / SELL,0.3933
