Ticker,ML_Prediction,ML_Confidence
ATHERENERG.NS,STRONG BUY,0.5733
HEROMOTOCO.NS,STRONG BUY,0.6933
HUHTAMAKI.NS,STRONG BUY,0.5333
JBCHEPHARM.NS,STRONG BUY,0.6667
JSWENERGY.NS,HOLD / SELL,0.4067
JTLIND.NS,STRONG BUY,0.6267
KIRLPNU.NS,HOLD / SELL,0.42
KUANTUM.NS,STRONG BUY,0.54
LAURUSLABS.NS,HOLD / SELL,0.4467
LLOYDSME.NS,STRONG BUY,0.68
LTIM.NS,STRONG BUY,0.7267
MAXIND.NS,STRONG BUY,0.5533
ONEPOINT.NS,STRONG BUY,0.5933
PARKHOTELS.NS,HOLD / SELL,0.4133
PGIL.NS,STRONG BUY,0.62
RAINBOW.NS,STRONG BUY,0.5733
RATEGAIN.NS,STRONG BUY,0.6267
REMSONSIND.NS,STRONG BUY,0.5267
RUSTOMJEE.NS,STRONG BUY,0.5533
SPECIALITY.NS,STRONG BUY,0.5067
TVSMOTOR.NS,HOLD / SELL,0.3667
WELSPUNLIV.NS,STRONG BUY,0.7333
ZENSARTECH.NS,STRONG BUY,0.5733
