Ticker,ML_Prediction,ML_Confidence
ACC.NS,STRONG BUY,0.6933
AMBUJACEM.NS,STRONG BUY,0.6133
AURIONPRO.NS,HOLD / SELL,0.4667
BHARTIARTL.NS,HOLD / SELL,0.36
BOMDYEING.NS,STRONG BUY,0.78
GESHIP.NS,STRONG BUY,0.5133
INDIGO.NS,STRONG BUY,0.8333
INTELLECT.NS,HOLD / SELL,0.4867
JSWENERGY.NS,HOLD / SELL,0.3667
LINDEINDIA.NS,HOLD / SELL,0.3733
NIITMTS.NS,STRONG BUY,0.7933
PRESTIGE.NS,STRONG BUY,0.5733
PTL.NS,STRONG BUY,0.76
SHAREINDIA.NS,HOLD / SELL,0.44
SHRIPISTON.NS,HOLD / SELL,0.46
TATATECH.NS,STRONG BUY,0.6533
ZODIAC.NS,STRONG BUY,0.7133
