Ticker,ML_Prediction,ML_Confidence
BALAJITELE.NS,STRONG BUY,0.5333
DOLLAR.NS,STRONG BUY,0.7467
GMMPFAUDLR.NS,HOLD / SELL,0.3867
IRB.NS,STRONG BUY,0.8467
KRBL.NS,STRONG BUY,0.5067
POONAWALLA.NS,HOLD / SELL,0.4467
SAMPANN.NS,STRONG BUY,0.6667
SUPREMEIND.NS,HOLD / SELL,0.5
TATAPOWER.NS,STRONG BUY,0.6333
