Ticker,ML_Prediction,ML_Confidence
544354,HOLD / SELL,0.3067
ADANIENT.NS,HOLD / SELL,0.1533
AKUMS.NS,STRONG BUY,0.86
BIOCON.NS,HOLD / SELL,0.46
CYIENT.NS,HOLD / SELL,0.1533
DELHIVERY.NS,HOLD / SELL,0.24
HCLTECH.NS,STRONG BUY,0.7333
INFY.NS,STRONG BUY,0.86
LLOYDSME.NS,STRONG BUY,0.8867
MAHLIFE.NS,HOLD / SELL,0.3667
PDSL.NS,STRONG BUY,0.5533
QPOWER.NS,HOLD / SELL,0.1933
RATEGAIN.NS,STRONG BUY,0.72
SFL.NS,HOLD / SELL,0.1133
SHK.NS,STRONG BUY,0.7733
THOMASCOOK.NS,STRONG BUY,0.8867
TVSMOTOR.NS,HOLD / SELL,0.2667
