Ticker,ML_Prediction,ML_Confidence
ACC.NS,HOLD / SELL,0.44
AMBUJACEM.NS,STRONG BUY,0.5733
AURIONPRO.NS,HOLD / SELL,0.2667
BHARTIARTL.NS,HOLD / SELL,0.4533
BOMDYEING.NS,STRONG BUY,0.62
GESHIP.NS,STRONG BUY,0.58
INDIGO.NS,HOLD / SELL,0.5
INTELLECT.NS,HOLD / SELL,0.4467
JSWENERGY.NS,HOLD / SELL,0.4333
LINDEINDIA.NS,HOLD / SELL,0.4867
NIITMTS.NS,STRONG BUY,0.5467
PRESTIGE.NS,STRONG BUY,0.5067
PTL.NS,HOLD / SELL,0.38
SHAREINDIA.NS,STRONG BUY,0.5533
SHRIPISTON.NS,HOLD / SELL,0.4867
TATATECH.NS,HOLD / SELL,0.4667
ZODIAC.NS,HOLD / SELL,0.3267
