Ticker,ML_Prediction,ML_Confidence
CENTURYPLY.NS,STRONG BUY,0.52
HCLTECH.NS,STRONG BUY,0.5533
HEXT.NS,HOLD / SELL,0.4333
ITC.NS,STRONG BUY,0.56
JKCEMENT.NS,HOLD / SELL,0.44
LTTS.NS,HOLD / SELL,0.3533
MMFL.NS,STRONG BUY,0.5533
ONGC.NS,HOLD / SELL,0.4533
RATEGAIN.NS,HOLD / SELL,0.4333
RTNINDIA.NS,HOLD / SELL,0.32
SOUTHWEST.NS,HOLD / SELL,0.4867
THOMASCOOK.NS,STRONG BUY,0.5933
TVSMOTOR.NS,STRONG BUY,0.64
ZODIAC.NS,HOLD / SELL,0.5
