Ticker,ML_Prediction,ML_Confidence
AFCONS.NS,STRONG BUY,0.8067
ALEMBICLTD.NS,STRONG BUY,0.54
BALAJITELE.NS,HOLD / SELL,0.4667
BANARBEADS.NS,STRONG BUY,0.5667
CMSINFO.NS,HOLD / SELL,0.4067
DIXON.NS,HOLD / SELL,0.4533
EMUDHRA.NS,STRONG BUY,0.7067
EUREKAFORB.NS,STRONG BUY,0.58
EXXARO.NS,HOLD / SELL,0.4267
GODAVARIB.NS,STRONG BUY,0.6333
IVP.NS,STRONG BUY,0.58
JSWENERGY.NS,STRONG BUY,0.6
KALYANKJIL.NS,HOLD / SELL,0.4133
LODHA.NS,STRONG BUY,0.5133
NIITLTD.NS,STRONG BUY,0.9
ORIENTTECH.NS,HOLD / SELL,0.4867
PNGJL.NS,HOLD / SELL,0.4133
PURVA.NS,HOLD / SELL,0.4933
RUSTOMJEE.NS,HOLD / SELL,0.32
TATAMOTORS.NS,STRONG BUY,0.6467
TVSMOTOR.NS,STRONG BUY,0.5133
ZYDUSWELL.NS,STRONG BUY,0.5533
