Ticker,ML_Prediction,ML_Confidence
HCLTECH.NS,STRONG BUY,0.6267
INDUSINDBK.NS,STRONG BUY,0.5333
JITFINFRA.NS,STRONG BUY,0.8133
VAKRANGEE.NS,STRONG BUY,0.8533
