Ticker,ML_Prediction,ML_Confidence
ACC.NS,HOLD / SELL,0.4333
AMBUJACEM.NS,STRONG BUY,0.5933
AURIONPRO.NS,STRONG BUY,0.5933
BOMDYEING.NS,HOLD / SELL,0.38
GESHIP.NS,HOLD / SELL,0.4267
INDIGO.NS,HOLD / SELL,0.48
INTELLECT.NS,STRONG BUY,0.6267
JSWENERGY.NS,HOLD / SELL,0.4933
LINDEINDIA.NS,STRONG BUY,0.5867
NIITMTS.NS,HOLD / SELL,0.4867
PRESTIGE.NS,STRONG BUY,0.5667
PTL.NS,HOLD / SELL,0.32
SHAREINDIA.NS,STRONG BUY,0.5467
SHRIPISTON.NS,STRONG BUY,0.62
TATATECH.NS,STRONG BUY,0.7867
ZODIAC.NS,STRONG BUY,0.5067
