Ticker,ML_Prediction,ML_Confidence
AFCONS.NS,STRONG BUY,0.72
AUBANK.NS,STRONG BUY,0.7533
CENTRALBK.NS,HOLD / SELL,0.48
EXXARO.NS,STRONG BUY,0.5667
HCLTECH.NS,STRONG BUY,0.64
HINDUNILVR.NS,HOLD / SELL,0.3133
HINDZINC.NS,STRONG BUY,0.6867
IDEA.NS,STRONG BUY,0.6733
INDGN.NS,HOLD / SELL,0.46
INSPIRISYS.NS,STRONG BUY,0.5067
JBCHEPHARM.NS,STRONG BUY,0.6
JKCEMENT.NS,HOLD / SELL,0.38
KPIL.NS,STRONG BUY,0.6333
LTTS.NS,HOLD / SELL,0.4
SMCGLOBAL.NS,STRONG BUY,0.6
SWELECTES.NS,HOLD / SELL,0.42
VSTIND.NS,STRONG BUY,0.82
