Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
KEC,Press Release,"KEC International Limited has informed the Exchange regarding a press release dated Jun 04, 2025, titled ""KEC International wins New Orders of Rs. 2,211 crores."".",04-Jun-2025 14:53:40,https://nsearchives.nseindia.com/corporate/KEC_04062025145326_PressRelease.pdf,0.9951,0.0783116883116882,0.7802037000656128,0.3608226080194696,Positive,,
SULA,Copy of Newspaper Publication,Sula Vineyards Limited has informed the Exchange about Copy of Newspaper Publication,04-Jun-2025 12:13:14,https://nsearchives.nseindia.com/corporate/SULA_04062025121302_SE_intimation_newspaper.pdf,0.9622,0.1022294372294372,0.1958062946796417,0.209948498236617,Positive,,
SHALPAINTS,Credit Rating,Shalimar Paints Limited has informed the Exchange about Credit Rating,04-Jun-2025 12:01:41,https://nsearchives.nseindia.com/corporate/SHALPAINTS_04062025120057_BSENSEReg30CreditRating.pdf,0.9929,-0.0049754518985288,-0.2204162329435348,0.4835767750656696,Positive,,
KEC,Press Release,"KEC International Limited has informed the Exchange regarding a press release dated Jun 04, 2025, titled ""KEC International wins New Orders of Rs. 2,211 crores."".",04-06-2025 14:53,https://nsearchives.nseindia.com/corporate/KEC_04062025145326_PressRelease.pdf,0.9951,0.078311688,0.7802037,0.360822608,Positive,Volume Spike,
SUPRAJIT,Analysts/Institutional Investor Meet/Con. Call Updates,Suprajit Engineering Limited has informed the Exchange about Transcript,04-06-2025 14:13,https://nsearchives.nseindia.com/corporate/SUPRAJIT_04062025141317_Transcript04June2025.pdf,0.9952,0.112044818,0.71883738,0.35094522,Positive,,
UPL,Credit Rating- Revision,UPL Limited has informed the Exchange about Credit Rating- Revision,04-06-2025 13:20,https://nsearchives.nseindia.com/corporate/UPL_04062025131952_Fitchintimation.pdf,0.9783,0.004244306,0.087784655,0.402369122,Positive,,
SULA,Copy of Newspaper Publication,Sula Vineyards Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 12:13,https://nsearchives.nseindia.com/corporate/SULA_04062025121302_SE_intimation_newspaper.pdf,0.9622,0.102229437,0.195806295,0.209948498,Positive,Volume Spike,
SHALPAINTS,Credit Rating,Shalimar Paints Limited has informed the Exchange about Credit Rating,04-06-2025 12:01,https://nsearchives.nseindia.com/corporate/SHALPAINTS_04062025120057_BSENSEReg30CreditRating.pdf,0.9929,-0.004975452,-0.220416233,0.483576775,Positive,Volume Spike,
RITCO,Monthly Business Updates,Ritco Logistics Limited has informed the Exchange regarding Monthly Business Updates for the month of May 2025,04-06-2025 11:31,https://nsearchives.nseindia.com/corporate/RITCO_04062025113103_Monthly_update_May_2025.pdf,0.9963,0.17991795,0.424566984,0.303216883,Positive,,
CANTABIL,Updates,"Aarvee Denims & Exports Limited has informed the Exchange regarding 'Machine readable results March 31,2025'.",04-06-2025 01:53,https://nsearchives.nseindia.com/corporate/AARVEEDEN_04062025015307_OUTCOME_FINANCIALS_machine_readable.pdf,0.836,0.029497354,0.133649468,0.051686249,Positive,Volume Spike,"MACD Crossover, Supertrend"
KEC,Press Release,"KEC International Limited has informed the Exchange regarding a press release dated Jun 04, 2025, titled ""KEC International wins New Orders of Rs. 2,211 crores."".",04-06-2025 14:53,https://nsearchives.nseindia.com/corporate/KEC_04062025145326_PressRelease.pdf,0.9951,0.078311688,0.7802037,0.360822608,Positive,Resistance Breakout,
SUPRAJIT,Analysts/Institutional Investor Meet/Con. Call Updates,Suprajit Engineering Limited has informed the Exchange about Transcript,04-06-2025 14:13,https://nsearchives.nseindia.com/corporate/SUPRAJIT_04062025141317_Transcript04June2025.pdf,0.9952,0.112044818,0.71883738,0.35094522,Positive,,
UPL,Credit Rating- Revision,UPL Limited has informed the Exchange about Credit Rating- Revision,04-06-2025 13:20,https://nsearchives.nseindia.com/corporate/UPL_04062025131952_Fitchintimation.pdf,0.9783,0.004244306,0.087784655,0.402369122,Positive,,
SULA,Copy of Newspaper Publication,Sula Vineyards Limited has informed the Exchange about Copy of Newspaper Publication,04-06-2025 12:13,https://nsearchives.nseindia.com/corporate/SULA_04062025121302_SE_intimation_newspaper.pdf,0.9622,0.102229437,0.195806295,0.209948498,Positive,"Resistance Breakout, Volume Spike",
SHALPAINTS,Credit Rating,Shalimar Paints Limited has informed the Exchange about Credit Rating,04-06-2025 12:01,https://nsearchives.nseindia.com/corporate/SHALPAINTS_04062025120057_BSENSEReg30CreditRating.pdf,0.9929,-0.004975452,-0.220416233,0.483576775,Positive,,
RITCO,Monthly Business Updates,Ritco Logistics Limited has informed the Exchange regarding Monthly Business Updates for the month of May 2025,04-06-2025 11:31,https://nsearchives.nseindia.com/corporate/RITCO_04062025113103_Monthly_update_May_2025.pdf,0.9963,0.17991795,0.424566984,0.303216883,Positive,,
CANTABIL,Updates,"Aarvee Denims & Exports Limited has informed the Exchange regarding 'Machine readable results March 31,2025'.",04-06-2025 01:53,https://nsearchives.nseindia.com/corporate/AARVEEDEN_04062025015307_OUTCOME_FINANCIALS_machine_readable.pdf,0.836,0.029497354,0.133649468,0.051686249,Positive,"Resistance Breakout, Volume Spike","MACD Crossover, Supertrend"
