Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
SETCO,Press Release,"Setco Automotive Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Launches Automotive Water Pump   Expands Product Portfolio Beyond Clutches"".",05-Jun-2025 10:58:40,https://nsearchives.nseindia.com/corporate/SETCO_05062025105830_PressReleaseSetcoWaterPumprelease05062025.pdf,0.9924,0.1738245088245089,0.6274186372756958,0.4397195275772159,Positive,,
PARKHOTELS,Updates,"Apeejay Surrendra Park Hotels Limited has informed the Exchange regarding 'Press Release regarding recognition of ""Ran Baas, The Palace"" as one of the World's Most Beautiful Hotels by Prix Versailles 2025'.",05-Jun-2025 14:51:28,https://nsearchives.nseindia.com/corporate/ASPHL_05062025145011_Press_Release.pdf,0.9986,0.2563449429358519,0.8743885159492493,0.221331812145024,Positive,"Resistance Breakout, Volume Spike",
YATRA,Analysts/Institutional Investor Meet/Con. Call Updates,Yatra Online Limited has informed the Exchange about Transcript,05-Jun-2025 14:35:27,https://nsearchives.nseindia.com/corporate/YATRA2022_05062025143203_IntimationTranscriptSD.pdf,0.9942,0.175879917184265,0.3630332946777344,0.2744970386584106,Positive,,
RPGLIFE,Updates,Email Communication to Shareholders Regarding Dividend Taxation Provisions,05-Jun-2025 20:33:15,https://nsearchives.nseindia.com/corporate/RPGLIFE_05062025203306_Taxcommunicationletter.pdf,0.9932,0.0680232558139534,0.2783741950988769,0.2315007748581642,Positive,,
HINDZINC,Press Release,"Hindustan Zinc Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Hindustan Zinc turns 3.32 times Water PositiveCompany ."".",05-Jun-2025 19:10:36,https://nsearchives.nseindia.com/corporate/HINDZINCNSE_05062025191025_FinalSEIntimation.pdf,0.9963,0.1455116096025187,0.3631230592727661,0.3593007149494782,Positive,Resistance Breakout,
SUZLON,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Transcript,05-Jun-2025 18:00:19,https://nsearchives.nseindia.com/corporate/SUZLON1_05062025175936_Suzlon05062025.pdf,0.9984,0.1635584415584415,0.6525912284851074,0.3454917534667176,Positive,,
MPHASIS,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Mphasis launches Centre of Excellence (CoE) for Financial Services in Buenos Aires, Argentina"".",05-Jun-2025 17:45:39,https://nsearchives.nseindia.com/corporate/MPHASIS_05062025174250_PressReleaseJune2025.pdf,0.9989,0.112538651824366,0.4956660568714142,0.3696059208870671,Positive,,
MAHESHWARI,Outcome of Board Meeting-XBRL,MAHESHWARI LOGISTICS LIMITED has informed the Exchange regarding Outcome of Board Meeting held on 30-May-2025 for Dividend,05-Jun-2025 17:42:38,https://nsearchives.nseindia.com/corporate/xbrl/OUTCOME_1463419_05062025054237_WEB.xml,0.9057,0.048051948051948,0.7210500836372375,0.6162952817802414,Positive,,
MAHESHWARI,Dividend,"Maheshwari Logistics Limited has informed the Exchange that Board of Directors at its meeting held on May 30, 2025, recommended Final Dividend of Rs. 0 per equity share.",05-Jun-2025 17:31:50,https://nsearchives.nseindia.com/corporate/MAHESHWARI_05062025173108_NSE.pdf,0.9508,0.0932142857142857,0.6750211119651794,0.3251329323257719,Positive,,
SBCL,Analysts/Institutional Investor Meet/Con. Call Updates,Shivalik Bimetal Controls Limited has informed the Exchange about Transcript of earnings call Q4 & FY25,05-Jun-2025 17:18:06,https://nsearchives.nseindia.com/corporate/SBCL_05062025171721_Covering_letter.pdf,0.9934,0.1460260268187097,0.449110597372055,0.2898580138273154,Positive,,
MOTHERSON,Analysts/Institutional Investor Meet/Con. Call Updates,Samvardhana Motherson International Limited has submitted with the exchange earnings call transcript.,05-Jun-2025 16:44:42,https://nsearchives.nseindia.com/corporate/MOTHERSON_05062025164409_Disclosure.pdf,0.9986,0.1992541639151809,0.7654669284820557,0.380874216781907,Positive,,
HERITGFOOD,Press Release,"Heritage Foods Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""Press Release   Heritage Foods Celebrates 34th Foundation Day"".",05-Jun-2025 16:15:37,https://nsearchives.nseindia.com/corporate/HERITGFOOD_05062025161528_Press_Release_33rd_Foundation_Day.pdf,0.9992,0.2003768689938903,0.6936111450195312,0.2162384485782885,Positive,Volume Spike,
RAMASTEEL,Press Release (Revised),"Rama Steel Tubes Limited has informed the Exchange regarding a revised press release dated Jun 05, 2025, titled ""Media Release / Press Release, pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."".",05-Jun-2025 16:00:09,https://nsearchives.nseindia.com/corporate/RAMASTEEL_05062025155948_UpdatedMediarelease05062025.pdf,0.9829,0.0232408114761056,0.3483126759529114,0.2374520286577928,Positive,"Resistance Breakout, Volume Spike",
DALBHARAT,Shareholders meeting,"Dalmia Bharat Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 30, 2025",05-Jun-2025 21:54:27,https://nsearchives.nseindia.com/corporate/DALBHARAT_05062025215009_DBLAnnualreport2025.pdf,0.9961,0.1535505430242272,0.2556959390640259,0.2452989244369835,Positive,,
DALBHARAT,Record Date,Dalmia Bharat Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 23-Jun-2025.,05-Jun-2025 22:06:48,https://nsearchives.nseindia.com/corporate/DALBHARAT_05062025220609_DBLAnnualreport2025.pdf,0.9961,0.1535505430242272,0.2556959390640259,0.2452989244369835,Positive,,
