Company,Headline,Description,Time,pdf_link,vader_score,textblob_score,bert_sentiment,confidence,final_sentiment,Chart_Pattern,Tech_Indicator
Ladderup Finance Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Newspaper Publication of Audited Financial Results for the fourth quarter and financial year ended 31st March, 2025",02-06-2025 12:29:22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4445b474-f01d-4eee-9d99-9c1612cfc105.pdf,0.128,0.019047619047619,-0.0092396102845668,0.0541424026289156,Neutral,,
CRP Risk Management Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"In Compliance with regulation 30 of SEBI LODR Regulations,2015 the audited financial result of the company for the financial year ended March 31,2025.",02-06-2025 12:28:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/09484261-e226-4cd5-96f9-dac9e7a90466.pdf,0.0,0.1002232142857142,0.1187085956335067,0.0656795429757663,Neutral,,
Piramal Pharma Ltd,Intimation,"Intimation of Schedule of Analyst/ Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",02-06-2025 12:28:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df4416bd-db3d-498d-8d37-18e2d83bd324.pdf,0.8225,-0.0168154761904761,0.0058868303894996,0.3257214062597071,Positive,,
Unknown,Intimation,"Intimation of Schedule of Analyst/ Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",02-06-2025 12:28:20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df4416bd-db3d-498d-8d37-18e2d83bd324.pdf,0.8225,-0.0168154761904761,0.0058868303894996,0.3257214062597071,Positive,,
P. B. Films Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Pursuant to Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we are submitting herewith Newspaper Publication of Audited Financial Results for .... Read More..",02-06-2025 12:27:36,https://www.bseindia.com/xml-data/corpfiling/AttachLive/aeba5712-f2a1-4b41-a35c-17732c719882.pdf,-0.7783,-0.0462391774891774,-0.1531651616096496,0.3711413017296482,Negative,,
Family Care Hospitals Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,"Enclosed herewith Newspaper Publication for the fourth quarter and year ended 31st March, 2025 for the Financial results.",02-06-2025 12:27:30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ba328018-1dc9-49ce-84fc-9ef07610ce1e.pdf,0.4404,-0.0142857142857142,0.2915911674499511,0.2593516359492711,Positive,,
Greenlam Industries Ltd,Announcement under Regulation 30 (LODR)-Press Release / Media Release (Revised),Press Release Q4FY25,02-06-2025 12:26:57,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ef9892d3-40a5-4130-8b7c-be00f8b5ad2c.pdf,0.9781,0.056043956043956,0.108007788658142,0.4404555234106295,Positive,Volume Spike,"MACD Crossover, Supertrend"
State Bank of India,Intimation,Disclosure regarding investors meeting - Update,02-06-2025 12:26:46,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1ab17a32-dd4c-4185-8ebc-72f5095f25d5.pdf,0.4215,0.0666666666666666,-0.0111739188432693,0.1852478243470192,Positive,,
Muzali Arts Ltd,Announcement under Regulation 30 (LODR)-Newspaper Publication,Newspaper publication of results,02-06-2025 12:26:35,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a2bcd2eb-755c-462e-9561-3a675b273b0f.pdf,0.6597,-0.0666666666666666,-0.0486702881753444,0.2292789135473966,Positive,,
Jtekt India Ltd,Announcement under Regulation 30 (LODR)-Earnings Call Transcript,Attached,02-06-2025 12:24:34,https://www.bseindia.com/xml-data/corpfiling/AttachLive/61a7b8ee-31bd-4892-ae2d-3525293275dc.pdf,0.5994,-0.0738095238095238,0.1365066617727279,0.2585691413889613,Positive,,
